record_id,signal_id,direction,version,event_kind,index_id,index_name,match_status,primary_match,episode_id,event_date,region_id,anchor_date,region_start,region_end,region_form,lobe_count,matched_lobe_id,match_level,strict_matched,loose_matched,timing,lead_lag_days,absolute_distance_days,window_days,primary_episode_id_for_region,coverage_start_date,coverage_end_date,prediction_window_complete,confirmation_window_complete,label_version,diagnostic_region_id,diagnostic_timing,diagnostic_region_form,diagnostic_assignment
multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::capped_confirmation::all_a::matched::multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000062,multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,capped_confirmation,all_a,全A,matched,True,multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000062,2026-07-30,all_a_medium_bottom_20260721,2026-07-21,2026-07-20,2026-07-30,multi_lobe,2,all_a_medium_bottom_20260721_lobe_02,core_lobe,True,True,confirmation,7,7,10,multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000062,2012-01-04,2026-08-14,True,False,top_bottom_regions_v2,all_a_medium_bottom_20260721,confirmation,multi_lobe,primary_match
multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::capped_confirmation::all_a::duplicate_alarm::multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000063,multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,capped_confirmation,all_a,全A,duplicate_alarm,False,multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000063,2026-08-03,all_a_medium_bottom_20260721,2026-07-21,2026-07-20,2026-07-30,multi_lobe,2,,confirmation_window,False,False,confirmation,9,9,10,multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000062,2012-01-04,2026-08-14,True,False,top_bottom_regions_v2,all_a_medium_bottom_20260721,confirmation,multi_lobe,duplicate_candidate
multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::capped_confirmation::cni2000::matched::multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000001,multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,capped_confirmation,cni2000,国证2000,matched,True,multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000001,2012-01-12,cni2000_medium_bottom_20120106,2012-01-06,2012-01-06,2012-01-17,multi_lobe,2,,envelope,False,True,confirmation,4,4,5,multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000001,2012-01-04,2026-08-14,False,True,top_bottom_regions_v2,cni2000_medium_bottom_20120106,confirmation,multi_lobe,primary_match
multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::capped_confirmation::cni2000::duplicate_alarm::multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000002,multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,capped_confirmation,cni2000,国证2000,duplicate_alarm,False,multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000002,2012-01-30,cni2000_medium_bottom_20120106,2012-01-06,2012-01-06,2012-01-17,multi_lobe,2,,confirmation_window,False,False,confirmation,11,11,20,multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000001,2012-01-04,2026-08-14,False,True,top_bottom_regions_v2,cni2000_medium_bottom_20120106,confirmation,multi_lobe,duplicate_candidate
multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::capped_confirmation::cni2000::duplicate_alarm::multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000003,multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,capped_confirmation,cni2000,国证2000,duplicate_alarm,False,multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000003,2012-02-03,cni2000_medium_bottom_20120106,2012-01-06,2012-01-06,2012-01-17,multi_lobe,2,,confirmation_window,False,False,confirmation,15,15,20,multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000001,2012-01-04,2026-08-14,False,True,top_bottom_regions_v2,cni2000_medium_bottom_20120106,confirmation,multi_lobe,duplicate_candidate
multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::capped_confirmation::cni2000::false_alarm::multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000004,multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,capped_confirmation,cni2000,国证2000,false_alarm,False,multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000004,2012-04-11,,,,,,,,,False,False,,,,,,2012-01-04,2026-08-14,,,,cni2000_medium_bottom_20120106,confirmation,multi_lobe,nearest_region_for_slice_only
multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::capped_confirmation::cni2000::false_alarm::multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000005,multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,capped_confirmation,cni2000,国证2000,false_alarm,False,multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000005,2012-10-08,,,,,,,,,False,False,,,,,,2012-01-04,2026-08-14,,,,cni2000_medium_bottom_20121204,prediction,single_lobe,nearest_region_for_slice_only
multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::capped_confirmation::cni2000::matched::multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000006,multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,capped_confirmation,cni2000,国证2000,matched,True,multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000006,2012-12-06,cni2000_medium_bottom_20121204,2012-12-04,2012-12-03,2012-12-04,single_lobe,1,,confirmation_window,False,False,confirmation,2,2,5,multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000006,2012-01-04,2026-08-14,True,True,top_bottom_regions_v2,cni2000_medium_bottom_20121204,confirmation,single_lobe,primary_match
multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::capped_confirmation::cni2000::duplicate_alarm::multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000007,multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,capped_confirmation,cni2000,国证2000,duplicate_alarm,False,multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000007,2012-12-14,cni2000_medium_bottom_20121204,2012-12-04,2012-12-03,2012-12-04,single_lobe,1,,confirmation_window,False,False,confirmation,8,8,10,multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000006,2012-01-04,2026-08-14,True,True,top_bottom_regions_v2,cni2000_medium_bottom_20121204,confirmation,single_lobe,duplicate_candidate
multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::capped_confirmation::cni2000::matched::multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000008,multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,capped_confirmation,cni2000,国证2000,matched,True,multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000008,2013-07-02,cni2000_medium_bottom_20130625,2013-06-25,2013-06-25,2013-06-25,single_lobe,1,,confirmation_window,False,False,confirmation,5,5,5,multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000008,2012-01-04,2026-08-14,True,True,top_bottom_regions_v2,cni2000_medium_bottom_20130625,confirmation,single_lobe,primary_match
