signal_id,direction,version,event_kind,index_id,index_name,horizon,outcome_name,event_count,event_mean,event_median,event_q25,event_q75,baseline_count,baseline_mean,mean_difference,hac_lag,hac_standard_error,ci95_lower,ci95_upper,hac_p_value,local_fdr_q_value,global_fdr_q_value,inference_eligible
multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,capped_confirmation,all_a,全A,5,max_down,63,-0.02414966823550327,-0.0184045830287507,-0.03774316982629827,-0.005624666379355547,3479,-0.021991062022888298,-0.002158606212614976,5,0.0030449165290154507,-0.008126642609485259,0.0038094301842553076,0.4783733105274974,0.7700579581671877,0.7536217561759397,True
multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,capped_confirmation,all_a,全A,5,max_up,63,0.021135507886441286,0.01508748823556294,0.004919625481868084,0.032400151709878755,3479,0.019596555436517227,0.00153895244992406,5,0.0026285646116786833,-0.0036130341889661593,0.006690939088814279,0.5582300125897772,0.7700579581671877,0.805012420959311,True
multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,capped_confirmation,all_a,全A,5,terminal_return,63,0.0006786348179112667,0.0015169986258496415,-0.021492117268397393,0.019206722501168172,3479,0.0017257832542416148,-0.001047148436330358,5,0.003921887699665464,-0.008734048327674668,0.006639751455013951,0.7894682932537478,0.8575259047411399,0.8881518299104663,True
multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,capped_confirmation,all_a,全A,10,max_down,62,-0.03419614612233525,-0.027542152929948938,-0.04475771650113686,-0.00996393014384278,3475,-0.03172010608448318,-0.002476040037852069,10,0.004272488951467968,-0.010850118382729286,0.005898038307025148,0.5622308971779315,0.7700579581671877,0.805012420959311,True
multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,capped_confirmation,all_a,全A,10,max_up,62,0.03345902122643627,0.029218311874763203,0.009368529108522705,0.05408779335956737,3475,0.02923640639467338,0.004222614831762881,10,0.003587964468270645,-0.0028097955260475826,0.011255025189573345,0.23924215880148136,0.7700579581671877,0.7053622284405986,True
multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,capped_confirmation,all_a,全A,10,terminal_return,62,0.006811722177934539,0.014467024604586931,-0.02175122479916447,0.04081863233656213,3475,0.0033138630766818503,0.00349785910125267,10,0.005764194901521246,-0.0077999629057289716,0.014795681108234312,0.5439668790755829,0.7700579581671877,0.7969747298084122,True
multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,capped_confirmation,all_a,全A,20,max_down,61,-0.05105753781874266,-0.04217170985376395,-0.0684222668687905,-0.01274987133218719,3466,-0.04511049658149372,-0.005947041237248936,20,0.0060839463468014285,-0.017871576076979735,0.005977493602481863,0.3283230048629382,0.7700579581671877,0.7512539246959232,True
multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,capped_confirmation,all_a,全A,20,max_up,61,0.058952882593751775,0.043303302318100645,0.020922281465603376,0.07259928701569485,3466,0.04409400230472152,0.014858880289030244,20,0.010576614307065139,-0.005871283752817426,0.035589044330877916,0.16005678532067164,0.7700579581671877,0.5845552159537573,True
multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,capped_confirmation,all_a,全A,20,terminal_return,61,0.014935858285155937,0.011650969427935864,-0.030834723889919036,0.04570598543195459,3466,0.006505958593371703,0.008429899691784218,20,0.011614016246119695,-0.014333572150610385,0.03119337153417882,0.4679378050846038,0.7700579581671877,0.7536217561759397,True
multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,capped_confirmation,cni2000,国证2000,5,max_down,63,-0.03012732042498012,-0.019096583674027556,-0.04345751759949279,-0.0063442641251735266,3481,-0.026677187508886407,-0.0034501329160937107,5,0.004418439704457748,-0.012110274736830897,0.005210008904643475,0.43489148494421204,0.7700579581671877,0.7536217561759397,True
multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,capped_confirmation,cni2000,国证2000,5,max_up,63,0.02727657495006011,0.016720461893272365,0.007862219764384726,0.03997512388894742,3481,0.02340467496976969,0.003871899980290408,5,0.0038074851748767864,-0.0035907709624680936,0.01133457092304891,0.30919246827362934,0.7700579581671877,0.7512539246959232,True
multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,capped_confirmation,cni2000,国证2000,5,terminal_return,63,0.001339842463539098,-1.3880623170536843e-05,-0.02440060386192533,0.028760374707247127,3481,0.0026775093531488554,-0.0013376668896097588,5,0.005686484601554711,-0.012483176708656991,0.009807842929437474,0.8140254296772764,0.8692135944011595,0.903675807395038,True
multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,capped_confirmation,cni2000,国证2000,10,max_down,62,-0.04427236607467592,-0.03042933293119998,-0.06293820110264278,-0.012179455216413726,3477,-0.038899894403261165,-0.005372471671414752,10,0.006000681270180038,-0.017133806960967626,0.006388863618138122,0.3706212426464897,0.7700579581671877,0.7536217561759397,True
