date,signal_id,direction,raw_value,triggered,universe_size,valid_count,version,high_low_window,new_high_low_net_ratio,new_high_low_net_change_5d,change_available,new_high_count,new_low_count,new_high_low_net_count,new_high_ratio,new_low_ratio,high_low_valid_count,episode_id,episode_number,episode_day,episode_stage,event_onset,event_continuation,event_exit,event_capped_confirmation,capped_confirmation_reason,capped_confirmation_n
2012-02-08,new_high_low_120_breadth_reversal_bottom,bottom,0.005524861878,False,2057,1991,new_high_low_period_decomposition_v1_20120104_20260814,120,0.005524861878,0.0070196301889999995,True,11,0,11,0.005524861878,0.0,1991,,,,inactive,False,False,False,False,,2
2012-02-09,new_high_low_120_breadth_reversal_bottom,bottom,0.006003001501,False,2057,1999,new_high_low_period_decomposition_v1_20120104_20260814,120,0.006003001501,0.0050044992544,True,12,0,12,0.006003001501,0.0,1999,,,,inactive,False,False,False,False,,2
2012-02-10,new_high_low_120_breadth_reversal_bottom,bottom,0.004502251126,False,2057,1999,new_high_low_period_decomposition_v1_20120104_20260814,120,0.004502251126,-0.0035177989990000007,True,10,1,9,0.005002501251,0.0005002501251,1999,,,,inactive,False,False,False,False,,2
2012-02-13,new_high_low_120_breadth_reversal_bottom,bottom,0.003480855296,False,2057,2011,new_high_low_period_decomposition_v1_20120104_20260814,120,0.003480855296,-0.0020218960800000006,True,8,1,7,0.003978120338,0.0004972650423,2011,,,,inactive,False,False,False,False,,2
2012-02-14,new_high_low_120_breadth_reversal_bottom,bottom,0.002989536622,False,2057,2007,new_high_low_period_decomposition_v1_20120104_20260814,120,0.002989536622,0.0009855286059999996,True,6,0,6,0.002989536622,0.0,2007,,,,inactive,False,False,False,False,,2
2012-02-15,new_high_low_120_breadth_reversal_bottom,bottom,0.003994008987,False,2057,2003,new_high_low_period_decomposition_v1_20120104_20260814,120,0.003994008987,-0.0015308528909999996,True,8,0,8,0.003994008987,0.0,2003,,,,inactive,False,False,False,False,,2
2012-02-16,new_high_low_120_breadth_reversal_bottom,bottom,0.003990024938,False,2057,2005,new_high_low_period_decomposition_v1_20120104_20260814,120,0.003990024938,-0.0020129765630000004,True,8,0,8,0.003990024938,0.0,2005,,,,inactive,False,False,False,False,,2
2012-02-17,new_high_low_120_breadth_reversal_bottom,bottom,0.002,False,2057,2000,new_high_low_period_decomposition_v1_20120104_20260814,120,0.002,-0.002502251126,True,4,0,4,0.002,0.0,2000,,,,inactive,False,False,False,False,,2
2012-02-20,new_high_low_120_breadth_reversal_bottom,bottom,0.008024072217,False,2057,1994,new_high_low_period_decomposition_v1_20120104_20260814,120,0.008024072217,0.0045432169209999995,True,16,0,16,0.008024072217,0.0,1994,,,,inactive,False,False,False,False,,2
2012-02-21,new_high_low_120_breadth_reversal_bottom,bottom,0.005985037406,False,2057,2005,new_high_low_period_decomposition_v1_20120104_20260814,120,0.005985037406,0.002995500784,True,12,0,12,0.005985037406,0.0,2005,,,,inactive,False,False,False,False,,2
2012-02-22,new_high_low_120_breadth_reversal_bottom,bottom,0.007481296758,False,2057,2005,new_high_low_period_decomposition_v1_20120104_20260814,120,0.007481296758,0.0034872877709999995,True,15,0,15,0.007481296758,0.0,2005,,,,inactive,False,False,False,False,,2
2012-02-23,new_high_low_120_breadth_reversal_bottom,bottom,0.013,False,2057,2000,new_high_low_period_decomposition_v1_20120104_20260814,120,0.013,0.009009975061999999,True,26,0,26,0.013,0.0,2000,,,,inactive,False,False,False,False,,2
