date,breadth_ma20,breadth_ma20_change_5d,breadth_ma60,breadth_ma60_change_10d,new_high_low_net_ratio_60,new_high_low_net_ratio_60_change_5d,limit_hit_net_ratio,limit_hit_net_ratio_change_5d,turnover_ratio_pct_p50,turnover_ratio_pct_p50_change_10d,index_close_to_ma60,index_drawdown_60d,index_rebound_60d,index_return_5d,index_volatility_20d,index_price_available,target_available,truth_top_intensity,truth_top_in_strict_lobe,truth_bottom_intensity,truth_bottom_in_strict_lobe
2012-07-05,0.2469252602,0.0674774074,0.2497634816,-0.1604025979,-0.247871334,0.021556068900000003,-0.003784295175,-0.010430511944,0.873,0.07469999999999999,-0.05506018305831906,-0.09759152784986092,0.006654955718896627,0.0013958610385720327,0.010291737210786089,True,True,0.0,False,0.0,False
2012-07-06,0.3292278541,0.0991258133,0.3012790147,-0.05456775949999998,-0.2595926101,0.09755024699999998,0.005684509711,0.006704917874,1.05335,0.20255,-0.03763521943795778,-0.08116669389684295,0.024977191165412638,0.005516964228380106,0.011172032238988052,True,True,0.0,False,0.0,False
2012-07-09,0.2415254237,-0.07230185330000002,0.2415254237,-0.01596568849999999,-0.2269303202,-0.27836967839,-0.004708097928,-0.016034195148,1.0069,0.18309999999999993,-0.05958514208135679,-0.10270220340353287,0.0009538934705366486,-0.023750039791381794,0.012164426602003304,True,True,0.0,False,0.0,False
2012-07-10,0.1963276836,-0.16084878700000002,0.2151600753,-0.03256949079999999,-0.4129001883,-0.46372371771000004,-0.005649717514,-0.017885011634,0.7656,0.03259999999999996,-0.06483956166878246,-0.10867790387664478,0.002141803834910805,-0.03219135803279494,0.011536800919204225,True,True,0.0,False,0.0,False
2012-07-11,0.219558063,-0.1252532578,0.223319229,-0.024793503800000005,-0.2026328162,-0.18046300488,0.002820874471,-0.002367804774,0.68585,0.012149999999999994,-0.055946291311116836,-0.10114061257337736,0.01124305662860281,-0.021302296836394508,0.01177507060018436,True,True,0.0,False,0.0,False
2012-07-12,0.2938410907,0.04691583049999998,0.2557592854,0.03592288459999998,-0.1349318289,0.1129395051,0.007992477668,0.011776772843000001,1.07495,0.32520000000000004,-0.04448400454250667,-0.09101171241484052,0.022638365060469123,0.007291393684882852,0.011369928517903456,True,True,0.0,False,0.0,False
2012-07-13,0.2733677783,-0.05586007580000002,0.23907938,-0.012451232199999995,-0.02348520432,0.23610740578,-0.002348520432,-0.008033030143,0.8123,0.00550000000000006,-0.045816693934667696,-0.09289353656636534,0.02052125794266546,-0.012762753147528838,0.011323151734538663,True,True,0.0,False,0.0,False
2012-07-16,0.1671374765,-0.0743879472,0.1826741996,-0.1136920109,-0.4552730697,-0.22834274949999997,-0.0725047081,-0.06779661017199999,1.0955,0.20269999999999988,-0.07136856194820107,-0.11850970360161328,0.0001236405144726671,-0.017616782586605817,0.012595605775457262,True,True,0.0,False,0.0,False
2012-07-17,0.1925612053,-0.003766478299999987,0.1887947269,-0.12932292020000002,-0.4331450094,-0.020244821099999977,0.004237288136,0.009887005649999999,0.7255,-0.23959999999999992,-0.06399855384658604,-0.11273542851740193,0.011277462960814333,-0.004552254071120476,0.012568241803903297,True,True,0.0,False,0.0,False
2012-07-18,0.2372641509,0.0177060879,0.2070754717,-0.10188679249999999,-0.2155660377,-0.01293322149999998,0.008962264151,0.00614138968,0.7969,-0.053199999999999914,-0.05984402990282167,-0.11013712966322142,0.0191669958450138,-0.010008814744206562,0.012620839645431958,True,True,0.0,False,0.0,False
2012-07-19,0.3251533742,0.03131228350000004,0.2255781029,-0.02418537870000001,0.01604530439,0.15097713329,0.02973100519,0.021738527522,1.0826,0.2096,-0.05154478159474063,-0.10335927413995427,0.026929727477254417,-0.013583851292426008,0.012844892465224036,True,True,0.0,False,0.0,False
2012-07-20,0.2971698113,0.023802033,0.2169811321,-0.08429788260000001,0.004716981132,0.028202185452,0.01556603774,0.017914558172,0.7691,-0.28425,-0.05849028867114703,-0.11106155854889566,0.01810824011793377,-0.02002854429430445,0.012634806935730295,True,True,0.0,False,0.0,False
2012-07-23,0.2435110901,0.0763736136,0.205285512,-0.03623991169999999,-0.09344030203,0.36183276766999994,0.007550731477,0.080055439577,0.6873,-0.3195999999999999,-0.06828364590150049,-0.12175838319330412,0.005857082100972466,-0.0036854399928897275,0.011930884984437336,True,True,0.0,False,0.0,False
2012-07-24,0.2927864215,0.1002252162,0.2154644036,0.00030432829999998967,-0.07402168788,0.35912332152,0.01367279585,0.009435507714,0.69525,-0.07034999999999991,-0.06144723791515627,-0.1166806740198083,0.011672622648436493,-0.004446526582047583,0.012048367128104314,True,True,0.0,False,0.0,False
2012-07-25,0.2458862247,0.00862207379999999,0.197461213,-0.02585801600000001,-0.03244005642,0.18312598128,0.009402914904,0.0004406507529999999,0.66065,-0.0252,-0.06656458985456026,-0.12288415686548237,0.004567724594639833,-0.014324709600971097,0.012104216496121674,True,True,0.0,False,0.0,False
2012-07-26,0.1907894737,-0.13436390050000002,0.1846804511,-0.07107883429999998,-0.07941729323,-0.09546259762,0.003289473684,-0.026441531506,0.6751,-0.39985000000000004,-0.07117272370233874,-0.12895883708151945,0.0008384279896584967,-0.028550524422154,0.0119953979217723,True,True,0.0,False,0.0,False
2012-07-27,0.165098777,-0.13207103429999997,0.1641580433,-0.07492133670000001,-0.1142991533,-0.119016134432,0.003292568203,-0.012273469537,0.622,-0.19030000000000002,-0.07120441310501735,-0.13081760894763983,0.0036406658946099846,-0.022224317767712054,0.011445440072546921,True,True,0.0,False,0.0,False
2012-07-30,0.1133051246,-0.1302059655,0.1396332863,-0.04304091330000001,-0.3380347908,-0.24459448876999998,-0.0197461213,-0.027296852777,0.6888,-0.40669999999999995,-0.08024499230850057,-0.14137902156589666,0.0020883604103685283,-0.02234082056363207,0.011466880147111244,True,True,0.0,False,0.0,False
2012-07-31,0.08364661654,-0.20913980496,0.1118421053,-0.07695262159999999,-0.5272556391,-0.45323395121999993,-0.01691729323,-0.03059008908,0.6453,-0.08020000000000005,-0.08502319847431128,-0.14808763963055405,0.002466872591896818,-0.035555619227389146,0.01143799506777098,True,True,0.0,False,0.0,False
2012-08-01,0.1560883874,-0.08979783729999999,0.141984015,-0.06509145670000002,-0.1622002821,-0.12976022568,0.009873060649,0.00047014574500000086,0.60495,-0.19195000000000007,-0.07035197519266922,-0.12772264901518537,0.016095231582418768,-0.015530315317753396,0.012052922824342872,True,True,0.0,False,0.0,False
2012-08-02,0.1628235294,-0.02796594429999999,0.1402352941,-0.0853428088,-0.1797647059,-0.10034741266999998,0.004705882353,0.0014164086689999996,0.56365,-0.51895,-0.07608086450386331,-0.13105238304907818,0.00759505388678261,-0.016957628184372964,0.011665726726155227,True,True,0.0,False,0.0,False
2012-08-03,0.2778561354,0.11275735839999998,0.1744240715,-0.0425570606,-0.05500705219,0.059292101109999995,0.01551480959,0.012222241387,0.68855,-0.08055000000000001,-0.06172176870926349,-0.11934962251679404,0.021165082043976824,-0.0015876916571305744,0.011284063333729102,True,True,0.0,False,0.0,False
2012-08-06,0.5289684409,0.4156633163,0.2237399906,0.01845447859999999,0.03721149317,0.37524628397,0.02449364107,0.04423976237,0.9732,0.28589999999999993,-0.043274151933526794,-0.10107599463273964,0.03952914592562928,0.028868958969350933,0.011103885393096561,True,True,0.0,False,0.0,False
2012-08-07,0.6556759303,0.5720293137600001,0.2416391898,0.026174786199999994,0.04286387188,0.5701195109799999,0.0230805464,0.039997839630000004,1.02205,0.32679999999999987,-0.03713396627401977,-0.09651710832490279,0.044657232373631395,0.04208653765550441,0.011081140498241585,True,True,0.0,False,0.0,False
2012-08-08,0.6426553672,0.4865669798000001,0.2438794727,0.04641825969999999,0.02212806026,0.18432834236,0.01553672316,0.005663662510999999,0.8873,0.22665000000000002,-0.0367743914651214,-0.09752172157259087,0.04349564259190353,0.026966380864530404,0.010904903857908772,True,True,0.0,False,0.0,False
2012-08-09,0.808,0.6451764706,0.2729411765,0.08826072539999999,0.03764705882,0.21741176471999998,0.01694117647,0.012235294117,1.0277,0.3526,-0.024871527445483488,-0.08733441661271191,0.05527477189561636,0.0473203176463699,0.01090596889201504,True,True,0.0,False,0.0,False
2012-08-10,0.8066792098,0.5288230744,0.2803386642,0.11618062089999998,0.04703668862,0.10204374081,0.0169332079,0.001418398310000001,0.9454,0.3234,-0.026983046915638464,-0.0905599740656059,0.051545202744223806,0.029750449985459504,0.010920389699283052,True,True,0.0,False,0.0,False
2012-08-13,0.4905838041,-0.03838463679999993,0.238700565,0.09906727870000001,0.0197740113,-0.017437481869999997,0.0065913371,-0.01790230397,0.9458,0.257,-0.04555575591003613,-0.10919744878929216,0.02999551658781896,-0.009171103451189211,0.010038132061993863,True,True,0.0,False,0.0,False
2012-08-14,0.5980207352,-0.057655195100000056,0.2648444863,0.15300238100000002,-0.008482563619,-0.051346435499000004,0.01036757776,-0.012712968639999999,0.927,0.28170000000000006,-0.03936821752074626,-0.10467164437068366,0.03522850368892727,-0.009025667360078149,0.009992971650494195,True,True,0.0,False,0.0,False
2012-08-15,0.472,-0.17065536720000007,0.2381176471,0.0961336321,0.02070588235,-0.0014221779099999991,0.01176470588,-0.0037720172799999997,0.715,0.11004999999999998,-0.04778080524957007,-0.11413315378752809,0.024288579610063588,-0.01840646208558394,0.010200634426018845,True,True,0.0,False,0.0,False
2012-08-16,0.4013188884,-0.40668111160000003,0.2124352332,0.0721999391,-0.003768252473,-0.041415311293,0.006123410268,-0.010817766202,0.59865,0.03500000000000003,-0.05171186797746352,-0.11944184616530507,0.01815037385321827,-0.03517984038954214,0.010052661272405115,True,True,0.0,False,0.0,False
2012-08-17,0.4231856739,-0.38349353589999996,0.2120640905,0.037640019,-0.0315739868,-0.07861067542,0.006126295947,-0.010806911953,0.5899,-0.09865000000000002,-0.05138794004832037,-0.12068836391756022,0.01670908061216836,-0.03312850654555166,0.009928715242518173,True,True,0.0,False,0.0,False
2012-08-20,0.4509896324,-0.039594171700000014,0.2252591894,0.00151919880000001,-0.06409048068,-0.08386449198000001,0.008011310085,0.001419972985000001,0.6221,-0.35109999999999997,-0.05140250244518174,-0.1221196937582486,0.015054097342684258,-0.014506295420229187,0.009624365572407433,True,True,0.0,False,0.0,False
2012-08-21,0.6808109382,0.08279020300000006,0.2847713343,0.043132144500000025,0.02545968883,0.033942252449,0.02121640736,0.010848829600000002,0.97285,-0.04919999999999991,-0.04070871434748358,-0.11375352203197164,0.024727530986713875,-0.010143627870363159,0.009786828261603642,True,True,0.0,False,0.0,False
2012-08-22,0.6049033475,0.1329033475,0.2635549269,0.019675454199999998,-0.00471475719,-0.025420639539999998,0.008958038661,-0.002806667219000001,0.85235,-0.034949999999999926,-0.04599183838037957,-0.12049018104776232,0.01693823068260647,-0.0071760527977919875,0.009806411975621314,True,True,0.0,False,0.0,False
2012-08-23,0.6921263555,0.2908074671,0.3041018388,0.03116066230000003,-0.01414427157,-0.010376019097,0.01650165017,0.010378239902,0.8915,-0.1362000000000001,-0.03972131063559725,-0.11649855164907263,0.021553574878626858,0.003342532805374443,0.009760275903390002,True,True,0.0,False,0.0,False
2012-08-24,0.4587458746,0.03556020069999999,0.2390381895,-0.04130047469999998,-0.05893446488,-0.02736047808,0.001885902876,-0.004240393071,0.8852,-0.06020000000000003,-0.05211025430514338,-0.12984751321102928,0.006118762145736145,-0.010416272135639448,0.010289487606443406,True,True,0.0,False,0.0,False
2012-08-27,0.2267359471,-0.2242536853,0.1917808219,-0.046919743099999994,-0.2035899858,-0.13949950512,-0.002361832782,-0.010373142867000001,0.8236,-0.12219999999999998,-0.07047316719151298,-0.13448681191966982,0.0,-0.030511317059596865,0.01102214742403556,True,True,0.0,False,0.0,False
2012-08-28,0.2529495045,-0.42786143370000007,0.2067012742,-0.05814321210000001,-0.1713072204,-0.19676690922999998,0.008966493629,-0.012249913731000001,0.6655,-0.26150000000000007,-0.06367486951806256,-0.1272639557667833,0.008514513947370128,-0.03453761049476123,0.011003589467241197,True,True,0.0,False,0.0,False
