index_id,index_name,signal_id,threshold_level,event_type,lead_window_days,event_count,matched_event_count,event_recall,evaluable_trigger_days,hit_signal_days,signal_precision,unconditional_window_event_rate,precision_lift,conditional_baseline_days,conditional_window_event_rate,conditional_precision_lift,median_nearest_lead_days
sse_composite,上证指数,four_industry_top1,small,top,0,26,12,0.46153846153846156,470,12,0.02553191489361702,0.02294792586054722,1.1126022913256954,1133,0.02294792586054722,1.1126022913256954,0.0
sse_composite,上证指数,four_industry_top1,small,top,5,25,17,0.68,468,67,0.14316239316239315,0.13297872340425532,1.0765811965811964,1128,0.13297872340425532,1.0765811965811964,0.0
sse_composite,上证指数,four_industry_top1,small,top,10,25,19,0.76,464,107,0.23060344827586207,0.2404274265360641,0.959139527458493,1123,0.2404274265360641,0.959139527458493,0.0
sse_composite,上证指数,four_industry_top1,small,top,20,25,24,0.96,454,203,0.44713656387665196,0.44294699011680144,1.0094584089142264,1113,0.44294699011680144,1.0094584089142264,0.5
sse_composite,上证指数,four_industry_top1,small,bottom,0,26,10,0.38461538461538464,470,10,0.02127659574468085,0.02294792586054722,0.9271685761047462,1133,0.02294792586054722,0.9271685761047462,0.0
sse_composite,上证指数,four_industry_top1,small,bottom,5,26,16,0.6153846153846154,468,74,0.1581196581196581,0.1374113475177305,1.1507030603804798,1128,0.1374113475177305,1.1507030603804798,0.0
sse_composite,上证指数,four_industry_top1,small,bottom,10,26,18,0.6923076923076923,464,118,0.2543103448275862,0.24309884238646481,1.046119110774283,1123,0.24309884238646481,1.046119110774283,0.0
sse_composite,上证指数,four_industry_top1,small,bottom,20,26,24,0.9230769230769231,454,211,0.4647577092511013,0.44025157232704404,1.0556639395846443,1113,0.44025157232704404,1.0556639395846443,1.0
sse_composite,上证指数,four_industry_top1,medium,top,0,10,5,0.5,470,5,0.010638297872340425,0.0088261253309797,1.2053191489361703,1133,0.0088261253309797,1.2053191489361703,0.0
sse_composite,上证指数,four_industry_top1,medium,top,5,10,7,0.7,468,30,0.0641025641025641,0.05319148936170213,1.205128205128205,1128,0.05319148936170213,1.205128205128205,0.0
sse_composite,上证指数,four_industry_top1,medium,top,10,10,8,0.8,464,44,0.09482758620689655,0.09795191451469279,0.968103448275862,1123,0.09795191451469279,0.968103448275862,0.0
sse_composite,上证指数,four_industry_top1,medium,top,20,10,10,1.0,454,89,0.1960352422907489,0.18867924528301888,1.038986784140969,1113,0.18867924528301888,1.038986784140969,0.5
sse_composite,上证指数,four_industry_top1,medium,bottom,0,10,4,0.4,470,4,0.00851063829787234,0.0088261253309797,0.9642553191489363,1133,0.0088261253309797,0.9642553191489363,0.0
sse_composite,上证指数,four_industry_top1,medium,bottom,5,10,7,0.7,468,32,0.06837606837606838,0.05319148936170213,1.2854700854700856,1128,0.05319148936170213,1.2854700854700856,0.0
sse_composite,上证指数,four_industry_top1,medium,bottom,10,10,8,0.8,464,65,0.1400862068965517,0.09795191451469279,1.4301528213166144,1123,0.09795191451469279,1.4301528213166144,0.5
sse_composite,上证指数,four_industry_top1,medium,bottom,20,10,10,1.0,454,126,0.2775330396475771,0.18508535489667566,1.499486762756084,1113,0.18508535489667566,1.499486762756084,2.0
sse_composite,上证指数,four_industry_top1,large,top,0,2,1,0.5,470,1,0.002127659574468085,0.00176522506619594,1.20531914893617,1133,0.00176522506619594,1.20531914893617,0.0
sse_composite,上证指数,four_industry_top1,large,top,5,2,1,0.5,468,6,0.01282051282051282,0.010638297872340425,1.205128205128205,1128,0.010638297872340425,1.205128205128205,0.0
sse_composite,上证指数,four_industry_top1,large,top,10,2,1,0.5,464,6,0.01293103448275862,0.019590382902938557,0.6600705329153606,1123,0.019590382902938557,0.6600705329153606,0.0
sse_composite,上证指数,four_industry_top1,large,top,20,2,2,1.0,454,13,0.028634361233480177,0.03773584905660377,0.7588105726872247,1113,0.03773584905660377,0.7588105726872247,7.0
