index_id,index_name,signal_id,sample_definition,control_definition,horizon_days,trigger_n,control_n,trigger_median_max_down,control_median_max_down,difference_median_max_down,trigger_median_max_up,control_median_max_up,difference_median_max_up,trigger_median_return,control_median_return,difference_median_return,trigger_mean_return,control_mean_return,difference_mean_return,trigger_negative_return_rate,control_negative_return_rate,difference_negative_return_rate
sse_composite,上证指数,four_industry_top1,all active days,all inactive days,5,468,660,-0.0090351778441931,-0.00634816310352435,-0.002687014740668749,0.0060107176531367,0.0077566956614969,-0.0017459780083602001,-0.00116457630943185,0.0019232944682875,-0.0030878707777193502,-0.0008198419854407558,0.001588417526698986,-0.002408259512139742,0.5277777777777778,0.4484848484848485,0.0792929292929293
sse_composite,上证指数,four_industry_top1,all active days,all inactive days,10,464,659,-0.01538145228488225,-0.0111455252435417,-0.0042359270413405495,0.01064886119264425,0.0131311759425196,-0.0024823147498753504,-0.00234072986062085,0.0020427490667225,-0.004383478927343349,-0.0027723765100169254,0.0038509883840689694,-0.006623364894085895,0.5323275862068966,0.4628224582701062,0.06950512793679037
sse_composite,上证指数,four_industry_top1,all active days,all inactive days,20,454,659,-0.03074318739486645,-0.0188075618031992,-0.011935625591667252,0.0169157095015026,0.0183326502466589,-0.0014169407451562997,-0.01021684312532535,-0.0003722417496583,-0.009844601375667051,-0.0032783632945302546,0.005807949666349434,-0.009086312960879687,0.566079295154185,0.503793626707132,0.062285668447052966
sse_composite,上证指数,four_industry_top1,all active days,all inactive days,60,437,636,-0.0568442914008462,-0.046941345787092054,-0.009902945613754148,0.0398710752714526,0.0386522095620003,0.001218865709452302,0.0017639135715443,0.00066426740637555,0.00109964616516875,0.010197859758234987,0.009124103312132512,0.0010737564461024748,0.4851258581235698,0.48742138364779874,-0.0022955255242289585
sse_composite,上证指数,four_industry_top1_onset,first active day of each episode,all inactive days,5,106,660,-0.00461911406603045,-0.00634816310352435,0.0017290490374939002,0.007973276040560251,0.0077566956614969,0.0002165803790633511,0.00034162565045975,0.0019232944682875,-0.00158166881782775,0.0021128924917896475,0.001588417526698986,0.0005244749650906615,0.4811320754716981,0.4484848484848485,0.03264722698684963
sse_composite,上证指数,four_industry_top1_onset,first active day of each episode,all inactive days,10,105,659,-0.011008617767231,-0.0111455252435417,0.0001369074763107013,0.0136287332738853,0.0131311759425196,0.0004975573313656997,0.0004831533326763,0.0020427490667225,-0.0015595957340462,0.002804353213220583,0.0038509883840689694,-0.0010466351708483864,0.49523809523809526,0.4628224582701062,0.03241563696798905
sse_composite,上证指数,four_industry_top1_onset,first active day of each episode,all inactive days,20,105,659,-0.0223452639905082,-0.0188075618031992,-0.003537702187309002,0.0178389190513124,0.0183326502466589,-0.0004937311953465001,0.0007197968641359,-0.0003722417496583,0.0010920386137942,-0.001633143282493024,0.005807949666349434,-0.007441092948842458,0.49523809523809526,0.503793626707132,-0.008555531469036759
sse_composite,上证指数,four_industry_top1_onset,first active day of each episode,all inactive days,60,103,636,-0.058845943254554,-0.046941345787092054,-0.011904597467461947,0.0401923190082968,0.0386522095620003,0.0015401094462964976,0.0039438609210884,0.00066426740637555,0.0032795935147128504,0.007919252499787522,0.009124103312132512,-0.0012048508123449903,0.44660194174757284,0.48742138364779874,-0.040819441900225906
sse_composite,上证指数,four_industry_top1_continuation,active days after episode onset,all inactive days,5,362,660,-0.00990314462902335,-0.00634816310352435,-0.003554981525499,0.00501506811081905,0.0077566956614969,-0.0027416275506778496,-0.0021112269910973,0.0019232944682875,-0.0040345214593848,-0.001678598489823139,0.001588417526698986,-0.003267016016522125,0.5414364640883977,0.4484848484848485,0.09295161560354925
sse_composite,上证指数,four_industry_top1_continuation,active days after episode onset,all inactive days,10,359,659,-0.0160839752814695,-0.0111455252435417,-0.0049384500379278,0.0096696939537199,0.0131311759425196,-0.0034614819887997007,-0.0033324188914075,0.0020427490667225,-0.00537516795813,-0.004403453448568285,0.0038509883840689694,-0.008254441832637254,0.5431754874651811,0.4628224582701062,0.08035302919507487
sse_composite,上证指数,four_industry_top1_continuation,active days after episode onset,all inactive days,20,349,659,-0.0358743462339213,-0.0188075618031992,-0.017066784430722102,0.0156971308539444,0.0183326502466589,-0.002635519392714499,-0.0134844281422242,-0.0003722417496583,-0.013112186392565901,-0.0037733435273781314,0.005807949666349434,-0.009581293193727565,0.5873925501432665,0.503793626707132,0.08359892343613451
sse_composite,上证指数,four_industry_top1_continuation,active days after episode onset,all inactive days,60,334,636,-0.0562844894970427,-0.046941345787092054,-0.009343143709950645,0.03983437690199225,0.0386522095620003,0.0011821673399919491,0.00071380545754745,0.00066426740637555,4.9538051171899955e-05,0.010900544032546634,0.009124103312132512,0.0017764407204141214,0.49700598802395207,0.48742138364779874,0.009584604376153327
sse_composite,上证指数,four_industry_top1_exit,first inactive day after each episode,inactive days excluding exits,5,105,555,-0.0047451277705926,-0.0065443657194768,0.0017992379488842,0.0085868558038897,0.0073684493343544,0.0012184064695353004,0.0032094344605044,0.001729743436484,0.0014796910240204,0.0017268477027473051,0.0015622280339330883,0.00016461966881421686,0.4,0.45765765765765765,-0.057657657657657624
sse_composite,上证指数,four_industry_top1_exit,first inactive day after each episode,inactive days excluding exits,10,104,555,-0.01085662538980475,-0.0111604475210752,0.0003038221312704516,0.014353406788700299,0.0129726651833101,0.0013807416053901993,0.0036913244939897503,0.0018896932606911,0.0018016312332986503,0.0010631266682294858,0.004373398507397449,-0.0033102718391679635,0.4326923076923077,0.46846846846846846,-0.03577616077616075
sse_composite,上证指数,four_industry_top1_exit,first inactive day after each episode,inactive days excluding exits,20,104,555,-0.0191111068923531,-0.0188075618031992,-0.0003035450891539018,0.02037086946186105,0.0177534176918112,0.00261745177004985,0.0019186688064119501,-0.0003789714890054,0.00229764029541735,0.0021105297796036133,0.006500799519000903,-0.0043902697393972895,0.49038461538461536,0.5063063063063064,-0.01592169092169099
sse_composite,上证指数,four_industry_top1_exit,first inactive day after each episode,inactive days excluding exits,60,103,533,-0.0485959869256669,-0.0465274039314287,-0.002068582994238198,0.0441992316414778,0.037700347519912,0.0064988841215658025,0.0111678479191481,-0.0006763947259248,0.0118442426450729,0.01014474056053966,0.008926869472384042,0.001217871088155617,0.4174757281553398,0.50093808630394,-0.0834623581486002
sse_composite,上证指数,four_industry_top1_breadth_le_50_onset,first day after 全市场宽度≤50% filter,days inactive after 全市场宽度≤50% filter,5,70,841,-0.00887882384619175,-0.0061587252567124,-0.0027200985894793497,0.0057949202499049494,0.0077365085006813,-0.0019415882507763504,-0.00373950814838765,0.0018509847988263,-0.00559049294721395,-0.002824557187222301,0.0018970914526232885,-0.00472164863984559,0.5428571428571428,0.45541022592152197,0.08744691693562084
sse_composite,上证指数,four_industry_top1_breadth_le_50_onset,first day after 全市场宽度≤50% filter,days inactive after 全市场宽度≤50% filter,10,70,836,-0.015534174896214649,-0.01115298638230845,-0.004381188513906198,0.0101377770279109,0.012989509871678049,-0.002851732843767149,-0.0006523339771357,0.0012436373778911998,-0.0018959713550268998,-0.0033852857962440933,0.002888930789425,-0.006274216585669093,0.5142857142857142,0.47368421052631576,0.04060150375939847
sse_composite,上证指数,four_industry_top1_breadth_le_50_onset,first day after 全市场宽度≤50% filter,days inactive after 全市场宽度≤50% filter,20,70,835,-0.027195972378410947,-0.0190975613420882,-0.008098411036322747,0.0138055100184155,0.018465741867127,-0.0046602318487114994,-0.015224118960834702,-0.0004726431117602,-0.014751475849074502,-0.009738054186409387,0.0043322979040737964,-0.014070352090483185,0.6,0.5101796407185629,0.08982035928143706
sse_composite,上证指数,four_industry_top1_breadth_le_50_onset,first day after 全市场宽度≤50% filter,days inactive after 全市场宽度≤50% filter,60,68,812,-0.06909109606672345,-0.045711396204992746,-0.023379699861730704,0.03982414325655585,0.038512047987252454,0.0013120952693033983,0.00631194636744045,-0.00013567322315405,0.0064476195905945,0.007139462745985258,0.007241156461027997,-0.00010169371504273935,0.4117647058823529,0.5,-0.08823529411764708
sse_composite,上证指数,four_industry_top1_breadth_le_50_exit,first exit day after 全市场宽度≤50% filter,filtered inactive days excluding exits after 全市场宽度≤50% filter,5,70,771,-0.00573349338740245,-0.00624291754319,0.00050942415578755,0.0075522615983878005,0.0077752899331631,-0.0002230283347752996,0.00368157095916285,0.0015389718472742,0.00214259911188865,0.0011128643345156147,0.001968292358288058,-0.0008554280237724433,0.38571428571428573,0.46173800259403375,-0.07602371687974802
sse_composite,上证指数,four_industry_top1_breadth_le_50_exit,first exit day after 全市场宽度≤50% filter,filtered inactive days excluding exits after 全市场宽度≤50% filter,10,70,766,-0.01493105985938455,-0.01097040410866345,-0.0039606557507211,0.01368226637970015,0.01291345382320965,0.0007688125564905002,0.0034052779323959503,0.0010246938841198,0.0023805840482761503,-0.0010781871619946453,0.0032514611505207905,-0.004329648312515436,0.44285714285714284,0.4765013054830287,-0.033644162625885876
sse_composite,上证指数,four_industry_top1_breadth_le_50_exit,first exit day after 全市场宽度≤50% filter,filtered inactive days excluding exits after 全市场宽度≤50% filter,20,69,766,-0.0258004136036349,-0.01871201012464575,-0.0070884034789891505,0.0188910157050057,0.018375613631523652,0.0005154020734820484,-0.0071882632116813,-0.00046098553488,-0.0067272776768013,-0.0032611416849358354,0.005016302253475446,-0.008277443938411282,0.5217391304347826,0.5091383812010444,0.012600749233738218
sse_composite,上证指数,four_industry_top1_breadth_le_50_exit,first exit day after 全市场宽度≤50% filter,filtered inactive days excluding exits after 全市场宽度≤50% filter,60,68,744,-0.06179342313858785,-0.0450929238754648,-0.01670049926312305,0.0498155701347503,0.03812381886951105,0.011691751265239247,0.019157637765585503,-0.00187742191308675,0.021035059678672252,0.01516356935710373,0.006517064959773759,0.00864650439732997,0.3382352941176471,0.5147849462365591,-0.17654965211891205
sse_composite,上证指数,four_industry_top1_breadth_gt_50_onset,first day after 全市场宽度>50% filter,days inactive after 全市场宽度>50% filter,5,70,947,-0.0033326956441163003,-0.0074604489810393,0.0041277533369229995,0.00964676814590955,0.0067934336704891,0.0028533344754204503,0.00364309876875095,0.0006991095886057,0.00294398918014525,0.0066284506881248,0.0001241511873286187,0.006504299500796181,0.38571428571428573,0.4815205913410771,-0.09580630562679138
sse_composite,上证指数,four_industry_top1_breadth_gt_50_onset,first day after 全市场宽度>50% filter,days inactive after 全市场宽度>50% filter,10,69,946,-0.007410508945257,-0.013400837099666,0.005990328154409,0.0158149179524564,0.01240292448570395,0.0034119934667524495,0.0037349683075647,0.0003940883453923,0.0033408799621723996,0.006599845187510832,0.0014525093547523768,0.005147335832758455,0.463768115942029,0.48731501057082455,-0.023546894628795556
sse_composite,上证指数,four_industry_top1_breadth_gt_50_onset,first day after 全市场宽度>50% filter,days inactive after 全市场宽度>50% filter,20,68,937,-0.016141652728792498,-0.0235365302106125,0.007394877481820002,0.02056739893624215,0.0177505784013731,0.0028168205348690495,0.00448805248152135,-0.0019063383887339,0.00639439087025525,-0.0001874446676767934,0.0027204183293812146,-0.002907862997058008,0.45588235294117646,0.528281750266809,-0.07239939732563255
sse_composite,上证指数,four_industry_top1_breadth_gt_50_onset,first day after 全市场宽度>50% filter,days inactive after 全市场宽度>50% filter,60,68,897,-0.039208270706626844,-0.0513920750943478,0.012183804387720959,0.0400316971398747,0.0397877847191578,0.00024391242071689773,0.0019054610022699,0.003181864691534,-0.0012764036892641002,0.010134271276005396,0.011351733646629338,-0.001217462370623942,0.47058823529411764,0.47491638795986624,-0.004328152665748597
sse_composite,上证指数,four_industry_top1_breadth_gt_50_exit,first exit day after 全市场宽度>50% filter,filtered inactive days excluding exits after 全市场宽度>50% filter,5,69,878,-0.0044835142691619,-0.007778517278744949,0.003295003009583049,0.0073669903677586,0.006787698497366899,0.0005792918703917006,0.0021501195146218,0.000564377859336,0.0015857416552858,0.0021119484971861766,-3.206522996087039e-05,0.0021440137271470467,0.42028985507246375,0.4863325740318907,-0.06604271895942693
sse_composite,上证指数,four_industry_top1_breadth_gt_50_exit,first exit day after 全市场宽度>50% filter,filtered inactive days excluding exits after 全市场宽度>50% filter,10,68,878,-0.00970091314837965,-0.0139220963748652,0.004221183226485549,0.0143815618971645,0.01219245793324525,0.0021891039639192495,0.0054614892521234,0.000306244471131,0.0051552447809924,0.001617654406595461,0.0014397190773886754,0.00017793532920678547,0.4411764705882353,0.4908883826879271,-0.049711912099691835
sse_composite,上证指数,four_industry_top1_breadth_gt_50_exit,first exit day after 全市场宽度>50% filter,filtered inactive days excluding exits after 全市场宽度>50% filter,20,68,869,-0.0159451142156003,-0.023787922775439,0.0078428085598387,0.0215869013120323,0.0174027161042942,0.004184185207738101,-0.00134193747690225,-0.0021374522193619,0.00079551474245965,-0.0011531781242582792,0.003023530595028495,-0.004176708719286775,0.5294117647058824,0.5281933256616801,0.0012184390442022686
sse_composite,上证指数,four_industry_top1_breadth_gt_50_exit,first exit day after 全市场宽度>50% filter,filtered inactive days excluding exits after 全市场宽度>50% filter,60,68,829,-0.042873418667317004,-0.0517854435060854,0.0089120248387684,0.0400154640469507,0.0397877847191578,0.00022767932779289846,-0.0029838079875832996,0.0033016725109042,-0.006285480498487499,0.005481124521614426,0.011833279389091355,-0.006352154867476929,0.5,0.47285886610373945,0.02714113389626055
sse_composite,上证指数,target_bank_top1,bank Top1 days,bank not-Top1 days,5,264,864,-0.0101801499878227,-0.0065970202697098,-0.0035831297181129,0.0057142648748803,0.00708462081376875,-0.0013703559388884498,-0.0021818324514242503,0.00135944225872405,-0.0035412747101483,-0.0014749876185006804,0.0012199840853231905,-0.0026949717038238707,0.5416666666666666,0.46296296296296297,0.07870370370370366
sse_composite,上证指数,target_bank_top1,bank Top1 days,bank not-Top1 days,10,263,860,-0.0164552656195827,-0.01180674960472475,-0.004648516014857952,0.0115335899059774,0.01247867373808325,-0.0009450838321058506,-0.0006932863647435,0.0005044959773082499,-0.0011977823420517499,-0.0027255920664659133,0.0022886620441094564,-0.005014254110575369,0.5171102661596958,0.48372093023255813,0.033389335927137664
sse_composite,上证指数,target_bank_top1,bank Top1 days,bank not-Top1 days,20,253,860,-0.0358901350125975,-0.02013176846019845,-0.015758366552399053,0.0173668041482086,0.01811373923560795,-0.0007469350873993488,-0.0139097696544181,-0.00111892110195245,-0.01279084855246565,-0.00316019433218424,0.003649524488895528,-0.006809718821079768,0.5770750988142292,0.5151162790697674,0.061958819744461824
sse_composite,上证指数,target_bank_top1,bank Top1 days,bank not-Top1 days,60,242,831,-0.053326426855119,-0.0485959869256669,-0.0047304399294521016,0.0515455075920148,0.0376912259769037,0.013854281615111104,0.0219839691513488,-0.0015969469231986,0.0235809160745474,0.02337809825376913,0.005537779354335547,0.017840318899433584,0.4049586776859504,0.5102286401925391,-0.10526996250658871
sse_composite,上证指数,target_coal_top1,coal Top1 days,coal not-Top1 days,5,154,974,-0.0091693191173925,-0.00677783582316035,-0.0023914832942321506,0.00609467778471045,0.00703830275055855,-0.0009436249658481,-0.00260556214173245,0.00120850624433005,-0.0038140683860625,0.0008826607954861415,0.0005428539588605661,0.00033980683662557546,0.538961038961039,0.4722792607802875,0.0666817781807515
sse_composite,上证指数,target_coal_top1,coal Top1 days,coal not-Top1 days,10,154,969,-0.01522832339069015,-0.0120946989191972,-0.0031336244714929504,0.0096072079462666,0.01277404613233,-0.0031668381860634007,-0.004862101125927,0.0011496779713384,-0.006011779097265401,-0.0040347691626771666,0.001932686373071085,-0.005967455535748251,0.577922077922078,0.47781217750258,0.10010990041949797
sse_composite,上证指数,target_coal_top1,coal Top1 days,coal not-Top1 days,20,154,959,-0.03179710980091405,-0.0216676216006057,-0.010129488200308349,0.014811285806042799,0.0183276279856916,-0.0035163421796488015,-0.01631989871550485,-0.0012255845391586,-0.01509431417634625,-0.006243308345570619,0.0034416385606104447,-0.009684946906181064,0.6168831168831169,0.5151199165797706,0.10176320030334629
sse_composite,上证指数,target_coal_top1,coal Top1 days,coal not-Top1 days,60,148,925,-0.06889311043331495,-0.048572931737472,-0.020320178695842947,0.02671110809767235,0.0408864747100039,-0.014175366612331552,-0.01378125491972335,0.0037983128493277,-0.01757956776905105,-0.009126050657853182,0.012551405317002424,-0.021677455974855604,0.6216216216216216,0.4648648648648649,0.1567567567567567
sse_composite,上证指数,target_nonferrous_top1,nonferrous Top1 days,nonferrous not-Top1 days,5,50,1078,-0.0042237457587122,-0.0074512148735524,0.0032274691148402,0.0073682999569466,0.0068975352713131505,0.00047076468563344957,0.0012177647480196,0.0007128248856157001,0.0005049398624038999,-0.0002413209440500038,0.0006277695414077525,-0.0008690904854577563,0.46,0.48237476808905383,-0.02237476808905381
sse_composite,上证指数,target_nonferrous_top1,nonferrous Top1 days,nonferrous not-Top1 days,10,48,1075,-0.0102803502821089,-0.0130496563840231,0.0027693061019142,0.0137252776771307,0.0121990369181379,0.001526240758992799,0.0065594018491880995,0.0002559617763748,0.006303440072813299,0.0050779003145197425,0.0009373762133550235,0.0041405241011647186,0.4375,0.493953488372093,-0.05645348837209302
sse_composite,上证指数,target_nonferrous_top1,nonferrous Top1 days,nonferrous not-Top1 days,20,48,1065,-0.011857771573645051,-0.023798816136521,0.011941044562875949,0.038934959294848054,0.017331221179534,0.021603738115314054,0.0277215944115315,-0.003107002825392,0.030828597236923497,0.02108996128883528,0.0012457687817309367,0.01984419250710434,0.20833333333333334,0.543661971830986,-0.3353286384976526
