region_id,lobe_id,index_id,index_name,event_type,scale,lobe_number,lobe_start,lobe_end,lobe_start_position,lobe_end_position,representative_date,representative_position,representative_price,relative_anchor_price,core_days,gap_from_previous_lobe,small_pivot_count,small_pivot_dates,label_version
sse_composite_medium_top_20091124,sse_composite_medium_top_20091124_lobe_01,sse_composite,上证指数,top,medium,1,2009-11-17,2009-11-24,2382,2387,2009-11-24,2387,3361.39,0.0,6,,1,2009-11-24,top_bottom_regions_v1
sse_composite_medium_bottom_20091127,sse_composite_medium_bottom_20091127_lobe_01,sse_composite,上证指数,bottom,medium,1,2009-11-27,2009-11-30,2390,2391,2009-11-27,2390,3080.89,0.0,2,,1,2009-11-27,top_bottom_regions_v1
sse_composite_medium_top_20091207,sse_composite_medium_top_20091207_lobe_01,sse_composite,上证指数,top,medium,1,2009-12-03,2009-12-14,2394,2401,2009-12-07,2396,3334.01,0.0,8,,1,2009-12-07,top_bottom_regions_v1
sse_composite_medium_bottom_20091222,sse_composite_medium_bottom_20091222_lobe_01,sse_composite,上证指数,bottom,medium,1,2009-12-21,2009-12-24,2406,2409,2009-12-22,2407,3039.86,0.0,4,,1,2009-12-22,top_bottom_regions_v1
sse_composite_medium_top_20100111,sse_composite_medium_top_20100111_lobe_01,sse_composite,上证指数,top,medium,1,2009-12-31,2010-01-07,2414,2418,2010-01-06,2417,3295.87,-0.0032902396612989326,5,,1,2010-01-06,top_bottom_regions_v1
sse_composite_medium_top_20100111,sse_composite_medium_top_20100111_lobe_02,sse_composite,上证指数,top,medium,2,2010-01-11,2010-01-12,2420,2421,2010-01-11,2420,3306.75,0.0,2,1,1,2010-01-11,top_bottom_regions_v1
sse_composite_medium_top_20100111,sse_composite_medium_top_20100111_lobe_03,sse_composite,上证指数,top,medium,3,2010-01-15,2010-01-15,2424,2424,2010-01-15,2424,3241.82,-0.019635593861041745,1,2,0,,top_bottom_regions_v1
sse_composite_medium_top_20100111,sse_composite_medium_top_20100111_lobe_04,sse_composite,上证指数,top,medium,4,2010-01-19,2010-01-20,2426,2427,2010-01-19,2426,3268.81,-0.011473501171845535,2,1,0,,top_bottom_regions_v1
sse_composite_medium_bottom_20100203,sse_composite_medium_bottom_20100203_lobe_01,sse_composite,上证指数,bottom,medium,1,2010-02-01,2010-02-03,2435,2437,2010-02-03,2437,2890.02,0.0,3,,1,2010-02-03,top_bottom_regions_v1
sse_composite_medium_bottom_20100203,sse_composite_medium_bottom_20100203_lobe_02,sse_composite,上证指数,bottom,medium,2,2010-02-05,2010-02-09,2439,2441,2010-02-05,2439,2918.91,0.009996470612660069,3,1,0,,top_bottom_regions_v1
sse_composite_medium_bottom_20100203,sse_composite_medium_bottom_20100203_lobe_03,sse_composite,上证指数,bottom,medium,3,2010-02-23,2010-02-23,2446,2446,2010-02-23,2446,2938.75,0.01686147500709345,1,4,0,,top_bottom_regions_v1
sse_composite_medium_top_20100415,sse_composite_medium_top_20100415_lobe_01,sse_composite,上证指数,top,medium,1,2010-03-29,2010-04-16,2470,2483,2010-04-15,2482,3181.66,0.0,14,,1,2010-04-15,top_bottom_regions_v1
sse_composite_medium_bottom_20100521,sse_composite_medium_bottom_20100521_lobe_01,sse_composite,上证指数,bottom,medium,1,2010-05-18,2010-05-18,2504,2504,2010-05-18,2504,2529.63,0.019202488345951174,1,,0,,top_bottom_regions_v1
sse_composite_medium_bottom_20100521,sse_composite_medium_bottom_20100521_lobe_02,sse_composite,上证指数,bottom,medium,2,2010-05-21,2010-05-21,2507,2507,2010-05-21,2507,2481.97,0.0,1,2,1,2010-05-21,top_bottom_regions_v1
sse_composite_medium_top_20100528,sse_composite_medium_top_20100528_lobe_01,sse_composite,上证指数,top,medium,1,2010-05-26,2010-05-31,2510,2513,2010-05-28,2512,2686.54,0.0,4,,1,2010-05-28,top_bottom_regions_v1
sse_composite_medium_bottom_20100702,sse_composite_medium_bottom_20100702_lobe_01,sse_composite,上证指数,bottom,medium,1,2010-07-02,2010-07-06,2534,2536,2010-07-02,2534,2319.74,0.0,3,,1,2010-07-02,top_bottom_regions_v1
sse_composite_medium_top_20101111,sse_composite_medium_top_20101111_lobe_01,sse_composite,上证指数,top,medium,1,2010-11-05,2010-11-12,2616,2621,2010-11-11,2620,3186.72,0.0,6,,1,2010-11-11,top_bottom_regions_v1
sse_composite_medium_bottom_20110125,sse_composite_medium_bottom_20110125_lobe_01,sse_composite,上证指数,bottom,medium,1,2011-01-17,2011-01-27,2666,2674,2011-01-25,2672,2661.45,0.0,9,,1,2011-01-25,top_bottom_regions_v1
sse_composite_medium_top_20110418,sse_composite_medium_top_20110418_lobe_01,sse_composite,上证指数,top,medium,1,2011-04-07,2011-04-22,2717,2728,2011-04-18,2724,3067.46,0.0,12,,1,2011-04-18,top_bottom_regions_v1
sse_composite_medium_bottom_20110620,sse_composite_medium_bottom_20110620_lobe_01,sse_composite,上证指数,bottom,medium,1,2011-06-16,2011-06-23,2765,2770,2011-06-20,2767,2610.99,0.0,6,,1,2011-06-20,top_bottom_regions_v1
