fold_id,test_year,model_id,direction,bin_number,bin_lower,bin_upper,rows,mean_predicted_probability,observed_rate,absolute_gap,probability_status
wf_cal3_2021,2021,shallow_gbdt,bottom,0,0.0,0.1,241,0.004357037322738357,0.03319502074688797,0.02883798342414961,calibrated
wf_cal3_2021,2021,shallow_gbdt,bottom,1,0.1,0.2,2,0.15473741136924501,0.0,0.15473741136924501,calibrated
wf_cal3_2022,2022,elastic_net,top,0,0.0,0.1,219,0.040733470367976636,0.0182648401826484,0.022468630185328235,calibrated
wf_cal3_2022,2022,elastic_net,top,1,0.1,0.2,23,0.12569527020917562,0.30434782608695654,0.17865255587778092,calibrated
wf_cal3_2022,2022,elastic_net,bottom,0,0.0,0.1,189,0.023160160552032707,0.015873015873015872,0.007287144679016835,calibrated
wf_cal3_2022,2022,elastic_net,bottom,1,0.1,0.2,23,0.12939428098846928,0.043478260869565216,0.08591602011890406,calibrated
wf_cal3_2022,2022,elastic_net,bottom,2,0.2,0.3,9,0.24152252122403844,0.1111111111111111,0.13041141011292734,calibrated
wf_cal3_2022,2022,elastic_net,bottom,3,0.3,0.4,6,0.34907631975694936,0.0,0.34907631975694936,calibrated
wf_cal3_2022,2022,elastic_net,bottom,4,0.4,0.5,3,0.4727714301737284,0.0,0.4727714301737284,calibrated
wf_cal3_2022,2022,elastic_net,bottom,5,0.5,0.6,5,0.5468762009898214,0.0,0.5468762009898214,calibrated
wf_cal3_2022,2022,elastic_net,bottom,6,0.6,0.7,4,0.6513775630580162,0.5,0.1513775630580162,calibrated
wf_cal3_2022,2022,elastic_net,bottom,8,0.8,0.9,2,0.8706021872993132,0.5,0.37060218729931316,calibrated
wf_cal3_2022,2022,elastic_net,bottom,9,0.9,1.0,1,0.9096405027698927,1.0,0.09035949723010728,calibrated
wf_cal3_2022,2022,shallow_gbdt,top,0,0.0,0.1,192,0.020846228909930542,0.015625,0.005221228909930542,calibrated
wf_cal3_2022,2022,shallow_gbdt,top,1,0.1,0.2,45,0.14176519339268975,0.17777777777777778,0.03601258438508803,calibrated
wf_cal3_2022,2022,shallow_gbdt,top,2,0.2,0.3,4,0.24670592801547503,0.0,0.24670592801547503,calibrated
wf_cal3_2022,2022,shallow_gbdt,top,3,0.3,0.4,1,0.321744355241092,0.0,0.321744355241092,calibrated
wf_cal3_2022,2022,shallow_gbdt,bottom,0,0.0,0.1,166,0.012244433182676203,0.006024096385542169,0.006220336797134034,calibrated
wf_cal3_2022,2022,shallow_gbdt,bottom,1,0.1,0.2,19,0.14518405118224265,0.05263157894736842,0.09255247223487423,calibrated
wf_cal3_2022,2022,shallow_gbdt,bottom,2,0.2,0.3,9,0.24271672044281173,0.1111111111111111,0.13160560933170062,calibrated
wf_cal3_2022,2022,shallow_gbdt,bottom,3,0.3,0.4,7,0.333887376761514,0.0,0.333887376761514,calibrated
wf_cal3_2022,2022,shallow_gbdt,bottom,4,0.4,0.5,24,0.4712547993268365,0.125,0.3462547993268365,calibrated
