above_count_ma120,above_count_ma20,above_count_ma60,base_valid_count,base_valid_missing_industry_count,breadth_ma120,breadth_ma20,breadth_ma60,close_missing_count,date,four_industry_present_count,four_industry_top1_ids,four_industry_top1_triggered,insufficient_history_count_ma120,insufficient_history_count_ma20,insufficient_history_count_ma60,paused_count,paused_status_missing_count,ranked_industry_count_ma20,st_count,st_status_missing_count,target_bank_breadth_ma20,target_bank_expected_name,target_bank_industry_code,target_bank_industry_name,target_bank_is_top1_ma20,target_bank_mapping_count,target_bank_rank_ma20,target_bank_valid_count_ma20,target_coal_breadth_ma20,target_coal_expected_name,target_coal_industry_code,target_coal_industry_name,target_coal_is_top1_ma20,target_coal_mapping_count,target_coal_rank_ma20,target_coal_valid_count_ma20,target_nonferrous_breadth_ma20,target_nonferrous_expected_name,target_nonferrous_industry_code,target_nonferrous_industry_name,target_nonferrous_is_top1_ma20,target_nonferrous_mapping_count,target_nonferrous_rank_ma20,target_nonferrous_valid_count_ma20,target_steel_breadth_ma20,target_steel_expected_name,target_steel_industry_code,target_steel_industry_name,target_steel_is_top1_ma20,target_steel_mapping_count,target_steel_rank_ma20,target_steel_valid_count_ma20,top1_industry_codes_ma20,top1_industry_names_ma20,top1_tie_count_ma20,universe_size,valid_count_ma120,valid_count_ma20,valid_count_ma60
999,792,913,1963,0,0.5089149261,0.4034640856,0.465104432,0,2012-05-14,2,,False,0,0,0,69,0,23,24,0,,银行,,,False,0,,0,,煤炭,,,False,0,,0,0.4,有色金属,801050,有色金属I,False,1,7,65,0.1875,钢铁,801040,钢铁I,False,1,23,32,801150,医药生物I,1,2054,1963,1963,1963
962,721,847,1941,0,0.495620814,0.3714580113,0.4363730036,0,2012-05-15,2,,False,0,0,0,92,0,23,24,0,,银行,,,False,0,,0,,煤炭,,,False,0,,0,0.2878787879,有色金属,801050,有色金属I,False,1,16,66,0.1935483871,钢铁,801040,钢铁I,False,1,22,31,801150,医药生物I,1,2054,1941,1941,1941
892,542,727,1931,0,0.4619368203,0.2806835836,0.3764888659,0,2012-05-16,2,,False,0,0,0,101,0,23,24,0,,银行,,,False,0,,0,,煤炭,,,False,0,,0,0.2307692308,有色金属,801050,有色金属I,False,1,16,65,0.1612903226,钢铁,801040,钢铁I,False,1,20,31,801150,医药生物I,1,2054,1931,1931,1931
1043,803,884,1956,0,0.5332310838,0.4105316973,0.4519427403,0,2012-05-17,2,,False,0,0,0,76,0,23,24,0,,银行,,,False,0,,0,,煤炭,,,False,0,,0,0.3731343284,有色金属,801050,有色金属I,False,1,13,67,0.125,钢铁,801040,钢铁I,False,1,23,32,801150,医药生物I,1,2054,1956,1956,1956
888,538,684,1900,0,0.4673684211,0.2831578947,0.36,0,2012-05-18,2,,False,0,0,0,135,0,23,24,0,,银行,,,False,0,,0,,煤炭,,,False,0,,0,0.2063492063,有色金属,801050,有色金属I,False,1,19,63,0.1333333333,钢铁,801040,钢铁I,False,1,23,30,801170,交通运输I,1,2054,1900,1900,1900
924,512,691,1964,0,0.4704684318,0.2606924644,0.3518329939,0,2012-05-21,2,,False,0,0,0,70,0,23,24,0,,银行,,,False,0,,0,,煤炭,,,False,0,,0,0.3636363636,有色金属,801050,有色金属I,False,1,5,66,0.15625,钢铁,801040,钢铁I,False,1,21,32,801120,食品饮料I,1,2054,1964,1964,1964
1025,782,814,1965,0,0.5216284987,0.3979643766,0.4142493639,0,2012-05-22,2,,False,0,0,0,69,0,23,24,0,,银行,,,False,0,,0,,煤炭,,,False,0,,0,0.4696969697,有色金属,801050,有色金属I,False,1,4,66,0.2,钢铁,801040,钢铁I,False,1,23,30,801120,食品饮料I,1,2054,1965,1965,1965
988,681,768,1970,0,0.5015228426,0.3456852792,0.3898477157,0,2012-05-23,2,,False,0,0,0,63,0,23,24,0,,银行,,,False,0,,0,,煤炭,,,False,0,,0,0.2835820896,有色金属,801050,有色金属I,False,1,17,67,0.09375,钢铁,801040,钢铁I,False,1,23,32,801120,食品饮料I,1,2054,1970,1970,1970
959,592,734,1987,0,0.4826371414,0.2979365878,0.3694011072,0,2012-05-24,2,,False,0,0,0,45,0,23,24,0,,银行,,,False,0,,0,,煤炭,,,False,0,,0,0.2835820896,有色金属,801050,有色金属I,False,1,10,67,0.0625,钢铁,801040,钢铁I,False,1,23,32,801120,食品饮料I,1,2054,1987,1987,1987
820,438,601,1939,0,0.4228984012,0.2258896338,0.3099535843,0,2012-05-25,2,,False,0,0,0,93,0,23,24,0,,银行,,,False,0,,0,,煤炭,,,False,0,,0,0.2923076923,有色金属,801050,有色金属I,False,1,5,65,0.1333333333,钢铁,801040,钢铁I,False,1,21,30,801060,建筑建材I,1,2054,1939,1939,1939
961,588,739,1974,0,0.4868287741,0.2978723404,0.374366768,0,2012-05-28,2,,False,0,0,0,58,0,23,24,0,,银行,,,False,0,,0,,煤炭,,,False,0,,0,0.3846153846,有色金属,801050,有色金属I,False,1,5,65,0.53125,钢铁,801040,钢铁I,False,1,2,32,801060,建筑建材I,1,2054,1974,1974,1974
