above_count_ma120,above_count_ma20,above_count_ma60,base_valid_count,breadth_ma120,breadth_ma20,breadth_ma60,date,industry_code,industry_name,universe_count,valid_count_ma120,valid_count_ma20,valid_count_ma60,rank_eligible_ma20,rank_ma20,is_top1_ma20,target_id,is_target_industry
2,7,2,143,0.01408450704,0.04895104895,0.01398601399,2012-01-16,801150,医药生物I,155,142,143,143,True,22,False,,False
7,12,9,77,0.09090909091,0.1558441558,0.1168831169,2012-01-16,801160,公用事业I,81,77,77,77,True,11,False,,False
4,19,4,76,0.05263157895,0.25,0.05263157895,2012-01-16,801170,交通运输I,80,76,76,76,True,5,False,,False
3,23,9,130,0.02307692308,0.1769230769,0.06923076923,2012-01-16,801180,房地产I,135,130,130,130,True,9,False,,False
12,22,13,39,0.3076923077,0.5641025641,0.3333333333,2012-01-16,801190,金融服务I,44,39,39,39,True,2,False,,False
2,11,1,83,0.02409638554,0.1325301205,0.01204819277,2012-01-16,801200,商业贸易I,88,83,83,83,True,13,False,,False
0,1,0,25,0,0.04,0,2012-01-16,801210,休闲服务I,25,25,25,25,True,23,False,,False
7,7,4,104,0.06796116505,0.06730769231,0.03846153846,2012-01-16,801220,信息服务I,107,103,104,104,True,20,False,,False
0,4,0,30,0,0.1333333333,0,2012-01-16,801230,综合I,31,30,30,30,True,12,False,,False
2,23,2,69,0.02941176471,0.3333333333,0.02898550725,2012-01-17,801010,农林牧渔I,70,68,69,69,True,18,False,,False
6,41,15,48,0.125,0.8541666667,0.3125,2012-01-17,801020,采掘I,50,48,48,48,True,5,False,,False
3,104,5,199,0.01507537688,0.5226130653,0.02512562814,2012-01-17,801030,化工I,204,199,199,199,True,13,False,,False
1,31,3,33,0.0303030303,0.9393939394,0.09090909091,2012-01-17,801040,钢铁I,35,33,33,33,True,2,False,steel,True
1,64,15,69,0.01449275362,0.9275362319,0.2173913043,2012-01-17,801050,有色金属I,70,69,69,69,True,3,False,nonferrous,True
3,59,1,95,0.03157894737,0.6210526316,0.01052631579,2012-01-17,801060,建筑建材I,97,95,95,95,True,7,False,,False
5,93,10,269,0.01858736059,0.3457249071,0.03717472119,2012-01-17,801070,机械设备I,275,269,269,269,True,17,False,,False
3,34,3,102,0.02941176471,0.3333333333,0.02941176471,2012-01-17,801080,电子I,104,102,102,102,True,18,False,,False
5,61,15,106,0.04761904762,0.5754716981,0.141509434,2012-01-17,801090,交运设备I,107,105,106,106,True,10,False,,False
4,21,5,73,0.05479452055,0.2876712329,0.06849315068,2012-01-17,801100,信息设备I,76,73,73,73,True,21,False,,False
2,18,5,34,0.06060606061,0.5294117647,0.1470588235,2012-01-17,801110,家用电器I,35,33,34,34,True,12,False,,False
1,16,0,50,0.02,0.32,0,2012-01-17,801120,食品饮料I,51,50,50,50,True,20,False,,False
2,27,3,64,0.03125,0.421875,0.046875,2012-01-17,801130,纺织服装I,65,64,64,64,True,15,False,,False
2,33,2,70,0.02857142857,0.4714285714,0.02857142857,2012-01-17,801140,轻工制造I,72,70,70,70,True,14,False,,False
2,40,4,147,0.01369863014,0.2721088435,0.02721088435,2012-01-17,801150,医药生物I,155,146,147,147,True,22,False,,False
12,48,14,81,0.1481481481,0.5925925926,0.1728395062,2012-01-17,801160,公用事业I,81,81,81,81,True,9,False,,False
