date,signal_id,direction,raw_value,triggered,universe_size,valid_count,version,index_id,index_name,index_close,index_close_high_60,breadth_ma20,breadth_ma20_high_60,index_price_distance_from_high_60,breadth_distance_from_high_60,breadth_price_divergence,comparison_available,index_price_valid_count_60,above_count_ma20,valid_count_ma20,episode_id,episode_number,episode_day,episode_stage,event_onset,event_continuation,event_exit,event_capped_confirmation,capped_confirmation_reason,capped_confirmation_n
2012-01-04,all_a_ma20_breadth_price_divergence_top,top,,False,2057,2006,breadth_price_divergence_v1_20120104_20260814,all_a,全A,2571.949951171875,2571.949951171875,0.07676969093,,,,,False,1,154,2006,,,,inactive,False,False,False,False,,2
2012-01-05,all_a_ma20_breadth_price_divergence_top,top,,False,2057,1999,breadth_price_divergence_v1_20120104_20260814,all_a,全A,2513.699951171875,2571.949951171875,0.05152576288,,,,,False,2,103,1999,,,,inactive,False,False,False,False,,2
2012-01-06,all_a_ma20_breadth_price_divergence_top,top,,False,2057,2010,breadth_price_divergence_v1_20120104_20260814,all_a,全A,2527.25,2571.949951171875,0.06815920398,,,,,False,3,137,2010,,,,inactive,False,False,False,False,,2
2012-01-09,all_a_ma20_breadth_price_divergence_top,top,,False,2057,2004,breadth_price_divergence_v1_20120104_20260814,all_a,全A,2619.639892578125,2619.639892578125,0.1991017964,,,,,False,4,399,2004,,,,inactive,False,False,False,False,,2
2012-01-10,all_a_ma20_breadth_price_divergence_top,top,,False,2057,2010,breadth_price_divergence_v1_20120104_20260814,all_a,全A,2713.530029296875,2713.530029296875,0.492039801,,,,,False,5,989,2010,,,,inactive,False,False,False,False,,2
2012-01-11,all_a_ma20_breadth_price_divergence_top,top,,False,2057,2009,breadth_price_divergence_v1_20120104_20260814,all_a,全A,2707.800048828125,2713.530029296875,0.5540069686,,,,,False,6,1113,2009,,,,inactive,False,False,False,False,,2
2012-01-12,all_a_ma20_breadth_price_divergence_top,top,,False,2057,1999,breadth_price_divergence_v1_20120104_20260814,all_a,全A,2706.030029296875,2713.530029296875,0.5787893947,,,,,False,7,1157,1999,,,,inactive,False,False,False,False,,2
2012-01-13,all_a_ma20_breadth_price_divergence_top,top,,False,2057,1988,breadth_price_divergence_v1_20120104_20260814,all_a,全A,2638.110107421875,2713.530029296875,0.3043259557,,,,,False,8,605,1988,,,,inactive,False,False,False,False,,2
2012-01-16,all_a_ma20_breadth_price_divergence_top,top,,False,2057,1956,breadth_price_divergence_v1_20120104_20260814,all_a,全A,2570.840087890625,2713.530029296875,0.1630879346,,,,,False,9,319,1956,,,,inactive,False,False,False,False,,2
2012-01-17,all_a_ma20_breadth_price_divergence_top,top,,False,2057,2000,breadth_price_divergence_v1_20120104_20260814,all_a,全A,2701.590087890625,2713.530029296875,0.5095,,,,,False,10,1019,2000,,,,inactive,False,False,False,False,,2
2012-01-18,all_a_ma20_breadth_price_divergence_top,top,,False,2057,2013,breadth_price_divergence_v1_20120104_20260814,all_a,全A,2650.580078125,2713.530029296875,0.4078489816,,,,,False,11,821,2013,,,,inactive,False,False,False,False,,2
