signal_id,direction,version,event_kind,index_id,index_name,horizon,outcome_name,event_count,event_mean,event_median,event_q25,event_q75,baseline_count,baseline_mean,mean_difference,hac_lag,hac_standard_error,ci95_lower,ci95_upper,hac_p_value,local_fdr_q_value,global_fdr_q_value,inference_eligible
ml_elastic_net,bottom,all_a_ml_walk_forward_v3,capped_confirmation,all_a,全A,5,max_down,21,-0.030450725784436923,-0.022789177087899404,-0.04476827019802121,-0.004602618867074804,1822,-0.01973200891720141,-0.010718716867235517,5,0.006544952342074391,-0.023546823457701323,0.0021093897232302896,0.10148274670951457,0.7392478756013894,0.796831289669836,True
ml_elastic_net,bottom,all_a_ml_walk_forward_v3,capped_confirmation,all_a,全A,5,max_up,21,0.018791738988087472,0.014245375623545442,0.006317691115063528,0.029593007071077038,1822,0.01862912425699498,0.00016261473109247698,5,0.004064108585235219,-0.0078030380959685525,0.008128267558153506,0.9680832418649271,0.9881900382705422,0.9996729094513476,True
ml_elastic_net,bottom,all_a_ml_walk_forward_v3,capped_confirmation,all_a,全A,5,terminal_return,21,-0.00232749921324425,-0.007321817615298487,-0.021506126424761463,0.02555244227714848,1822,0.0019445891724128718,-0.004272088385657109,5,0.00716774602811278,-0.018320870600758158,0.00977669382944394,0.5511648112198679,0.8985903285149873,0.8907490512479666,True
ml_elastic_net,bottom,all_a_ml_walk_forward_v3,capped_confirmation,all_a,全A,10,max_down,21,-0.04041508443085966,-0.040247541891336946,-0.058431808690200815,-0.005990059799861225,1817,-0.028665207654742043,-0.011749876776117621,10,0.008263747809515349,-0.027946822482767704,0.004447068930532462,0.15506744836892547,0.7392478756013894,0.796831289669836,True
ml_elastic_net,bottom,all_a_ml_walk_forward_v3,capped_confirmation,all_a,全A,10,max_up,21,0.02746587228412383,0.027603152491342264,0.012824211194444324,0.0361918538372521,1817,0.027811885701330953,-0.00034601341720711726,10,0.0053005933496923134,-0.010735176382604052,0.010043149548189818,0.9479524654892775,0.9881900382705422,0.9973817853955305,True
ml_elastic_net,bottom,all_a_ml_walk_forward_v3,capped_confirmation,all_a,全A,10,terminal_return,21,0.0025479487359060934,0.01411817604478749,-0.029233088732565804,0.026534741542882267,1817,0.003655251189741342,-0.0011073024538352605,10,0.010175847892939635,-0.021051964323996947,0.018837359416326423,0.9133478570245882,0.9881900382705422,0.9940906385189596,True
ml_elastic_net,bottom,all_a_ml_walk_forward_v3,capped_confirmation,all_a,全A,20,max_down,21,-0.04603755080819195,-0.040247541891336946,-0.06740636019870427,-0.016365090460953025,1807,-0.041213994658484805,-0.004823556149707146,20,0.008571004437667108,-0.021622724847534677,0.011975612548120386,0.5735873807135758,0.8985903285149873,0.8994545702915344,True
ml_elastic_net,bottom,all_a_ml_walk_forward_v3,capped_confirmation,all_a,全A,20,max_up,21,0.04166663224559902,0.035193101872957655,0.026276793417430833,0.05696152958130041,1807,0.041789123820787345,-0.00012249157518832792,20,0.008275265411647173,-0.016342011782016785,0.016097028631640132,0.9881900382705422,0.9881900382705422,0.9996729094513476,True
ml_elastic_net,bottom,all_a_ml_walk_forward_v3,capped_confirmation,all_a,全A,20,terminal_return,21,0.007947951247069051,0.01064326238859814,-0.024939455526643117,0.03516664031915018,1807,0.007000990746124194,0.0009469605009448608,20,0.012741590772216232,-0.024026557412598952,0.025920478414488676,0.9407554214539822,0.9881900382705422,0.9973817853955305,True
ml_elastic_net,bottom,all_a_ml_walk_forward_v3,capped_confirmation,cni2000,国证2000,5,max_down,21,-0.04081882420067387,-0.02293927421207176,-0.058672770461322354,-0.008851089169307214,1822,-0.025096804011706324,-0.015722020188967553,5,0.009620625002371827,-0.03457844519361633,0.0031344048156812278,0.10221697580011073,0.7392478756013894,0.796831289669836,True
