fold_id,model_id,direction,horizon_trade_days,train_rows,train_positives,validation_rows,validation_positives,model_fit_status,calibration_status
wf_2023,elastic_net,bottom,10,2289,421,222,39,fitted,sigmoid
wf_2023,elastic_net,bottom,20,2289,615,222,59,fitted,sigmoid
wf_2023,shallow_xgboost,top,5,2289,353,222,16,fitted,sigmoid
wf_2023,shallow_xgboost,top,10,2289,465,222,21,fitted,sigmoid
wf_2023,shallow_xgboost,top,20,2289,648,222,31,fitted,sigmoid
wf_2023,shallow_xgboost,bottom,5,2289,303,222,26,fitted,sigmoid
wf_2023,shallow_xgboost,bottom,10,2289,421,222,39,fitted,sigmoid
wf_2023,shallow_xgboost,bottom,20,2289,615,222,59,fitted,sigmoid
wf_2024,simple_rule,top,5,2531,389,222,32,fixed_rule,sigmoid
wf_2024,simple_rule,top,10,2531,506,222,37,fixed_rule,sigmoid
wf_2024,simple_rule,top,20,2531,699,222,41,fixed_rule,sigmoid
wf_2024,simple_rule,bottom,5,2531,329,222,0,fixed_rule,constant_validation_class
wf_2024,simple_rule,bottom,10,2531,460,222,0,fixed_rule,constant_validation_class
wf_2024,simple_rule,bottom,20,2531,674,222,0,fixed_rule,constant_validation_class
wf_2024,elastic_net,top,5,2531,389,222,32,fitted,sigmoid
wf_2024,elastic_net,top,10,2531,506,222,37,fitted,sigmoid
wf_2024,elastic_net,top,20,2531,699,222,41,fitted,sigmoid
wf_2024,elastic_net,bottom,5,2531,329,222,0,fitted,constant_validation_class
wf_2024,elastic_net,bottom,10,2531,460,222,0,fitted,constant_validation_class
wf_2024,elastic_net,bottom,20,2531,674,222,0,fitted,constant_validation_class
wf_2024,shallow_xgboost,top,5,2531,389,222,32,fitted,sigmoid
wf_2024,shallow_xgboost,top,10,2531,506,222,37,fitted,sigmoid
wf_2024,shallow_xgboost,top,20,2531,699,222,41,fitted,sigmoid
wf_2024,shallow_xgboost,bottom,5,2531,329,222,0,fitted,constant_validation_class
wf_2024,shallow_xgboost,bottom,10,2531,460,222,0,fitted,constant_validation_class
wf_2024,shallow_xgboost,bottom,20,2531,674,222,0,fitted,constant_validation_class
wf_2025,simple_rule,top,5,2773,421,222,39,fixed_rule,sigmoid
wf_2025,simple_rule,top,10,2773,543,222,54,fixed_rule,sigmoid
wf_2025,simple_rule,top,20,2773,746,222,84,fixed_rule,sigmoid
wf_2025,simple_rule,bottom,5,2773,329,222,31,fixed_rule,sigmoid
wf_2025,simple_rule,bottom,10,2773,460,222,45,fixed_rule,sigmoid
wf_2025,simple_rule,bottom,20,2773,674,222,65,fixed_rule,sigmoid
wf_2025,elastic_net,top,5,2773,421,222,39,fitted,sigmoid
wf_2025,elastic_net,top,10,2773,543,222,54,fitted,sigmoid
wf_2025,elastic_net,top,20,2773,746,222,84,fitted,sigmoid
wf_2025,elastic_net,bottom,5,2773,329,222,31,fitted,sigmoid
wf_2025,elastic_net,bottom,10,2773,460,222,45,fitted,sigmoid
wf_2025,elastic_net,bottom,20,2773,674,222,65,fitted,sigmoid
wf_2025,shallow_xgboost,top,5,2773,421,222,39,fitted,sigmoid
wf_2025,shallow_xgboost,top,10,2773,543,222,54,fitted,sigmoid
wf_2025,shallow_xgboost,top,20,2773,746,222,84,fitted,sigmoid
wf_2025,shallow_xgboost,bottom,5,2773,329,222,31,fitted,sigmoid
wf_2025,shallow_xgboost,bottom,10,2773,460,222,45,fitted,sigmoid
wf_2025,shallow_xgboost,bottom,20,2773,674,222,65,fitted,sigmoid
wf_2026,simple_rule,top,5,3015,460,223,26,fixed_rule,sigmoid
wf_2026,simple_rule,top,10,3015,597,223,31,fixed_rule,sigmoid
wf_2026,simple_rule,top,20,3015,830,223,41,fixed_rule,sigmoid
wf_2026,simple_rule,bottom,5,3015,360,223,17,fixed_rule,sigmoid
wf_2026,simple_rule,bottom,10,3015,505,223,22,fixed_rule,sigmoid
wf_2026,simple_rule,bottom,20,3015,739,223,32,fixed_rule,sigmoid
wf_2026,elastic_net,top,5,3015,460,223,26,fitted,sigmoid
wf_2026,elastic_net,top,10,3015,597,223,31,fitted,sigmoid
wf_2026,elastic_net,top,20,3015,830,223,41,fitted,sigmoid
wf_2026,elastic_net,bottom,5,3015,360,223,17,fitted,sigmoid
wf_2026,elastic_net,bottom,10,3015,505,223,22,fitted,sigmoid
wf_2026,elastic_net,bottom,20,3015,739,223,32,fitted,sigmoid
wf_2026,shallow_xgboost,top,5,3015,460,223,26,fitted,sigmoid
wf_2026,shallow_xgboost,top,10,3015,597,223,31,fitted,sigmoid
wf_2026,shallow_xgboost,top,20,3015,830,223,41,fitted,sigmoid
wf_2026,shallow_xgboost,bottom,5,3015,360,223,17,fitted,sigmoid
wf_2026,shallow_xgboost,bottom,10,3015,505,223,22,fitted,sigmoid
wf_2026,shallow_xgboost,bottom,20,3015,739,223,32,fitted,sigmoid
