episode_id,signal_id,direction,version,episode_number,onset_date,last_active_date,exit_date,active_days,status,capped_confirmation_n,capped_confirmation_date,capped_confirmation_reason,confirmation_status,series_start_date,series_end_date
ml_elastic_net::bottom::all_a_ml_walk_forward_v2::000001,ml_elastic_net,bottom,all_a_ml_walk_forward_v2,1,2019-05-06,2019-05-06,2019-05-07,1,closed,2,2019-05-07,short_episode_exit,confirmed,2019-01-02,2026-08-14
ml_elastic_net::bottom::all_a_ml_walk_forward_v2::000002,ml_elastic_net,bottom,all_a_ml_walk_forward_v2,2,2019-05-09,2019-05-09,2019-05-10,1,closed,2,2019-05-10,short_episode_exit,confirmed,2019-01-02,2026-08-14
ml_elastic_net::bottom::all_a_ml_walk_forward_v2::000003,ml_elastic_net,bottom,all_a_ml_walk_forward_v2,3,2019-05-24,2019-05-24,2019-05-27,1,closed,2,2019-05-27,short_episode_exit,confirmed,2019-01-02,2026-08-14
ml_elastic_net::bottom::all_a_ml_walk_forward_v2::000004,ml_elastic_net,bottom,all_a_ml_walk_forward_v2,4,2021-07-13,2021-07-13,2021-07-14,1,closed,2,2021-07-14,short_episode_exit,confirmed,2019-01-02,2026-08-14
ml_elastic_net::bottom::all_a_ml_walk_forward_v2::000005,ml_elastic_net,bottom,all_a_ml_walk_forward_v2,5,2021-07-22,2021-07-22,2021-07-23,1,closed,2,2021-07-23,short_episode_exit,confirmed,2019-01-02,2026-08-14
ml_elastic_net::bottom::all_a_ml_walk_forward_v2::000006,ml_elastic_net,bottom,all_a_ml_walk_forward_v2,6,2021-08-10,2021-08-16,2021-08-17,5,closed,2,2021-08-11,nth_active_day,confirmed,2019-01-02,2026-08-14
ml_elastic_net::bottom::all_a_ml_walk_forward_v2::000007,ml_elastic_net,bottom,all_a_ml_walk_forward_v2,7,2021-09-07,2021-09-14,2021-09-15,6,closed,2,2021-09-08,nth_active_day,confirmed,2019-01-02,2026-08-14
ml_elastic_net::bottom::all_a_ml_walk_forward_v2::000008,ml_elastic_net,bottom,all_a_ml_walk_forward_v2,8,2021-11-15,2021-11-25,2021-11-26,9,closed,2,2021-11-16,nth_active_day,confirmed,2019-01-02,2026-08-14
ml_elastic_net::bottom::all_a_ml_walk_forward_v2::000009,ml_elastic_net,bottom,all_a_ml_walk_forward_v2,9,2021-11-30,2021-12-01,2021-12-02,2,closed,2,2021-12-01,nth_active_day,confirmed,2019-01-02,2026-08-14
ml_elastic_net::bottom::all_a_ml_walk_forward_v2::000010,ml_elastic_net,bottom,all_a_ml_walk_forward_v2,10,2021-12-13,2021-12-13,2021-12-14,1,closed,2,2021-12-14,short_episode_exit,confirmed,2019-01-02,2026-08-14
ml_elastic_net::bottom::all_a_ml_walk_forward_v2::000011,ml_elastic_net,bottom,all_a_ml_walk_forward_v2,11,2022-01-27,2022-01-28,2022-02-07,2,closed,2,2022-01-28,nth_active_day,confirmed,2019-01-02,2026-08-14
ml_elastic_net::bottom::all_a_ml_walk_forward_v2::000012,ml_elastic_net,bottom,all_a_ml_walk_forward_v2,12,2022-03-09,2022-03-09,2022-03-10,1,closed,2,2022-03-10,short_episode_exit,confirmed,2019-01-02,2026-08-14
ml_elastic_net::bottom::all_a_ml_walk_forward_v2::000013,ml_elastic_net,bottom,all_a_ml_walk_forward_v2,13,2022-03-15,2022-03-16,2022-03-17,2,closed,2,2022-03-16,nth_active_day,confirmed,2019-01-02,2026-08-14
ml_elastic_net::bottom::all_a_ml_walk_forward_v2::000014,ml_elastic_net,bottom,all_a_ml_walk_forward_v2,14,2022-04-21,2022-04-28,2022-04-29,6,closed,2,2022-04-22,nth_active_day,confirmed,2019-01-02,2026-08-14
ml_elastic_net::bottom::all_a_ml_walk_forward_v2::000015,ml_elastic_net,bottom,all_a_ml_walk_forward_v2,15,2022-09-16,2022-09-19,2022-09-20,2,closed,2,2022-09-19,nth_active_day,confirmed,2019-01-02,2026-08-14
ml_elastic_net::bottom::all_a_ml_walk_forward_v2::000016,ml_elastic_net,bottom,all_a_ml_walk_forward_v2,16,2022-09-21,2022-09-21,2022-09-22,1,closed,2,2022-09-22,short_episode_exit,confirmed,2019-01-02,2026-08-14
ml_elastic_net::bottom::all_a_ml_walk_forward_v2::000017,ml_elastic_net,bottom,all_a_ml_walk_forward_v2,17,2022-09-23,2022-09-26,2022-09-27,2,closed,2,2022-09-26,nth_active_day,confirmed,2019-01-02,2026-08-14
ml_elastic_net::bottom::all_a_ml_walk_forward_v2::000018,ml_elastic_net,bottom,all_a_ml_walk_forward_v2,18,2022-09-28,2022-10-12,2022-10-13,6,closed,2,2022-09-29,nth_active_day,confirmed,2019-01-02,2026-08-14
ml_elastic_net::bottom::all_a_ml_walk_forward_v2::000019,ml_elastic_net,bottom,all_a_ml_walk_forward_v2,19,2023-08-23,2023-08-23,2023-08-24,1,closed,2,2023-08-24,short_episode_exit,confirmed,2019-01-02,2026-08-14
ml_elastic_net::bottom::all_a_ml_walk_forward_v2::000020,ml_elastic_net,bottom,all_a_ml_walk_forward_v2,20,2023-08-25,2023-08-25,2023-08-28,1,closed,2,2023-08-28,short_episode_exit,confirmed,2019-01-02,2026-08-14
ml_elastic_net::bottom::all_a_ml_walk_forward_v2::000021,ml_elastic_net,bottom,all_a_ml_walk_forward_v2,21,2024-01-02,2025-01-13,2025-01-14,250,closed,2,2024-01-03,nth_active_day,confirmed,2019-01-02,2026-08-14
ml_elastic_net::bottom::all_a_ml_walk_forward_v2::000022,ml_elastic_net,bottom,all_a_ml_walk_forward_v2,22,2025-04-07,2025-04-10,2025-04-11,4,closed,2,2025-04-08,nth_active_day,confirmed,2019-01-02,2026-08-14
ml_elastic_net::bottom::all_a_ml_walk_forward_v2::000023,ml_elastic_net,bottom,all_a_ml_walk_forward_v2,23,2026-03-23,2026-03-24,2026-03-25,2,closed,2,2026-03-24,nth_active_day,confirmed,2019-01-02,2026-08-14
ml_elastic_net::bottom::all_a_ml_walk_forward_v2::000024,ml_elastic_net,bottom,all_a_ml_walk_forward_v2,24,2026-03-26,2026-03-27,2026-03-30,2,closed,2,2026-03-27,nth_active_day,confirmed,2019-01-02,2026-08-14
ml_elastic_net::bottom::all_a_ml_walk_forward_v2::000025,ml_elastic_net,bottom,all_a_ml_walk_forward_v2,25,2026-03-31,2026-03-31,2026-04-01,1,closed,2,2026-04-01,short_episode_exit,confirmed,2019-01-02,2026-08-14
ml_elastic_net::bottom::all_a_ml_walk_forward_v2::000026,ml_elastic_net,bottom,all_a_ml_walk_forward_v2,26,2026-04-02,2026-04-07,2026-04-08,3,closed,2,2026-04-03,nth_active_day,confirmed,2019-01-02,2026-08-14
ml_elastic_net::bottom::all_a_ml_walk_forward_v2::000027,ml_elastic_net,bottom,all_a_ml_walk_forward_v2,27,2026-06-08,2026-06-08,2026-06-09,1,closed,2,2026-06-09,short_episode_exit,confirmed,2019-01-02,2026-08-14
ml_elastic_net::bottom::all_a_ml_walk_forward_v2::000028,ml_elastic_net,bottom,all_a_ml_walk_forward_v2,28,2026-07-13,2026-07-14,2026-07-15,2,closed,2,2026-07-14,nth_active_day,confirmed,2019-01-02,2026-08-14
ml_elastic_net::bottom::all_a_ml_walk_forward_v2::000029,ml_elastic_net,bottom,all_a_ml_walk_forward_v2,29,2026-07-16,2026-07-31,2026-08-03,12,closed,2,2026-07-17,nth_active_day,confirmed,2019-01-02,2026-08-14
