above_count_ma120,above_count_ma20,above_count_ma60,base_valid_count,base_valid_missing_industry_count,breadth_ma120,breadth_ma20,breadth_ma60,close_missing_count,date,four_industry_present_count,four_industry_top1_ids,four_industry_top1_triggered,high_missing_count,insufficient_history_count_high_low_120,insufficient_history_count_high_low_250,insufficient_history_count_high_low_60,insufficient_history_count_ma120,insufficient_history_count_ma20,insufficient_history_count_ma60,limit_close_net_count,limit_close_net_ratio,limit_down_close_count,limit_down_close_ratio,limit_down_hit_count,limit_down_hit_ratio,limit_hit_net_count,limit_hit_net_ratio,limit_price_missing_count,limit_up_close_count,limit_up_close_ratio,limit_up_hit_count,limit_up_hit_ratio,low_missing_count,new_high_count_120,new_high_count_250,new_high_count_60,new_high_low_net_count_120,new_high_low_net_count_250,new_high_low_net_count_60,new_high_low_net_ratio_120,new_high_low_net_ratio_250,new_high_low_net_ratio_60,new_high_ratio_120,new_high_ratio_250,new_high_ratio_60,new_low_count_120,new_low_count_250,new_low_count_60,new_low_ratio_120,new_low_ratio_250,new_low_ratio_60,paused_count,paused_status_missing_count,ranked_industry_count_ma20,st_count,st_status_missing_count,target_bank_breadth_ma20,target_bank_expected_name,target_bank_industry_code,target_bank_industry_name,target_bank_is_top1_ma20,target_bank_mapping_count,target_bank_rank_ma20,target_bank_valid_count_ma20,target_coal_breadth_ma20,target_coal_expected_name,target_coal_industry_code,target_coal_industry_name,target_coal_is_top1_ma20,target_coal_mapping_count,target_coal_rank_ma20,target_coal_valid_count_ma20,target_nonferrous_breadth_ma20,target_nonferrous_expected_name,target_nonferrous_industry_code,target_nonferrous_industry_name,target_nonferrous_is_top1_ma20,target_nonferrous_mapping_count,target_nonferrous_rank_ma20,target_nonferrous_valid_count_ma20,target_steel_breadth_ma20,target_steel_expected_name,target_steel_industry_code,target_steel_industry_name,target_steel_is_top1_ma20,target_steel_mapping_count,target_steel_rank_ma20,target_steel_valid_count_ma20,top1_industry_codes_ma20,top1_industry_names_ma20,top1_tie_count_ma20,turnover_cap_weight_valid_count,turnover_ge_10pct_count,turnover_ge_10pct_ratio,turnover_ge_20pct_count,turnover_ge_20pct_ratio,turnover_ge_5pct_count,turnover_ge_5pct_ratio,turnover_ratio_pct_cap_weighted_mean,turnover_ratio_pct_mean,turnover_ratio_pct_p25,turnover_ratio_pct_p50,turnover_ratio_pct_p75,turnover_ratio_pct_p90,turnover_ratio_pct_p95,turnover_valid_count,universe_size,valid_count_high_low_120,valid_count_high_low_250,valid_count_high_low_60,valid_count_limit,valid_count_ma120,valid_count_ma20,valid_count_ma60
58,154,74,2006,0,0.02911646586,0.07676969093,0.036889332,0,2012-01-04,2,,False,0,14,197,0,14,0,0,-9,-0.004486540379,13,0.006480558325,16,0.007976071785,-2,-0.0009970089731,0,4,0.001994017946,14,0.006979062812,0,1,0,9,-295,-240,-302,-0.1480923695,-0.1326699834,-0.1505483549,0.0005020080321,0,0.004486540379,296,240,311,0.1485943775,0.1326699834,0.1550348953,51,0,23,0,0,,银行,,,False,0,,0,,煤炭,,,False,0,,0,0.04285714286,有色金属,801050,有色金属I,False,1,17,70,0.1176470588,钢铁,801040,钢铁I,False,1,6,34,801190,金融服务I,1,2004,23,0.01147704591,2,0.000998003992,77,0.03842315369,0.4565266383,1.215022056,0.355275,0.64235,1.264575,2.50189,4.093895,2004,2057,1992,1809,2006,2006,1992,2006,2006
43,103,52,1999,0,0.02162977867,0.05152576288,0.0260130065,0,2012-01-05,2,,False,0,11,191,0,11,0,0,-104,-0.05202601301,108,0.05402701351,174,0.08704352176,-167,-0.08354177089,0,4,0.0020010005,7,0.003501750875,0,0,0,1,-1253,-1064,-1271,-0.6302816901,-0.5884955752,-0.635817909,0,0,0.0005002501251,1253,1064,1272,0.6302816901,0.5884955752,0.6363181591,58,0,23,0,0,,银行,,,False,0,,0,,煤炭,,,False,0,,0,0.02857142857,有色金属,801050,有色金属I,False,1,17,70,0.1142857143,钢铁,801040,钢铁I,False,1,4,35,801190,金融服务I,1,1997,23,0.01151727591,2,0.001001502253,99,0.04957436154,0.5232202721,1.418763295,0.4184,0.7971,1.5217,3.05952,4.9579,1997,2057,1988,1808,1999,1999,1988,1999,1999
39,137,53,2010,0,0.01950975488,0.06815920398,0.0263681592,0,2012-01-06,2,,False,0,11,192,0,11,0,0,-2,-0.0009950248756,10,0.004975124378,53,0.0263681592,-39,-0.01940298507,0,8,0.003980099502,14,0.006965174129,0,0,0,1,-1372,-1180,-1408,-0.6863431716,-0.6490649065,-0.7004975124,0,0,0.0004975124378,1372,1180,1409,0.6863431716,0.6490649065,0.7009950249,47,0,23,0,0,,银行,,,False,0,,0,,煤炭,,,False,0,,0,0.08571428571,有色金属,801050,有色金属I,False,1,6,70,0.1714285714,钢铁,801040,钢铁I,False,1,3,35,801190,金融服务I,1,2008,19,0.009462151394,0,0,61,0.03037848606,0.4701167593,1.231955627,0.3653,0.6853,1.3539,2.77905,4.061655,2008,2057,1999,1818,2010,2010,1999,2010,2010
66,399,102,2004,0,0.03311590567,0.1991017964,0.05089820359,0,2012-01-09,2,,False,0,11,191,0,11,0,0,49,0.0244510978,1,0.000499001996,4,0.001996007984,67,0.03343313373,0,50,0.0249500998,71,0.03542914172,0,2,0,11,-104,-73,-102,-0.05218263924,-0.04026475455,-0.05089820359,0.001003512293,0,0.005489021956,106,73,113,0.05318615153,0.04026475455,0.05638722555,53,0,23,0,0,,银行,,,False,0,,0,,煤炭,,,False,0,,0,0.4347826087,有色金属,801050,有色金属I,False,1,4,69,0.5,钢铁,801040,钢铁I,False,1,3,34,801020,采掘I,1,2002,24,0.01198801199,3,0.001498501499,106,0.05294705295,0.6692728144,1.657627023,0.542875,0.9861,1.86585,3.58153,5.125365,2002,2057,1993,1813,2004,2004,1993,2004,2004
105,989,160,2010,0,0.05244755245,0.492039801,0.07960199005,0,2012-01-10,2,steel,True,0,8,186,0,8,0,0,71,0.03532338308,0,0,1,0.0004975124378,100,0.04975124378,0,71,0.03532338308,101,0.05024875622,0,4,1,16,1,-1,12,0.0004995004995,-0.000548245614,0.005970149254,0.001998001998,0.000548245614,0.007960199005,3,2,4,0.001498501499,0.001096491228,0.001990049751,47,0,23,0,0,,银行,,,False,0,,0,,煤炭,,,False,0,,0,0.7826086957,有色金属,801050,有色金属I,False,1,4,69,0.9142857143,钢铁,801040,钢铁I,True,1,1,35,801040,钢铁I,1,2008,45,0.02241035857,7,0.003486055777,201,0.1000996016,0.9596035459,2.333151544,0.860075,1.46835,2.719525,4.97288,7.125055,2008,2057,2002,1824,2010,2010,2002,2010,2010
109,1113,156,2009,0,0.05447276362,0.5540069686,0.07765057242,0,2012-01-11,2,,False,0,8,185,0,8,0,0,18,0.008959681434,2,0.0009955201593,3,0.001493280239,47,0.02339472374,0,20,0.009955201593,50,0.02488800398,0,3,1,9,2,0,8,0.0009995002499,0,0.003982080637,0.001499250375,0.000548245614,0.004479840717,1,1,1,0.0004997501249,0.000548245614,0.0004977600796,48,0,23,0,0,,银行,,,False,0,,0,,煤炭,,,False,0,,0,0.8285714286,有色金属,801050,有色金属I,False,1,4,70,0.9428571429,钢铁,801040,钢铁I,False,1,2,35,801190,金融服务I,1,2007,39,0.01943198804,6,0.002989536622,169,0.08420528151,0.7936569816,2.076880618,0.6393,1.2497,2.43605,4.52796,6.54405,2007,2057,2001,1824,2009,2009,2001,2009,2009
100,1157,151,1999,0,0.05015045135,0.5787893947,0.07553776888,0,2012-01-12,2,,False,0,5,185,0,5,0,0,7,0.003501750875,1,0.0005002501251,3,0.001500750375,30,0.01500750375,0,8,0.004002001001,33,0.01650825413,0,4,0,9,-2,-5,2,-0.001003009027,-0.002756339581,0.00100050025,0.002006018054,0,0.004502251126,6,5,7,0.003009027081,0.002756339581,0.003501750875,58,0,23,0,0,,银行,,,False,0,,0,,煤炭,,,False,0,,0,0.884057971,有色金属,801050,有色金属I,False,1,4,69,0.9428571429,钢铁,801040,钢铁I,False,1,2,35,801190,金融服务I,1,1997,33,0.01652478718,4,0.002003004507,134,0.06710065098,0.6802266217,1.772529194,0.5436,1.0422,2.0748,3.87936,5.74356,1997,2057,1994,1814,1999,1999,1994,1999,1999
72,605,105,1988,0,0.0363086233,0.3043259557,0.05281690141,0,2012-01-13,2,,False,0,5,182,0,5,0,0,-28,-0.01408450704,36,0.01810865191,74,0.03722334004,-65,-0.03269617706,0,8,0.004024144869,9,0.004527162978,0,1,0,5,-68,-44,-74,-0.03429147756,-0.02436323367,-0.03722334004,0.0005042864347,0,0.002515090543,69,44,79,0.03479576399,0.02436323367,0.03973843058,69,0,23,0,0,,银行,,,False,0,,0,,煤炭,,,False,0,,0,0.8260869565,有色金属,801050,有色金属I,False,1,2,69,0.7714285714,钢铁,801040,钢铁I,False,1,3,35,801020,采掘I,1,1986,30,0.01510574018,3,0.001510574018,143,0.0720040282,0.6870109555,1.854802014,0.5814,1.09545,2.1773,4.2062,5.99925,1986,2057,1983,1806,1988,1988,1983,1988,1988
51,319,73,1956,0,0.0261404408,0.1630879346,0.03732106339,0,2012-01-16,2,,False,0,5,174,0,5,0,0,-66,-0.03374233129,69,0.03527607362,92,0.04703476483,-80,-0.0408997955,0,3,0.001533742331,12,0.006134969325,0,0,0,1,-253,-176,-267,-0.1296770887,-0.0987654321,-0.1365030675,0,0,0.0005112474438,253,176,268,0.1296770887,0.0987654321,0.1370143149,101,0,23,0,0,,银行,,,False,0,,0,,煤炭,,,False,0,,0,0.5223880597,有色金属,801050,有色金属I,False,1,3,67,0.4285714286,钢铁,801040,钢铁I,False,1,4,35,801020,采掘I,1,1954,10,0.005117707267,0,0,60,0.0307062436,0.4765673611,1.214019089,0.366675,0.69015,1.42175,2.67678,4.00229,1954,2057,1951,1782,1956,1956,1951,1956,1956
98,1019,154,2000,0,0.04912280702,0.5095,0.077,0,2012-01-17,2,,False,0,5,179,0,5,0,0,107,0.0535,1,0.0005,14,0.007,135,0.0675,0,108,0.054,149,0.0745,0,6,1,14,-280,-197,-285,-0.1403508772,-0.1081823174,-0.1425,0.003007518797,0.0005491488193,0.007,286,198,299,0.143358396,0.1087314662,0.1495,57,0,23,0,0,,银行,,,False,0,,0,,煤炭,,,False,0,,0,0.9275362319,有色金属,801050,有色金属I,False,1,3,69,0.9393939394,钢铁,801040,钢铁I,False,1,2,33,801190,金融服务I,1,1998,26,0.01301301301,3,0.001501501502,131,0.06556556557,0.7974235486,1.829173123,0.6439,1.1428,2.2033,3.83906,5.65089,1998,2057,1995,1821,2000,2000,1995,2000,2000
