signal_id,direction,version,event_kind,episode_id,event_date,index_id,index_name,horizon,event_date_available,available_future_bars,complete_window,window_end_date,close,terminal_return,max_up,max_down
new_high_low_120_breadth_reversal_bottom,bottom,new_high_low_period_decomposition_v1_20120104_20260814,capped_confirmation,new_high_low_120_breadth_reversal_bottom::bottom::new_high_low_period_decomposition_v1_20120104_20260814::000001,2012-07-24,all_a,全A,5,True,5,True,2012-07-31,2675.530029296875,-0.035555619227389146,0.0018575649118881543,-0.03792892599131803
new_high_low_120_breadth_reversal_bottom,bottom,new_high_low_period_decomposition_v1_20120104_20260814,capped_confirmation,new_high_low_120_breadth_reversal_bottom::bottom::new_high_low_period_decomposition_v1_20120104_20260814::000001,2012-07-24,all_a,全A,10,True,10,True,2012-08-07,2675.530029296875,0.005034505520636889,0.005255055424455479,-0.03792892599131803
new_high_low_120_breadth_reversal_bottom,bottom,new_high_low_period_decomposition_v1_20120104_20260814,capped_confirmation,new_high_low_120_breadth_reversal_bottom::bottom::new_high_low_period_decomposition_v1_20120104_20260814::000001,2012-07-24,all_a,全A,20,True,20,True,2012-08-21,2675.530029296875,-0.014139283697347182,0.015940730201768005,-0.03792892599131803
new_high_low_120_breadth_reversal_bottom,bottom,new_high_low_period_decomposition_v1_20120104_20260814,capped_confirmation,new_high_low_120_breadth_reversal_bottom::bottom::new_high_low_period_decomposition_v1_20120104_20260814::000001,2012-07-24,cni2000,国证2000,5,True,5,True,2012-07-31,2890.75,-0.05860070915852289,0.003307100233503446,-0.06377929603044186
new_high_low_120_breadth_reversal_bottom,bottom,new_high_low_period_decomposition_v1_20120104_20260814,capped_confirmation,new_high_low_120_breadth_reversal_bottom::bottom::new_high_low_period_decomposition_v1_20120104_20260814::000001,2012-07-24,cni2000,国证2000,10,True,10,True,2012-08-07,2890.75,0.008942316007956475,0.008942316007956475,-0.06377929603044186
new_high_low_120_breadth_reversal_bottom,bottom,new_high_low_period_decomposition_v1_20120104_20260814,capped_confirmation,new_high_low_120_breadth_reversal_bottom::bottom::new_high_low_period_decomposition_v1_20120104_20260814::000001,2012-07-24,cni2000,国证2000,20,True,20,True,2012-08-21,2890.75,0.014425322148231334,0.022395572083369286,-0.06377929603044186
new_high_low_120_breadth_reversal_bottom,bottom,new_high_low_period_decomposition_v1_20120104_20260814,capped_confirmation,new_high_low_120_breadth_reversal_bottom::bottom::new_high_low_period_decomposition_v1_20120104_20260814::000001,2012-07-24,csi1000,中证1000,5,True,5,True,2012-07-31,3507.03,-0.06699971200702592,0.0031479628061350517,-0.07216932846311563
new_high_low_120_breadth_reversal_bottom,bottom,new_high_low_period_decomposition_v1_20120104_20260814,capped_confirmation,new_high_low_120_breadth_reversal_bottom::bottom::new_high_low_period_decomposition_v1_20120104_20260814::000001,2012-07-24,csi1000,中证1000,10,True,10,True,2012-08-07,3507.03,0.00505270841709371,0.00505270841709371,-0.07216932846311563
new_high_low_120_breadth_reversal_bottom,bottom,new_high_low_period_decomposition_v1_20120104_20260814,capped_confirmation,new_high_low_120_breadth_reversal_bottom::bottom::new_high_low_period_decomposition_v1_20120104_20260814::000001,2012-07-24,csi1000,中证1000,20,True,20,True,2012-08-21,3507.03,0.012206910120529324,0.018793680122496825,-0.07216932846311563
new_high_low_120_breadth_reversal_bottom,bottom,new_high_low_period_decomposition_v1_20120104_20260814,capped_confirmation,new_high_low_120_breadth_reversal_bottom::bottom::new_high_low_period_decomposition_v1_20120104_20260814::000001,2012-07-24,csi300,沪深300,5,True,5,True,2012-07-31,2375.99,-0.018127180669952225,0.002125429820832636,-0.019566580667427003
new_high_low_120_breadth_reversal_bottom,bottom,new_high_low_period_decomposition_v1_20120104_20260814,capped_confirmation,new_high_low_120_breadth_reversal_bottom::bottom::new_high_low_period_decomposition_v1_20120104_20260814::000001,2012-07-24,csi300,沪深300,10,True,10,True,2012-08-07,2375.99,0.0054208982361036995,0.006224773673290107,-0.021203792945256317
new_high_low_120_breadth_reversal_bottom,bottom,new_high_low_period_decomposition_v1_20120104_20260814,capped_confirmation,new_high_low_120_breadth_reversal_bottom::bottom::new_high_low_period_decomposition_v1_20120104_20260814::000001,2012-07-24,csi300,沪深300,20,True,20,True,2012-08-21,2375.99,-0.02621644030488346,0.015753433305695896,-0.04042104554312098
new_high_low_120_breadth_reversal_bottom,bottom,new_high_low_period_decomposition_v1_20120104_20260814,capped_confirmation,new_high_low_120_breadth_reversal_bottom::bottom::new_high_low_period_decomposition_v1_20120104_20260814::000001,2012-07-24,csi500,中证500,5,True,5,True,2012-07-31,3361.09,-0.06006979878551311,0.0012257928231615978,-0.06208402631289256
new_high_low_120_breadth_reversal_bottom,bottom,new_high_low_period_decomposition_v1_20120104_20260814,capped_confirmation,new_high_low_120_breadth_reversal_bottom::bottom::new_high_low_period_decomposition_v1_20120104_20260814::000001,2012-07-24,csi500,中证500,10,True,10,True,2012-08-07,3361.09,0.002130261314037929,0.002213567622408208,-0.06211675379118087
new_high_low_120_breadth_reversal_bottom,bottom,new_high_low_period_decomposition_v1_20120104_20260814,capped_confirmation,new_high_low_120_breadth_reversal_bottom::bottom::new_high_low_period_decomposition_v1_20120104_20260814::000001,2012-07-24,csi500,中证500,20,True,20,True,2012-08-21,3361.09,-0.007539220907503252,0.013138594920100388,-0.06211675379118087
new_high_low_120_breadth_reversal_bottom,bottom,new_high_low_period_decomposition_v1_20120104_20260814,capped_confirmation,new_high_low_120_breadth_reversal_bottom::bottom::new_high_low_period_decomposition_v1_20120104_20260814::000001,2012-07-24,microcap,微盘股,5,True,5,True,2012-07-31,644.07,-0.06783424161969975,0.0013663111152515395,-0.07187106991476089
new_high_low_120_breadth_reversal_bottom,bottom,new_high_low_period_decomposition_v1_20120104_20260814,capped_confirmation,new_high_low_120_breadth_reversal_bottom::bottom::new_high_low_period_decomposition_v1_20120104_20260814::000001,2012-07-24,microcap,微盘股,10,True,10,True,2012-08-07,644.07,-0.0015992050553512716,0.0013663111152515395,-0.07187106991476089
new_high_low_120_breadth_reversal_bottom,bottom,new_high_low_period_decomposition_v1_20120104_20260814,capped_confirmation,new_high_low_120_breadth_reversal_bottom::bottom::new_high_low_period_decomposition_v1_20120104_20260814::000001,2012-07-24,microcap,微盘股,20,True,20,True,2012-08-21,644.07,-0.0015060474793112677,0.012017327309143289,-0.07187106991476089
new_high_low_120_breadth_reversal_bottom,bottom,new_high_low_period_decomposition_v1_20120104_20260814,capped_confirmation,new_high_low_120_breadth_reversal_bottom::bottom::new_high_low_period_decomposition_v1_20120104_20260814::000001,2012-07-24,sse_composite,上证指数,5,True,5,True,2012-07-31,2146.59,-0.020013137115145407,0.0022640560144226995,-0.021587727512007437
new_high_low_120_breadth_reversal_bottom,bottom,new_high_low_period_decomposition_v1_20120104_20260814,capped_confirmation,new_high_low_120_breadth_reversal_bottom::bottom::new_high_low_period_decomposition_v1_20120104_20260814::000001,2012-07-24,sse_composite,上证指数,10,True,10,True,2012-08-07,2146.59,0.005138382271416386,0.006098043874237513,-0.021587727512007437
new_high_low_120_breadth_reversal_bottom,bottom,new_high_low_period_decomposition_v1_20120104_20260814,capped_confirmation,new_high_low_120_breadth_reversal_bottom::bottom::new_high_low_period_decomposition_v1_20120104_20260814::000001,2012-07-24,sse_composite,上证指数,20,True,20,True,2012-08-21,2146.59,-0.013193017763056814,0.014068825439417676,-0.026819280812824142
new_high_low_120_breadth_reversal_bottom,bottom,new_high_low_period_decomposition_v1_20120104_20260814,capped_confirmation,new_high_low_120_breadth_reversal_bottom::bottom::new_high_low_period_decomposition_v1_20120104_20260814::000002,2012-09-04,all_a,全A,5,True,5,True,2012-09-11,2514.300048828125,0.05306443912180847,0.061742825923552624,-0.006160756446548454
new_high_low_120_breadth_reversal_bottom,bottom,new_high_low_period_decomposition_v1_20120104_20260814,capped_confirmation,new_high_low_120_breadth_reversal_bottom::bottom::new_high_low_period_decomposition_v1_20120104_20260814::000002,2012-09-04,all_a,全A,10,True,10,True,2012-09-18,2514.300048828125,0.015515256336970262,0.06278879607883536,-0.006160756446548454
new_high_low_120_breadth_reversal_bottom,bottom,new_high_low_period_decomposition_v1_20120104_20260814,capped_confirmation,new_high_low_120_breadth_reversal_bottom::bottom::new_high_low_period_decomposition_v1_20120104_20260814::000002,2012-09-04,all_a,全A,20,True,20,True,2012-10-09,2514.300048828125,0.040901977390459754,0.06278879607883536,-0.022566912911138326
new_high_low_120_breadth_reversal_bottom,bottom,new_high_low_period_decomposition_v1_20120104_20260814,capped_confirmation,new_high_low_120_breadth_reversal_bottom::bottom::new_high_low_period_decomposition_v1_20120104_20260814::000002,2012-09-04,cni2000,国证2000,5,True,5,True,2012-09-11,2825.96,0.06218063949949748,0.06694716131863165,-0.003570468088720302
new_high_low_120_breadth_reversal_bottom,bottom,new_high_low_period_decomposition_v1_20120104_20260814,capped_confirmation,new_high_low_120_breadth_reversal_bottom::bottom::new_high_low_period_decomposition_v1_20120104_20260814::000002,2012-09-04,cni2000,国证2000,10,True,10,True,2012-09-18,2825.96,0.01858483488796736,0.07037608458718458,-0.003570468088720302
new_high_low_120_breadth_reversal_bottom,bottom,new_high_low_period_decomposition_v1_20120104_20260814,capped_confirmation,new_high_low_120_breadth_reversal_bottom::bottom::new_high_low_period_decomposition_v1_20120104_20260814::000002,2012-09-04,cni2000,国证2000,20,True,20,True,2012-10-09,2825.96,0.022045605741058072,0.07037608458718458,-0.044204447338249686
new_high_low_120_breadth_reversal_bottom,bottom,new_high_low_period_decomposition_v1_20120104_20260814,capped_confirmation,new_high_low_120_breadth_reversal_bottom::bottom::new_high_low_period_decomposition_v1_20120104_20260814::000002,2012-09-04,csi1000,中证1000,5,True,5,True,2012-09-11,3390.99,0.06225320629078834,0.06745522693962536,-0.004128587816537355
new_high_low_120_breadth_reversal_bottom,bottom,new_high_low_period_decomposition_v1_20120104_20260814,capped_confirmation,new_high_low_120_breadth_reversal_bottom::bottom::new_high_low_period_decomposition_v1_20120104_20260814::000002,2012-09-04,csi1000,中证1000,10,True,10,True,2012-09-18,3390.99,0.018779176582649937,0.07166638651249357,-0.004128587816537355
new_high_low_120_breadth_reversal_bottom,bottom,new_high_low_period_decomposition_v1_20120104_20260814,capped_confirmation,new_high_low_120_breadth_reversal_bottom::bottom::new_high_low_period_decomposition_v1_20120104_20260814::000002,2012-09-04,csi1000,中证1000,20,True,20,True,2012-10-09,3390.99,0.0179092241498795,0.07166638651249357,-0.049044674269166255
new_high_low_120_breadth_reversal_bottom,bottom,new_high_low_period_decomposition_v1_20120104_20260814,capped_confirmation,new_high_low_120_breadth_reversal_bottom::bottom::new_high_low_period_decomposition_v1_20120104_20260814::000002,2012-09-04,csi300,沪深300,5,True,5,True,2012-09-11,2204.41,0.04875681021225642,0.062198048457410504,-0.00791595029962655
new_high_low_120_breadth_reversal_bottom,bottom,new_high_low_period_decomposition_v1_20120104_20260814,capped_confirmation,new_high_low_120_breadth_reversal_bottom::bottom::new_high_low_period_decomposition_v1_20120104_20260814::000002,2012-09-04,csi300,沪深300,10,True,10,True,2012-09-18,2204.41,0.013985601589540986,0.062198048457410504,-0.00791595029962655
new_high_low_120_breadth_reversal_bottom,bottom,new_high_low_period_decomposition_v1_20120104_20260814,capped_confirmation,new_high_low_120_breadth_reversal_bottom::bottom::new_high_low_period_decomposition_v1_20120104_20260814::000002,2012-09-04,csi300,沪深300,20,True,20,True,2012-10-09,2204.41,0.05250838092732302,0.062198048457410504,-0.014303146873766548
new_high_low_120_breadth_reversal_bottom,bottom,new_high_low_period_decomposition_v1_20120104_20260814,capped_confirmation,new_high_low_120_breadth_reversal_bottom::bottom::new_high_low_period_decomposition_v1_20120104_20260814::000002,2012-09-04,csi500,中证500,5,True,5,True,2012-09-11,3164.83,0.05853710941819945,0.06696726206462911,-0.004436257239725294
new_high_low_120_breadth_reversal_bottom,bottom,new_high_low_period_decomposition_v1_20120104_20260814,capped_confirmation,new_high_low_120_breadth_reversal_bottom::bottom::new_high_low_period_decomposition_v1_20120104_20260814::000002,2012-09-04,csi500,中证500,10,True,10,True,2012-09-18,3164.83,0.018778259811743636,0.06979521806858502,-0.004436257239725294
new_high_low_120_breadth_reversal_bottom,bottom,new_high_low_period_decomposition_v1_20120104_20260814,capped_confirmation,new_high_low_120_breadth_reversal_bottom::bottom::new_high_low_period_decomposition_v1_20120104_20260814::000002,2012-09-04,csi500,中证500,20,True,20,True,2012-10-09,3164.83,0.031846892250136705,0.06979521806858502,-0.0322702957188854
