fold_id,test_year,model_id,direction,horizon_trade_days,rows,positives,prevalence,brier_score,log_loss,roc_auc,average_precision,target_semantics
wf_2019,2019,elastic_net,top,0,244,22,0.09016393442622951,0.17943001382875912,0.6256317069571957,0.7072072072072072,0.16192243669465173,today_strict_lobe_membership
wf_2019,2019,elastic_net,bottom,0,244,15,0.06147540983606557,0.05813209314601734,0.23909512748554218,0.9321688500727803,0.5276498716268831,today_strict_lobe_membership
wf_2019,2019,shallow_gbdt,top,0,244,22,0.09016393442622951,0.07829077990961499,0.28470269347960747,0.7438574938574938,0.25937277365143663,today_strict_lobe_membership
wf_2019,2019,shallow_gbdt,bottom,0,244,15,0.06147540983606557,0.057369363881166736,0.21543415673736124,0.9732168850072781,0.7511578137375239,today_strict_lobe_membership
wf_2020,2020,elastic_net,top,0,243,19,0.07818930041152264,0.06383815381155321,0.23494702277524512,0.9342105263157894,0.4082952694540914,today_strict_lobe_membership
wf_2020,2020,elastic_net,bottom,0,243,8,0.03292181069958848,0.021735944783111475,0.0814706516001293,0.9664893617021276,0.5654761904761905,today_strict_lobe_membership
wf_2020,2020,shallow_gbdt,top,0,243,19,0.07818930041152264,0.060240740789960376,0.22039244879985653,0.9460761278195489,0.6962348261977279,today_strict_lobe_membership
wf_2020,2020,shallow_gbdt,bottom,0,243,8,0.03292181069958848,0.019182670855008913,0.06279558175115338,0.9845744680851064,0.6255482456140351,today_strict_lobe_membership
wf_2021,2021,elastic_net,top,0,243,18,0.07407407407407407,0.06881180332690359,0.26043674617467727,0.69679012345679,0.11877246202908961,today_strict_lobe_membership
wf_2021,2021,elastic_net,bottom,0,243,8,0.03292181069958848,0.03709155150650858,0.18700275616753528,0.65,0.048195537524429045,today_strict_lobe_membership
wf_2021,2021,shallow_gbdt,top,0,243,18,0.07407407407407407,0.0664166149012521,0.30608198518561486,0.7391358024691358,0.24413802350184446,today_strict_lobe_membership
wf_2021,2021,shallow_gbdt,bottom,0,243,8,0.03292181069958848,0.030596400019151617,0.11088364002503909,0.9542553191489361,0.33105698829383035,today_strict_lobe_membership
wf_2022,2022,elastic_net,top,0,242,11,0.045454545454545456,0.04480568202432705,0.22168283887401818,0.09405745769382133,0.026651813251438183,today_strict_lobe_membership
wf_2022,2022,elastic_net,bottom,0,242,9,0.0371900826446281,0.03382888846038385,0.14038084154543984,0.8531235097758703,0.43183877446172525,today_strict_lobe_membership
wf_2022,2022,shallow_gbdt,top,0,242,11,0.045454545454545456,0.04245633645180306,0.1669207892100721,0.8095238095238095,0.11842262076716739,today_strict_lobe_membership
wf_2022,2022,shallow_gbdt,bottom,0,242,9,0.0371900826446281,0.086973277071998,0.25469512971575353,0.8822126847877921,0.1599706549286381,today_strict_lobe_membership
wf_2023,2023,elastic_net,top,0,242,26,0.10743801652892562,0.08060751429221782,0.26013841583931036,0.9376780626780628,0.7303144820295528,today_strict_lobe_membership
wf_2023,2023,elastic_net,bottom,0,242,0,0.0,0.0010544673448940236,0.021079692281147054,,,today_strict_lobe_membership
wf_2023,2023,shallow_gbdt,top,0,242,26,0.10743801652892562,0.07948769599144513,0.2345549534161153,0.9797008547008548,0.8621250100950522,today_strict_lobe_membership
wf_2023,2023,shallow_gbdt,bottom,0,242,0,0.0,0.00292822953898706,0.031256174688588746,,,today_strict_lobe_membership
wf_2024,2024,elastic_net,top,0,242,24,0.09917355371900827,0.15575277298402507,0.47816786982843096,0.8295107033639144,0.33382038867818503,today_strict_lobe_membership
wf_2024,2024,elastic_net,bottom,0,242,16,0.06611570247933884,0.06554531355414067,0.3619732404914578,0.5,0.06611570247933884,today_strict_lobe_membership
wf_2024,2024,shallow_gbdt,top,0,242,24,0.09917355371900827,0.13603806477146557,0.3912719599364387,0.8111620795107033,0.2984054708788736,today_strict_lobe_membership
wf_2024,2024,shallow_gbdt,bottom,0,242,16,0.06611570247933884,0.06554531355414067,0.3619732404914578,0.5,0.06611570247933884,today_strict_lobe_membership
wf_2025,2025,elastic_net,top,0,243,17,0.06995884773662552,0.07227086990931789,0.25736728285069355,0.7709526288391463,0.1376820082792668,today_strict_lobe_membership
wf_2025,2025,elastic_net,bottom,0,243,9,0.037037037037037035,0.030888172657366104,0.12639715857851147,0.9914529914529915,0.7839807852965748,today_strict_lobe_membership
wf_2025,2025,shallow_gbdt,top,0,243,17,0.06995884773662552,0.08675942946161792,0.29585727796824485,0.6828474752732951,0.10762285307962106,today_strict_lobe_membership
wf_2025,2025,shallow_gbdt,bottom,0,243,9,0.037037037037037035,0.02865321073617279,0.10247220802720436,0.9921652421652422,0.7470679012345679,today_strict_lobe_membership
wf_2026,2026,elastic_net,top,0,149,26,0.174496644295302,0.14959307622414045,0.48998080286182866,0.793933708567855,0.3510397681027591,today_strict_lobe_membership
wf_2026,2026,elastic_net,bottom,0,149,9,0.06040268456375839,0.040477797758848515,0.13215654314306888,0.9388888888888889,0.46659611992945327,today_strict_lobe_membership
wf_2026,2026,shallow_gbdt,top,0,149,26,0.174496644295302,0.14592327693172133,0.46579630587542453,0.8388055034396498,0.48974399970349997,today_strict_lobe_membership
wf_2026,2026,shallow_gbdt,bottom,0,149,9,0.06040268456375839,0.037047065715270486,0.1144416650570383,0.961111111111111,0.5777702571180832,today_strict_lobe_membership
