ID,S,st,r,ar,ma,v,ls,fl,slday,fm,Return,Ann.Ret,MaxDD,Calmar,Sharpe,Volatility,WinRate,Trades,AvgHoldDays,Turnover
round2_fine_tuning_S0-8_arT-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.4_sldayT-3__41fe90,"[0, 8]",-,0.4,✓,-,2,✓,✓,✓,F/F/T,35.5%,152.7%,21.4%,7.12,2.99,49.8%,55.1%,49,2.5,0.60
round2_fine_tuning_S0-8_arT-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.4_sldayT-3__0aebe3,"[0, 8]",-,0.4,✓,-,1.2,✓,✓,✓,F/F/T,35.5%,152.7%,21.4%,7.12,2.99,49.8%,55.1%,49,2.5,0.60
round2_fine_tuning_S0-8_arT-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.4_sldayT-3__6690ef,"[0, 8]",-,0.4,✓,-,1,✓,✓,✓,F/F/T,35.1%,150.2%,21.4%,7.01,2.90,50.5%,54.2%,48,2.4,0.59
round2_fine_tuning_S0-10_arT-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.5_sldayT-3_4f3e5b,"[0, 10]",-,0.5,✓,-,1,✓,✓,✓,F/F/T,33.7%,142.5%,18.5%,7.71,2.70,51.2%,48.9%,45,2.6,0.56
round2_fine_tuning_S0-8_arT-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.3_sldayT-3__9c2527,"[0, 8]",-,0.3,✓,-,2,✓,✓,✓,F/F/T,33.3%,140.5%,22.7%,6.18,2.73,50.0%,55.1%,49,2.5,0.60
round2_fine_tuning_S0-8_arT-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rF-.4_sldayT-3__e16846,"[0, 8]",-,-,✓,-,1.2,✓,✓,✓,F/F/T,33.3%,140.5%,22.7%,6.18,2.73,50.0%,55.1%,49,2.5,0.60
round2_fine_tuning_S0-8_arT-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.3_sldayT-3__68e1fa,"[0, 8]",-,0.3,✓,-,1.5,✓,✓,✓,F/F/T,33.3%,140.5%,22.7%,6.18,2.73,50.0%,55.1%,49,2.5,0.60
round2_fine_tuning_S0-8_arT-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.3_sldayT-3__2c94ec,"[0, 8]",-,0.3,✓,-,1.2,✓,✓,✓,F/F/T,33.3%,140.5%,22.7%,6.18,2.73,50.0%,55.1%,49,2.5,0.60
round2_fine_tuning_S0-8_arT-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rF-.4_sldayT-3__0a7eb6,"[0, 8]",-,-,✓,-,1.5,✓,✓,✓,F/F/T,33.3%,140.5%,22.7%,6.18,2.73,50.0%,55.1%,49,2.5,0.60
round2_fine_tuning_S0-8_arT-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.4_sldayT-3__970f2f,"[0, 8]",-,0.4,✓,-,-,✓,✓,✓,F/F/T,33.1%,139.0%,20.5%,6.79,2.65,51.0%,55.1%,49,2.6,0.60
