ID,S,st,r,ar,ma,v,ls,fl,slday,fm,Return,Ann.Ret,MaxDD,Calmar,Sharpe,Volatility,WinRate,Trades,AvgHoldDays,Turnover
round2_fine_tuning_S0-4_arT-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.3_sldayT-3__1118fa,"[0, 4]",-,0.3,✓,-,2,✓,✓,✓,F/F/T,11.7%,40.0%,20.2%,1.98,0.83,43.4%,50.9%,57,2.1,0.70
round2_fine_tuning_S0-6_arT-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rF-.4_sldayT-3__3ae763,"[0, 6]",-,-,✓,-,-,✓,✓,✓,F/F/T,11.4%,38.8%,21.9%,1.77,0.69,50.1%,48.2%,56,2.2,0.69
round2_fine_tuning_S0-8_arT-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.5_sldayT-3__7a8d1d,"[0, 8]",-,0.5,✓,-,0.8,✓,✓,✓,F/F/T,11.1%,37.8%,15.9%,2.38,0.77,44.1%,50.0%,48,2.7,0.59
round2_fine_tuning_S0-4_arT-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.5_sldayT-3__6cd7e5,"[0, 4]",-,0.5,✓,-,-,✓,✓,✓,F/F/T,10.0%,33.8%,17.1%,1.97,0.65,46.0%,51.8%,56,2.1,0.69
round2_fine_tuning_S0-6_arT-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rF-.4_sldayT-3__a2a5a2,"[0, 6]",-,-,✓,-,1.5,✓,✓,✓,F/F/T,10.0%,33.6%,21.9%,1.53,0.59,49.8%,47.3%,55,2.2,0.68
round2_fine_tuning_S0-6_arT-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.3_sldayT-3__16b2bb,"[0, 6]",-,0.3,✓,-,1.5,✓,✓,✓,F/F/T,10.0%,33.6%,21.9%,1.53,0.59,49.8%,47.3%,55,2.2,0.68
round2b_fine_tuning_S0-4_arF-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.3_sldayT-3__6159f0,"[0, 4]",-,0.3,-,-,2,✓,✓,✓,F/F/T,9.9%,33.2%,21.5%,1.55,0.67,43.9%,50.0%,58,2.1,0.71
round2b_fine_tuning_S0-4_arF-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rF-.4_sldayT-3__2f3744,"[0, 4]",-,-,-,-,2,✓,✓,✓,F/F/T,9.9%,33.2%,21.5%,1.55,0.67,43.9%,50.0%,58,2.1,0.71
round2_fine_tuning_S0-8_arT-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.6_sldayT-3__a3370c,"[0, 8]",-,0.6,✓,-,0.8,✓,✓,✓,F/F/T,9.6%,32.3%,14.6%,2.21,0.70,40.5%,49.0%,49,2.5,0.61
round2b_fine_tuning_S0-6_arF-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rF-.4_sldayT-3__28be88,"[0, 6]",-,-,-,-,2,✓,✓,✓,F/F/T,9.6%,32.1%,23.2%,1.38,0.55,50.6%,47.4%,57,2.2,0.70
round2b_fine_tuning_S0-6_arF-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rF-.4_sldayT-3__3069c8,"[0, 6]",-,-,-,-,1.5,✓,✓,✓,F/F/T,8.2%,27.3%,23.2%,1.18,0.46,50.2%,46.4%,56,2.2,0.69
round1a_switches_S0-5_arF-1_flF-.95_fmF-F-T_lsT-.97_maF-20_rF-.4_sldayF-3__9f8427,"[0, 5]",✓,-,-,-,-,✓,-,-,F/F/T,7.5%,24.8%,16.8%,1.47,0.48,43.6%,48.2%,56,2.2,0.69
round1a_switches_S0-5_arT-1_flF-.95_fmF-F-T_lsT-.97_maT-20_rF-.4_sldayF-3__28b1bc,"[0, 5]",✓,-,✓,✓,-,✓,-,-,F/F/T,7.5%,24.5%,16.9%,1.45,0.47,43.4%,49.1%,53,2.3,0.65
round1a_switches_S0-5_arT-1_flF-.95_fmF-F-T_lsT-.97_maF-20_rF-.4_sldayF-3__76fb2a,"[0, 5]",✓,-,✓,-,-,✓,-,-,F/F/T,7.5%,24.5%,16.9%,1.45,0.47,43.4%,49.1%,53,2.3,0.65
round2b_fine_tuning_S0-6_arF-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.4_sldayT-3__88267d,"[0, 6]",-,0.4,-,-,1.5,✓,✓,✓,F/F/T,7.2%,23.5%,24.0%,0.98,0.39,50.1%,44.6%,56,2.2,0.69
round2b_fine_tuning_S0-4_arF-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.5_sldayT-3__b878c2,"[0, 4]",-,0.5,-,-,-,✓,✓,✓,F/F/T,6.5%,21.2%,19.8%,1.07,0.37,46.4%,50.9%,57,2.1,0.70
round1a_switches_S0-5_arF-1_flF-.95_fmF-F-T_lsT-.97_maT-20_rF-.4_sldayF-3__53a545,"[0, 5]",✓,-,-,✓,-,✓,-,-,F/F/T,5.7%,18.5%,18.2%,1.02,0.33,43.5%,45.5%,55,2.2,0.68
round1a_switches_S0-5_arF-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rF-.4_sldayF-3__6ddb26,"[0, 5]",✓,-,-,-,-,✓,✓,-,F/F/T,5.6%,18.1%,18.3%,0.98,0.32,44.2%,48.2%,56,2.2,0.69
round1a_switches_S0-5_arT-1_flT-.95_fmF-F-T_lsT-.97_maT-20_rF-.4_sldayF-3__10aec4,"[0, 5]",✓,-,✓,✓,-,✓,✓,-,F/F/T,5.5%,17.8%,18.4%,0.97,0.31,43.9%,49.1%,53,2.3,0.66
round1a_switches_S0-5_arT-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rF-.4_sldayF-3__d36408,"[0, 5]",✓,-,✓,-,-,✓,✓,-,F/F/T,5.5%,17.8%,18.4%,0.97,0.31,43.9%,49.1%,53,2.3,0.66
round2b_fine_tuning_S0-6_arF-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.3_sldayT-3__222900,"[0, 6]",-,0.3,-,-,1,✓,✓,✓,F/F/T,5.0%,15.9%,24.0%,0.66,0.24,50.2%,44.8%,58,2.2,0.71
round2b_fine_tuning_S0-6_arF-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rF-.4_sldayT-3__c640a0,"[0, 6]",-,-,-,-,1,✓,✓,✓,F/F/T,5.0%,15.9%,24.0%,0.66,0.24,50.2%,44.8%,58,2.2,0.71
round2_fine_tuning_S0-6_arT-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.5_sldayT-3__b45ae1,"[0, 6]",-,0.5,✓,-,0.8,✓,✓,✓,F/F/T,4.8%,15.4%,15.9%,0.97,0.26,43.2%,46.6%,58,2.2,0.71
round1a_switches_S0-5_arF-1_flT-.95_fmF-F-T_lsT-.97_maT-20_rF-.4_sldayF-3__500b77,"[0, 5]",✓,-,-,✓,-,✓,✓,-,F/F/T,3.8%,12.1%,19.7%,0.61,0.18,44.1%,45.5%,55,2.2,0.68
round2_fine_tuning_S0-4_arT-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.6_sldayT-3__3761ca,"[0, 4]",-,0.6,✓,-,2,✓,✓,✓,F/F/T,2.6%,8.0%,14.7%,0.54,0.10,40.1%,50.9%,55,2.3,0.67
round1a_switches_S0-5_arT-1_flT-.95_fmF-F-T_lsF-.97_maT-20_rF-.4_sldayF-3__37d3fc,"[0, 5]",✓,-,✓,✓,-,-,✓,-,F/F/T,2.5%,7.8%,16.7%,0.47,0.09,43.7%,42.9%,56,2.1,0.69
round1a_switches_S0-5_arT-1_flF-.95_fmF-F-T_lsF-.97_maT-20_rF-.4_sldayF-3__0a872d,"[0, 5]",✓,-,✓,✓,-,-,-,-,F/F/T,2.2%,6.9%,16.2%,0.43,0.07,43.8%,42.9%,56,2.1,0.69
round1a_switches_S0-5_arF-1_flT-.95_fmF-F-T_lsF-.97_maT-20_rF-.4_sldayF-3__fe7a55,"[0, 5]",✓,-,-,✓,-,-,✓,-,F/F/T,0.8%,2.6%,16.7%,0.16,-0.03,43.8%,39.7%,58,2.0,0.72
round2_fine_tuning_S0-6_arT-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.5_sldayT-3__7f6eaa,"[0, 6]",-,0.5,✓,-,1.2,✓,✓,✓,F/F/T,0.6%,1.8%,19.5%,0.09,-0.04,49.0%,44.4%,54,2.2,0.66
round2_fine_tuning_S0-6_arT-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.5_sldayT-3__b39a1a,"[0, 6]",-,0.5,✓,-,1.5,✓,✓,✓,F/F/T,0.6%,1.8%,19.5%,0.09,-0.04,49.0%,44.4%,54,2.2,0.66
round1a_switches_S0-5_arF-1_flF-.95_fmF-F-T_lsF-.97_maT-20_rF-.4_sldayF-3__254bd0,"[0, 5]",✓,-,-,✓,-,-,-,-,F/F/T,0.6%,1.8%,16.2%,0.11,-0.05,43.9%,39.7%,58,2.0,0.72
round2b_fine_tuning_S0-6_arF-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.6_sldayT-3__046cf5,"[0, 6]",-,0.6,-,-,-,✓,✓,✓,F/F/T,-0.2%,-0.7%,18.9%,-0.04,-0.10,45.8%,44.4%,54,2.2,0.67
round2_fine_tuning_S0-6_arT-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.6_sldayT-3__b380e5,"[0, 6]",-,0.6,✓,-,2,✓,✓,✓,F/F/T,-0.3%,-1.0%,18.9%,-0.05,-0.11,45.8%,44.4%,54,2.2,0.67
round2b_fine_tuning_S0-6_arF-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.6_sldayT-3__93f6c0,"[0, 6]",-,0.6,-,-,1.2,✓,✓,✓,F/F/T,-1.5%,-4.4%,18.9%,-0.23,-0.19,45.4%,43.4%,53,2.2,0.65
round2b_fine_tuning_S0-6_arF-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.6_sldayT-3__ec4bc2,"[0, 6]",-,0.6,-,-,1.5,✓,✓,✓,F/F/T,-1.5%,-4.4%,18.9%,-0.23,-0.19,45.4%,43.4%,53,2.2,0.65
round2_fine_tuning_S0-4_arT-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.4_sldayT-3__14b214,"[0, 4]",-,0.4,✓,-,1,✓,✓,✓,F/F/T,-1.5%,-4.6%,20.0%,-0.23,-0.21,41.1%,47.4%,57,2.2,0.70
round2_fine_tuning_S0-6_arT-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.6_sldayT-3__b85065,"[0, 6]",-,0.6,✓,-,1.2,✓,✓,✓,F/F/T,-1.6%,-4.7%,18.9%,-0.25,-0.19,45.5%,43.4%,53,2.2,0.65
round2_fine_tuning_S0-6_arT-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.6_sldayT-3__59fbe7,"[0, 6]",-,0.6,✓,-,1.5,✓,✓,✓,F/F/T,-1.6%,-4.7%,18.9%,-0.25,-0.19,45.5%,43.4%,53,2.2,0.65
round2_fine_tuning_S0-4_arT-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.4_sldayT-3__ffe228,"[0, 4]",-,0.4,✓,-,1.2,✓,✓,✓,F/F/T,-2.0%,-6.0%,20.0%,-0.30,-0.24,41.2%,45.6%,57,2.2,0.70
round1b_switches_S0-5_arF-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rF-.4_sldayT-3__fbd5dd,"[0, 5]",✓,-,-,-,-,✓,✓,✓,F/F/T,-2.3%,-6.8%,23.4%,-0.29,-0.26,41.7%,45.1%,51,2.3,0.63
round2_fine_tuning_S0-4_arT-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rF-.4_sldayT-3__dd3767,"[0, 4]",-,-,✓,-,1,✓,✓,✓,F/F/T,-2.3%,-6.9%,21.3%,-0.33,-0.27,41.2%,47.4%,57,2.2,0.70
round2_fine_tuning_S0-4_arT-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.3_sldayT-3__9450ee,"[0, 4]",-,0.3,✓,-,1,✓,✓,✓,F/F/T,-2.3%,-6.9%,21.3%,-0.33,-0.27,41.2%,47.4%,57,2.2,0.70
round1b_switches_S0-5_arT-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rF-.4_sldayT-3__63fb47,"[0, 5]",✓,-,✓,-,-,✓,✓,✓,F/F/T,-2.4%,-7.0%,23.4%,-0.30,-0.27,41.4%,45.8%,48,2.4,0.59
round1b_switches_S0-5_arT-1_flT-.95_fmF-F-T_lsT-.97_maT-20_rF-.4_sldayT-3__af0a9b,"[0, 5]",✓,-,✓,✓,-,✓,✓,✓,F/F/T,-2.4%,-7.0%,23.4%,-0.30,-0.27,41.4%,45.8%,48,2.4,0.59
round2_fine_tuning_S0-6_arT-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.5_sldayT-3__d9ae44,"[0, 6]",-,0.5,✓,-,1,✓,✓,✓,F/F/T,-2.4%,-7.3%,20.2%,-0.36,-0.23,49.0%,42.9%,56,2.2,0.69
round2b_fine_tuning_S0-6_arF-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.5_sldayT-3__6fd58b,"[0, 6]",-,0.5,-,-,1.2,✓,✓,✓,F/F/T,-2.6%,-7.8%,22.0%,-0.35,-0.24,49.4%,43.6%,55,2.2,0.67
round2_fine_tuning_S0-4_arT-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.4_sldayT-3__f33d3e,"[0, 4]",-,0.4,✓,-,1.5,✓,✓,✓,F/F/T,-2.6%,-7.9%,20.0%,-0.39,-0.29,41.5%,45.6%,57,2.2,0.70
round2_fine_tuning_S0-4_arT-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.3_sldayT-3__120af2,"[0, 4]",-,0.3,✓,-,1.2,✓,✓,✓,F/F/T,-2.8%,-8.2%,21.3%,-0.39,-0.30,41.2%,45.6%,57,2.2,0.70
round2_fine_tuning_S0-4_arT-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rF-.4_sldayT-3__d4c483,"[0, 4]",-,-,✓,-,1.2,✓,✓,✓,F/F/T,-2.8%,-8.2%,21.3%,-0.39,-0.30,41.2%,45.6%,57,2.2,0.70
round2b_fine_tuning_S0-4_arF-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.3_sldayT-3__2c6ff6,"[0, 4]",-,0.3,-,-,1,✓,✓,✓,F/F/T,-3.9%,-11.4%,22.6%,-0.50,-0.37,41.6%,46.6%,58,2.2,0.71
round1b_switches_S0-5_arF-1_flT-.95_fmF-F-T_lsT-.97_maT-20_rF-.4_sldayT-3__89b27b,"[0, 5]",✓,-,-,✓,-,✓,✓,✓,F/F/T,-3.9%,-11.5%,24.7%,-0.47,-0.37,41.6%,42.0%,50,2.3,0.62
round2_fine_tuning_S0-4_arT-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rF-.4_sldayT-3__849025,"[0, 4]",-,-,✓,-,1.5,✓,✓,✓,F/F/T,-4.2%,-12.3%,21.3%,-0.58,-0.39,41.6%,45.6%,57,2.2,0.70
round2_fine_tuning_S0-4_arT-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.3_sldayT-3__55812f,"[0, 4]",-,0.3,✓,-,1.5,✓,✓,✓,F/F/T,-4.2%,-12.3%,21.3%,-0.58,-0.39,41.6%,45.6%,57,2.2,0.70
round2b_fine_tuning_S0-4_arF-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.3_sldayT-3__b29b0a,"[0, 4]",-,0.3,-,-,1.2,✓,✓,✓,F/F/T,-4.3%,-12.7%,22.6%,-0.56,-0.40,41.7%,44.8%,58,2.2,0.71
round2b_fine_tuning_S0-4_arF-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rF-.4_sldayT-3__d78ea3,"[0, 4]",-,-,-,-,1.2,✓,✓,✓,F/F/T,-4.3%,-12.7%,22.6%,-0.56,-0.40,41.7%,44.8%,58,2.2,0.71
round2c_Ashare_S0-5_arT-1_flT-.95_fmF-T-T_lsT-.97_maF-20_rT-.4_sldayT-3__4fbc92,"[0, 5]",-,0.4,✓,-,-,✓,✓,✓,F/T/T,-4.8%,-13.8%,31.3%,-0.44,-0.40,44.6%,47.2%,53,2.4,0.65
round1b_switches_S0-5_arF-1_flT-.95_fmF-F-T_lsF-.97_maF-20_rF-.4_sldayT-3__3b41d8,"[0, 5]",✓,-,-,-,-,-,✓,✓,F/F/T,-5.1%,-14.7%,15.4%,-0.96,-0.45,41.2%,42.6%,54,2.2,0.67
round1a_switches_S0-5_arT-1_flT-.95_fmF-F-T_lsF-.97_maF-20_rF-.4_sldayF-3__1fb4d6,"[0, 5]",-,-,✓,-,-,-,✓,-,F/F/T,-5.1%,-14.8%,22.7%,-0.65,-0.39,47.8%,45.6%,57,2.0,0.70
round1b_switches_S0-5_arT-1_flT-.95_fmF-F-T_lsF-.97_maF-20_rF-.4_sldayT-3__5eb6ed,"[0, 5]",✓,-,✓,-,-,-,✓,✓,F/F/T,-5.1%,-14.9%,14.7%,-1.01,-0.46,41.0%,43.1%,51,2.2,0.63
round2c_Ashare_S0-5_arT-1_flT-.95_fmF-T-T_lsT-.97_maF-20_rT-.4_sldayT-3__d65d18,"[0, 5]",-,0.4,✓,-,0.8,✓,✓,✓,F/T/T,-5.3%,-15.2%,28.3%,-0.54,-0.48,39.6%,51.0%,51,2.7,0.62
round2b_fine_tuning_S0-4_arF-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rF-.4_sldayT-3__80e243,"[0, 4]",-,-,-,-,1.5,✓,✓,✓,F/F/T,-5.8%,-16.6%,22.6%,-0.73,-0.49,42.1%,44.8%,58,2.2,0.71
round2b_fine_tuning_S0-4_arF-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.3_sldayT-3__55700f,"[0, 4]",-,0.3,-,-,1.5,✓,✓,✓,F/F/T,-5.8%,-16.6%,22.6%,-0.73,-0.49,42.1%,44.8%,58,2.2,0.71
round1a_switches_S0-5_arT-1_flF-.95_fmF-F-T_lsF-.97_maF-20_rF-.4_sldayF-3__1d0807,"[0, 5]",-,-,✓,-,-,-,-,-,F/F/T,-5.8%,-16.6%,22.7%,-0.73,-0.43,48.0%,45.6%,57,2.0,0.70
round2_fine_tuning_S0-4_arT-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.5_sldayT-3__6cade3,"[0, 4]",-,0.5,✓,-,1,✓,✓,✓,F/F/T,-5.8%,-16.8%,18.8%,-0.89,-0.52,40.1%,48.2%,56,2.3,0.68
round2b_fine_tuning_S0-4_arF-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.4_sldayT-3__c7beb8,"[0, 4]",-,0.4,-,-,1.2,✓,✓,✓,F/F/T,-6.1%,-17.4%,23.3%,-0.75,-0.51,41.6%,43.1%,58,2.2,0.71
round2_fine_tuning_S0-4_arT-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.5_sldayT-3__13ea03,"[0, 4]",-,0.5,✓,-,1.2,✓,✓,✓,F/F/T,-6.3%,-17.9%,18.8%,-0.95,-0.55,40.2%,46.4%,56,2.3,0.68
round1a_switches_S0-5_arF-1_flT-.95_fmF-F-T_lsF-.97_maF-20_rF-.4_sldayF-3__ddecd7,"[0, 5]",-,-,-,-,-,-,✓,-,F/F/T,-6.5%,-18.5%,23.9%,-0.78,-0.47,48.0%,44.8%,58,2.0,0.72
round2_fine_tuning_S0-4_arT-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.3_sldayT-3__6da682,"[0, 4]",-,0.3,✓,-,0.8,✓,✓,✓,F/F/T,-6.9%,-19.6%,20.6%,-0.95,-0.58,40.4%,44.6%,56,2.1,0.68
round2_fine_tuning_S0-4_arT-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rF-.4_sldayT-3__6b5ca5,"[0, 4]",-,-,✓,-,0.8,✓,✓,✓,F/F/T,-6.9%,-19.6%,20.6%,-0.95,-0.58,40.4%,44.6%,56,2.1,0.68
round1a_switches_S0-5_arF-1_flF-.95_fmF-F-T_lsF-.97_maF-20_rF-.4_sldayF-3__6baba8,"[0, 5]",-,-,-,-,-,-,-,-,F/F/T,-7.2%,-20.3%,23.8%,-0.85,-0.51,48.2%,44.8%,58,2.0,0.72
round2b_fine_tuning_S0-4_arF-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.3_sldayT-3__44dbf0,"[0, 4]",-,0.3,-,-,0.8,✓,✓,✓,F/F/T,-7.4%,-21.0%,21.1%,-1.00,-0.61,40.9%,44.8%,58,2.0,0.71
round2b_fine_tuning_S0-4_arF-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rF-.4_sldayT-3__12e1d1,"[0, 4]",-,-,-,-,0.8,✓,✓,✓,F/F/T,-7.4%,-21.0%,21.1%,-1.00,-0.61,40.9%,44.8%,58,2.0,0.71
round1b_switches_S0-5_arT-1_flT-.95_fmF-F-T_lsF-.97_maT-20_rF-.4_sldayT-3__0a832d,"[0, 5]",✓,-,✓,✓,-,-,✓,✓,F/F/T,-7.7%,-21.7%,17.0%,-1.28,-0.63,40.5%,41.2%,51,2.2,0.63
round2_fine_tuning_S0-4_arT-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.4_sldayT-3__e2bfb1,"[0, 4]",-,0.4,✓,-,0.8,✓,✓,✓,F/F/T,-7.9%,-22.2%,22.2%,-1.00,-0.66,39.9%,45.6%,57,2.1,0.69
round2b_fine_tuning_S0-4_arF-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.5_sldayT-3__a95321,"[0, 4]",-,0.5,-,-,1,✓,✓,✓,F/F/T,-8.8%,-24.6%,21.4%,-1.15,-0.71,40.4%,47.4%,57,2.3,0.70
round1b_switches_S0-5_arF-1_flT-.95_fmF-F-T_lsF-.97_maT-20_rF-.4_sldayT-3__220a52,"[0, 5]",✓,-,-,✓,-,-,✓,✓,F/F/T,-9.2%,-25.5%,18.3%,-1.39,-0.73,40.6%,37.7%,53,2.2,0.65
round1a_switches_S0-5_arT-1_flF-.95_fmF-F-T_lsT-.97_maF-20_rF-.4_sldayF-3__b88338,"[0, 5]",-,-,✓,-,-,✓,-,-,F/F/T,-10.9%,-29.7%,31.1%,-0.95,-0.72,46.7%,47.3%,55,2.2,0.68
round1a_switches_S0-5_arT-1_flF-.95_fmF-F-T_lsT-.97_maT-20_rF-.4_sldayF-3__347f4f,"[0, 5]",-,-,✓,✓,-,✓,-,-,F/F/T,-10.9%,-29.7%,31.1%,-0.95,-0.72,46.7%,47.3%,55,2.2,0.68
round2_fine_tuning_S0-5_arT-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rF-.4_sldayT-3__ece711,"[0, 5]",-,-,✓,-,0.8,✓,✓,✓,F/F/T,-11.1%,-30.2%,27.4%,-1.10,-0.83,41.0%,47.9%,48,2.6,0.58
round2_fine_tuning_S0-4_arT-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.6_sldayT-3__e232d7,"[0, 4]",-,0.6,✓,-,1,✓,✓,✓,F/F/T,-11.6%,-31.4%,15.9%,-1.98,-0.93,37.9%,47.3%,55,2.5,0.67
round2b_fine_tuning_S0-4_arF-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.6_sldayT-3__8f625b,"[0, 4]",-,0.6,-,-,1.2,✓,✓,✓,F/F/T,-12.0%,-32.2%,15.8%,-2.04,-0.95,38.0%,45.5%,55,2.4,0.67
round2_fine_tuning_S0-4_arT-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.6_sldayT-3__fb0f7e,"[0, 4]",-,0.6,✓,-,1.5,✓,✓,✓,F/F/T,-12.0%,-32.4%,15.9%,-2.04,-0.96,38.0%,45.5%,55,2.5,0.67
round1a_switches_S0-5_arT-1_flT-.95_fmF-F-T_lsT-.97_maT-20_rF-.4_sldayF-3__fac5b9,"[0, 5]",-,-,✓,✓,-,✓,✓,-,F/F/T,-12.1%,-32.5%,32.0%,-1.02,-0.78,46.9%,47.3%,55,2.2,0.68
round1a_switches_S0-5_arT-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rF-.4_sldayF-3__a8dba7,"[0, 5]",-,-,✓,-,-,✓,✓,-,F/F/T,-12.1%,-32.5%,32.0%,-1.02,-0.78,46.9%,47.3%,55,2.2,0.68
round2_fine_tuning_S0-5_arT-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.4_sldayT-3__71e8f5,"[0, 5]",-,0.4,✓,-,0.8,✓,✓,✓,F/F/T,-12.1%,-32.6%,28.9%,-1.13,-0.90,40.4%,49.0%,49,2.6,0.59
round1a_switches_S0-5_arF-1_flF-.95_fmF-F-T_lsT-.97_maF-20_rF-.4_sldayF-3__8d95de,"[0, 5]",-,-,-,-,-,✓,-,-,F/F/T,-12.3%,-33.1%,32.2%,-1.03,-0.79,47.2%,46.4%,56,2.2,0.69
round2_fine_tuning_S0-4_arT-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.5_sldayT-3__16506a,"[0, 4]",-,0.5,✓,-,0.8,✓,✓,✓,F/F/T,-13.5%,-35.7%,21.0%,-1.70,-1.01,39.3%,44.6%,56,2.2,0.68
round1a_switches_S0-5_arF-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rF-.4_sldayF-3__cb5aff,"[0, 5]",-,-,-,-,-,✓,✓,-,F/F/T,-13.5%,-35.8%,33.1%,-1.08,-0.84,47.4%,46.4%,56,2.2,0.69
round2c_Ashare_S0-5_arT-1_flT-.95_fmF-T-T_lsT-.97_maF-20_rT-.4_sldayT-3__7671e2,"[0, 5]",-,0.4,✓,-,1,✓,✓,✓,F/T/T,-13.5%,-35.8%,29.8%,-1.20,-0.94,42.4%,49.0%,51,2.6,0.62
round1a_switches_S0-5_arT-1_flT-.95_fmF-F-T_lsF-.97_maT-20_rF-.4_sldayF-3__318e5f,"[0, 5]",-,-,✓,✓,-,-,✓,-,F/F/T,-13.8%,-36.4%,22.4%,-1.62,-0.87,46.3%,44.6%,56,2.1,0.69
round1a_switches_S0-5_arF-1_flF-.95_fmF-F-T_lsT-.97_maT-20_rF-.4_sldayF-3__63b05b,"[0, 5]",-,-,-,✓,-,✓,-,-,F/F/T,-13.8%,-36.5%,33.4%,-1.09,-0.86,47.1%,44.6%,56,2.2,0.69
round2c_Ashare_S0-5_arT-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.4_sldayT-3__de76b7,"[0, 5]",-,0.4,✓,-,-,✓,✓,✓,F/F/T,-13.9%,-36.6%,32.5%,-1.13,-0.91,44.5%,45.1%,51,2.3,0.62
round1a_switches_S0-5_arT-1_flF-.95_fmF-F-T_lsF-.97_maT-20_rF-.4_sldayF-3__5c0348,"[0, 5]",-,-,✓,✓,-,-,-,-,F/F/T,-14.4%,-37.8%,23.0%,-1.64,-0.90,46.6%,44.6%,56,2.1,0.69
round1a_switches_S0-5_arF-1_flT-.95_fmF-F-T_lsT-.97_maT-20_rF-.4_sldayF-3__604385,"[0, 5]",-,-,-,✓,-,✓,✓,-,F/F/T,-15.0%,-39.1%,34.3%,-1.14,-0.91,47.3%,44.6%,56,2.2,0.69
round2c_Ashare_S0-5_arT-1_flT-.95_fmF-T-T_lsT-.97_maF-20_rT-.4_sldayT-3__e46d1b,"[0, 5]",-,0.4,✓,-,1.2,✓,✓,✓,F/T/T,-15.1%,-39.3%,31.9%,-1.23,-1.05,41.3%,48.0%,50,2.6,0.61
round1b_switches_S0-5_arT-1_flT-.95_fmF-F-T_lsT-.97_maT-20_rF-.4_sldayT-3__82a9c8,"[0, 5]",-,-,✓,✓,-,✓,✓,✓,F/F/T,-15.3%,-39.6%,33.5%,-1.18,-0.98,44.6%,45.1%,51,2.3,0.62
