fold_id,test_year,model_id,direction,horizon_trade_days,rows,positives,prevalence,brier_score,log_loss,roc_auc,average_precision
wf_2019,2019,simple_rule,top,5,244,39,0.1598360655737705,0.14467660899082438,0.48697269782567626,0.43877423389618514,0.15497324823739173
wf_2019,2019,simple_rule,top,10,244,54,0.22131147540983606,0.19939487398450081,0.6330021893187561,0.4411306042884991,0.20474480890063973
wf_2019,2019,simple_rule,top,20,244,84,0.3442622950819672,0.24083423648535535,0.6876903315401541,0.5017857142857143,0.3616876006153942
wf_2019,2019,simple_rule,bottom,5,244,33,0.13524590163934427,0.133661330038127,0.47192026457789404,0.5441619991383024,0.1368161392844549
wf_2019,2019,simple_rule,bottom,10,244,43,0.1762295081967213,0.1680415410132974,0.5317498438949517,0.5347680203632998,0.1723107691392899
wf_2019,2019,simple_rule,bottom,20,244,67,0.27459016393442626,0.19898925971733072,0.5740420306238937,0.6530061556623661,0.3622783777579178
wf_2019,2019,elastic_net,top,5,244,39,0.1598360655737705,0.1894558779335502,0.5643867036670676,0.8390243902439025,0.4194202996817749
wf_2019,2019,elastic_net,top,10,244,54,0.22131147540983606,0.1910961424632403,0.5702699577797532,0.8235867446393762,0.49347352495974
wf_2019,2019,elastic_net,top,20,244,84,0.3442622950819672,0.1970535582112175,0.5829377825552603,0.8135416666666667,0.7404160838064726
wf_2019,2019,elastic_net,bottom,5,244,33,0.13524590163934427,0.12376734037626815,0.45286127212033406,0.9629470056010341,0.7682034733235958
wf_2019,2019,elastic_net,bottom,10,244,43,0.1762295081967213,0.14553429940528528,0.44943531052410834,0.9499016545181073,0.7078522343712566
wf_2019,2019,elastic_net,bottom,20,244,67,0.27459016393442626,0.18607771449707727,0.5412422557472293,0.8983894088877646,0.8382690649083936
wf_2019,2019,shallow_xgboost,top,5,244,39,0.1598360655737705,0.18533901277868672,0.5475296177672675,0.783364602876798,0.31228870176375834
wf_2019,2019,shallow_xgboost,top,10,244,54,0.22131147540983606,0.18870223438434314,0.5601520308241251,0.7834795321637427,0.4074601973630706
wf_2019,2019,shallow_xgboost,top,20,244,84,0.3442622950819672,0.1984812734942065,0.5858348578424366,0.7966517857142856,0.6319034318056491
wf_2019,2019,shallow_xgboost,bottom,5,244,33,0.13524590163934427,0.11469461732864544,0.3713478309054402,0.9640959356599167,0.8124385566213839
wf_2019,2019,shallow_xgboost,bottom,10,244,43,0.1762295081967213,0.14151316262934024,0.43979617757218153,0.9613560106444522,0.8138746478159649
