index_id,index_name,date,close,future_max_down_5d,future_max_up_5d,future_return_5d,future_max_down_10d,future_max_up_10d,future_return_10d,future_max_down_20d,future_max_up_20d,future_return_20d,future_max_down_60d,future_max_up_60d,future_return_60d
sse_composite,上证指数,2000-01-04,1406.37,0.002353576939212454,0.09865113732517039,0.05219821241920686,0.001756294573974193,0.09865113732517039,0.014398771304848568,0.001756294573974193,0.19025576484140028,0.18793062991958043,0.001756294573974193,0.29842075698429293,0.29494372035808514
sse_composite,上证指数,2000-01-05,1409.68,0.020103853356790102,0.09607144883945273,0.020103853356790102,-0.0005958799160094008,0.09607144883945273,0.022019181658248677,-0.0005958799160094008,0.20105272118494977,0.20105272118494977,-0.0005958799160094008,0.29537199931899427,0.28207820214516754
sse_composite,上证指数,2000-01-06,1463.94,-0.02698198013579789,0.05544626145880294,-0.02698198013579789,-0.03763815456917641,0.05544626145880294,0.0019946172657347994,-0.03763815456917641,0.15653647007391003,0.12070166810115168,-0.03763815456917641,0.25110318728909653,0.25110318728909653
sse_composite,上证指数,2000-01-07,1516.6,-0.07105367268890939,0.018798628511143445,-0.07105367268890939,-0.07105367268890939,0.018798628511143445,-0.0339707239878676,-0.07105367268890939,0.1163787419227218,0.09988790716075435,-0.07105367268890939,0.2090597388896216,0.2090597388896216
sse_composite,上证指数,2000-01-10,1545.11,-0.08819436803852154,-0.042281779290794796,-0.07234436383170129,-0.08819436803852154,-0.042281779290794796,-0.04386095488347108,-0.08819436803852154,0.09577958850826152,0.08544375481357336,-0.08819436803852154,0.1867504578962016,0.1617619457514352
sse_composite,上证指数,2000-01-11,1479.78,-0.04793955858303267,-0.028220411142196755,-0.03592425901147478,-0.04793955858303267,-0.0016488937544770765,-0.0022165457027395474,-0.04793955858303267,0.1441565638135398,0.10306261741610245,-0.04793955858303267,0.23914365648947822,0.22551325196988747
sse_composite,上证指数,2000-01-12,1438.02,-0.02029179010027682,0.0018775816748028973,0.0018775816748028973,-0.02029179010027682,0.029964812728612955,0.029964812728612955,-0.02029179010027682,0.17738279022544878,0.10911531133085783,-0.02029179010027682,0.275128301414445,0.271686068343973
sse_composite,上证指数,2000-01-13,1424.44,-0.010951672236106935,0.029780124118951923,0.029780124118951923,-0.010951672236106935,0.05779113195360974,0.05779113195360974,-0.010951672236106935,0.18860745275336255,0.1473280727864985,-0.010951672236106935,0.2966639521496166,0.2966639521496166
sse_composite,上证指数,2000-01-14,1408.84,0.012620311745833446,0.041182817069362,0.0399193662871582,0.012620311745833446,0.08954175066011771,0.08954175066011771,0.012620311745833446,0.20176883109508537,0.15809460265182707,0.012620311745833446,0.31102183356520263,0.3067914028562506
sse_composite,上证指数,2000-01-17,1433.33,-0.004681406235828467,0.030704722569122156,0.030704722569122156,-0.004681406235828467,0.16786783225077273,0.16786783225077273,-0.004681406235828467,0.1894329986813923,0.1894329986813923,-0.004681406235828467,0.2886216014455849,0.2819029811697238
