record_id,signal_id,direction,version,event_kind,index_id,index_name,match_status,primary_match,episode_id,event_date,region_id,anchor_date,region_start,region_end,region_form,lobe_count,matched_lobe_id,match_level,strict_matched,loose_matched,timing,lead_lag_days,absolute_distance_days,window_days,primary_episode_id_for_region,coverage_start_date,coverage_end_date,prediction_window_complete,confirmation_window_complete,label_version,diagnostic_region_id,diagnostic_timing,diagnostic_region_form,diagnostic_assignment
all_a_turnover_heat_top::top::turnover_heat_v1_20120705_20260814::onset::all_a::duplicate_alarm::all_a_turnover_heat_top::top::turnover_heat_v1_20120705_20260814::000011,all_a_turnover_heat_top,top,turnover_heat_v1_20120705_20260814,onset,all_a,全A,duplicate_alarm,False,all_a_turnover_heat_top::top::turnover_heat_v1_20120705_20260814::000011,2013-09-06,all_a_medium_top_20131015,2013-10-15,2013-10-09,2013-10-23,multi_lobe,2,,prediction_window,False,False,prediction,-20,20,20,all_a_turnover_heat_top::top::turnover_heat_v1_20120705_20260814::000012,2012-07-05,2026-08-14,True,True,top_bottom_regions_v2,all_a_medium_top_20131015,prediction,multi_lobe,duplicate_candidate
all_a_turnover_heat_top::top::turnover_heat_v1_20120705_20260814::onset::all_a::matched::all_a_turnover_heat_top::top::turnover_heat_v1_20120705_20260814::000012,all_a_turnover_heat_top,top,turnover_heat_v1_20120705_20260814,onset,all_a,全A,matched,True,all_a_turnover_heat_top::top::turnover_heat_v1_20120705_20260814::000012,2013-10-17,all_a_medium_top_20131015,2013-10-15,2013-10-09,2013-10-23,multi_lobe,2,all_a_medium_top_20131015_lobe_01,core_lobe,True,True,confirmation,2,2,5,all_a_turnover_heat_top::top::turnover_heat_v1_20120705_20260814::000012,2012-07-05,2026-08-14,True,True,top_bottom_regions_v2,all_a_medium_top_20131015,confirmation,multi_lobe,primary_match
all_a_turnover_heat_top::top::turnover_heat_v1_20120705_20260814::onset::all_a::duplicate_alarm::all_a_turnover_heat_top::top::turnover_heat_v1_20120705_20260814::000013,all_a_turnover_heat_top,top,turnover_heat_v1_20120705_20260814,onset,all_a,全A,duplicate_alarm,False,all_a_turnover_heat_top::top::turnover_heat_v1_20120705_20260814::000013,2013-10-29,all_a_medium_top_20131015,2013-10-15,2013-10-09,2013-10-23,multi_lobe,2,,confirmation_window,False,False,confirmation,10,10,10,all_a_turnover_heat_top::top::turnover_heat_v1_20120705_20260814::000012,2012-07-05,2026-08-14,True,True,top_bottom_regions_v2,all_a_medium_top_20131015,confirmation,multi_lobe,duplicate_candidate
all_a_turnover_heat_top::top::turnover_heat_v1_20120705_20260814::onset::all_a::missed_region::all_a_medium_top_20140220,all_a_turnover_heat_top,top,turnover_heat_v1_20120705_20260814,onset,all_a,全A,missed_region,False,,,all_a_medium_top_20140220,2014-02-20,2014-02-12,2014-02-21,single_lobe,1,,,False,False,,,,,,2012-07-05,2026-08-14,True,True,top_bottom_regions_v2,,,,
all_a_turnover_heat_top::top::turnover_heat_v1_20120705_20260814::onset::all_a::false_alarm::all_a_turnover_heat_top::top::turnover_heat_v1_20120705_20260814::000014,all_a_turnover_heat_top,top,turnover_heat_v1_20120705_20260814,onset,all_a,全A,false_alarm,False,all_a_turnover_heat_top::top::turnover_heat_v1_20120705_20260814::000014,2014-08-25,,,,,,,,,False,False,,,,,,2012-07-05,2026-08-14,,,,all_a_medium_top_20140220,confirmation,single_lobe,nearest_region_for_slice_only
all_a_turnover_heat_top::top::turnover_heat_v1_20120705_20260814::onset::all_a::false_alarm::all_a_turnover_heat_top::top::turnover_heat_v1_20120705_20260814::000015,all_a_turnover_heat_top,top,turnover_heat_v1_20120705_20260814,onset,all_a,全A,false_alarm,False,all_a_turnover_heat_top::top::turnover_heat_v1_20120705_20260814::000015,2014-09-12,,,,,,,,,False,False,,,,,,2012-07-05,2026-08-14,,,,all_a_medium_top_20140220,confirmation,single_lobe,nearest_region_for_slice_only
all_a_turnover_heat_top::top::turnover_heat_v1_20120705_20260814::onset::all_a::false_alarm::all_a_turnover_heat_top::top::turnover_heat_v1_20120705_20260814::000016,all_a_turnover_heat_top,top,turnover_heat_v1_20120705_20260814,onset,all_a,全A,false_alarm,False,all_a_turnover_heat_top::top::turnover_heat_v1_20120705_20260814::000016,2014-09-17,,,,,,,,,False,False,,,,,,2012-07-05,2026-08-14,,,,all_a_medium_top_20140220,confirmation,single_lobe,nearest_region_for_slice_only
all_a_turnover_heat_top::top::turnover_heat_v1_20120705_20260814::onset::all_a::false_alarm::all_a_turnover_heat_top::top::turnover_heat_v1_20120705_20260814::000017,all_a_turnover_heat_top,top,turnover_heat_v1_20120705_20260814,onset,all_a,全A,false_alarm,False,all_a_turnover_heat_top::top::turnover_heat_v1_20120705_20260814::000017,2014-12-12,,,,,,,,,False,False,,,,,,2012-07-05,2026-08-14,,,,all_a_medium_top_20150528,prediction,single_lobe,nearest_region_for_slice_only
all_a_turnover_heat_top::top::turnover_heat_v1_20120705_20260814::onset::all_a::false_alarm::all_a_turnover_heat_top::top::turnover_heat_v1_20120705_20260814::000018,all_a_turnover_heat_top,top,turnover_heat_v1_20120705_20260814,onset,all_a,全A,false_alarm,False,all_a_turnover_heat_top::top::turnover_heat_v1_20120705_20260814::000018,2014-12-18,,,,,,,,,False,False,,,,,,2012-07-05,2026-08-14,,,,all_a_medium_top_20150528,prediction,single_lobe,nearest_region_for_slice_only
all_a_turnover_heat_top::top::turnover_heat_v1_20120705_20260814::onset::all_a::false_alarm::all_a_turnover_heat_top::top::turnover_heat_v1_20120705_20260814::000019,all_a_turnover_heat_top,top,turnover_heat_v1_20120705_20260814,onset,all_a,全A,false_alarm,False,all_a_turnover_heat_top::top::turnover_heat_v1_20120705_20260814::000019,2015-01-28,,,,,,,,,False,False,,,,,,2012-07-05,2026-08-14,,,,all_a_medium_top_20150528,prediction,single_lobe,nearest_region_for_slice_only
