signal_id,direction,version,event_kind,index_id,index_name,horizon,outcome_name,event_count,event_mean,event_median,event_q25,event_q75,baseline_count,baseline_mean,mean_difference,hac_lag,hac_standard_error,ci95_lower,ci95_upper,hac_p_value,local_fdr_q_value,global_fdr_q_value,inference_eligible
ma20_episode_ml_l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,capped_confirmation,all_a,全A,5,max_down,20,-0.02382882441943259,-0.02214050169906051,-0.028919988681645664,-0.005620490136179046,1823,-0.01981053702700246,-0.004018287392430129,5,0.005369190848496371,-0.014541901455483015,0.0065053266706227575,0.4542206114791174,0.9292185820920889,0.9963952088709677,True
ma20_episode_ml_l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,capped_confirmation,all_a,全A,5,max_up,20,0.01646133763348285,0.012091349060258327,0.004331876435769266,0.02618610069412114,1823,0.01865478012195559,-0.0021934424884727413,5,0.00361138075177568,-0.009271748761953073,0.004884863785007592,0.5436057308337798,0.9292185820920889,0.9963952088709677,True
ma20_episode_ml_l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,capped_confirmation,all_a,全A,5,terminal_return,20,-0.001950357574968442,0.0037754586680370794,-0.02365903620225729,0.015942048803114728,1823,0.0019381081405142574,-0.0038884657154827154,5,0.007235884967686216,-0.018070800252147697,0.010293868821182267,0.5910007792827079,0.9292185820920889,0.9963952088709677,True
ma20_episode_ml_l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,capped_confirmation,all_a,全A,10,max_down,20,-0.030538720573546424,-0.025360245906628942,-0.042474935700715366,-0.010971325298980289,1818,-0.02878032160079396,-0.0017583989727524623,10,0.006229357873783566,-0.013967940405368251,0.010451142459863328,0.7777317945778188,0.9292185820920889,0.9963952088709677,True
ma20_episode_ml_l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,capped_confirmation,all_a,全A,10,max_up,20,0.02638307213671635,0.01739034630619185,0.006666787696313237,0.04342978440886042,1818,0.027823607367739603,-0.0014405352310232489,10,0.005585325786259095,-0.012387773772091075,0.009506703310044577,0.7964730703646477,0.9292185820920889,0.9963952088709677,True
ma20_episode_ml_l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,capped_confirmation,all_a,全A,10,terminal_return,20,0.010864493702604727,0.009810150098833681,-0.01361735571437564,0.03812877056163122,1818,0.003563150968735946,0.007301342733868788,10,0.007272643704896109,-0.006953038927727585,0.021555724395465162,0.31540456459510513,0.9292185820920889,0.9963952088709677,True
ma20_episode_ml_l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,capped_confirmation,all_a,全A,20,max_down,19,-0.045346867254682274,-0.027554347396018364,-0.06135563937088928,-0.00932652711590476,1809,-0.041226581778338926,-0.004120285476343348,20,,,,,,,False
ma20_episode_ml_l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,capped_confirmation,all_a,全A,20,max_up,19,0.05644368418680516,0.039407588482498035,0.016933257279862834,0.06501303614489928,1809,0.04163378442331178,0.014809899763493381,20,,,,,,,False
ma20_episode_ml_l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,capped_confirmation,all_a,全A,20,terminal_return,19,0.018396595177338493,0.020642415649590573,-0.03604897661060019,0.04683048223298525,1809,0.006892295160898529,0.011504300016439963,20,,,,,,,False
ma20_episode_ml_l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,capped_confirmation,cni2000,国证2000,5,max_down,20,-0.03245751491039979,-0.029483823291255318,-0.03698094733674051,-0.007847626959113008,1823,-0.025197159582740034,-0.007260355327659754,5,0.008062044771971501,-0.023061963080723894,0.008541252425404388,0.36782229132770317,0.9292185820920889,0.9963952088709677,True
ma20_episode_ml_l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,capped_confirmation,cni2000,国证2000,5,max_up,20,0.020714507880517007,0.012108734206925709,0.0055201578680040275,0.02713388570183728,1823,0.022900605557941427,-0.0021860976774244214,5,0.005043894929479428,-0.0120721317392041,0.007699936384355257,0.6647135994351434,0.9292185820920889,0.9963952088709677,True
ma20_episode_ml_l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,capped_confirmation,cni2000,国证2000,5,terminal_return,20,-0.004016476332571245,-0.003420947468992852,-0.02663046832785801,0.0173484616713927,1823,0.0026332950639004742,-0.006649771396471725,5,0.010365767157057369,-0.02696667502430417,0.013667132231360717,0.5211896247652501,0.9292185820920889,0.9963952088709677,True
ma20_episode_ml_l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,capped_confirmation,cni2000,国证2000,10,max_down,20,-0.044177376847677266,-0.03407087288336191,-0.05441927405834962,-0.015468003767887567,1818,-0.03704713601886911,-0.007130240828808143,10,0.010306923811054282,-0.027331811498474533,0.013071329840858247,0.4890683640114556,0.9292185820920889,0.9963952088709677,True
ma20_episode_ml_l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,capped_confirmation,cni2000,国证2000,10,max_up,20,0.03451308073197658,0.025162189408353908,0.010471487366015997,0.03898437057497556,1818,0.03447626752832475,3.68132036518086e-05,10,0.008148207718864311,-0.01593367392532224,0.016007300332625856,0.9963952088709678,0.9963952088709677,0.9963952088709677,True
ma20_episode_ml_l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,capped_confirmation,cni2000,国证2000,10,terminal_return,20,0.00971893579675281,0.008041653429362583,-0.02207499126918508,0.029245271515376203,1818,0.004808997885646858,0.004909937911105965,10,0.010494057751089705,-0.015658415281029858,0.025478291103241787,0.639871894311841,0.9292185820920889,0.9963952088709677,True
ma20_episode_ml_l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,capped_confirmation,cni2000,国证2000,20,max_down,19,-0.06448791533204319,-0.044147536406021204,-0.08716949588431,-0.014443880579615431,1809,-0.053971779644924854,-0.010516135687118337,20,,,,,,,False
ma20_episode_ml_l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,capped_confirmation,cni2000,国证2000,20,max_up,19,0.07028840919367667,0.039539531485838,0.02226631804398893,0.08440202194045965,1809,0.05128459484425272,0.01900381434942395,20,,,,,,,False
ma20_episode_ml_l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,capped_confirmation,cni2000,国证2000,20,terminal_return,19,0.0218729502751067,0.01910692418383375,-0.03867927325674991,0.06674965380120623,1809,0.009202290273645025,0.012670660001461675,20,,,,,,,False
ma20_episode_ml_l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,capped_confirmation,csi1000,中证1000,5,max_down,20,-0.03178803712081159,-0.026412195413123063,-0.04010300049108073,-0.007454151298260991,1823,-0.024834522683601003,-0.006953514437210594,5,0.007288757882107477,-0.02123947988614125,0.00733245101172006,0.34008090492356313,0.9292185820920889,0.9963952088709677,True
ma20_episode_ml_l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,capped_confirmation,csi1000,中证1000,5,max_up,20,0.01962130833260899,0.010691369238685633,0.005329743928673192,0.02859247683499261,1823,0.022710711822936075,-0.0030894034903270924,5,0.00461333374459713,-0.012131537629737468,0.0059527306490832835,0.5030692467295935,0.9292185820920889,0.9963952088709677,True
ma20_episode_ml_l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,capped_confirmation,csi1000,中证1000,5,terminal_return,20,-0.004835179370767195,-0.005424789654310425,-0.02694568856788368,0.01909347858801025,1823,0.002221002068650854,-0.007056181439418051,5,0.009659017542887404,-0.025987855823477363,0.011875492944641259,0.4650675882802599,0.9292185820920889,0.9963952088709677,True
ma20_episode_ml_l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,capped_confirmation,csi1000,中证1000,10,max_down,20,-0.04279769750475394,-0.03317629807084549,-0.053519553471420483,-0.011246974633431661,1818,-0.03648737087220846,-0.0063103266325454654,10,0.009133784621429893,-0.024212544490548056,0.011591891225457125,0.4896425029580913,0.9292185820920889,0.9963952088709677,True
ma20_episode_ml_l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,capped_confirmation,csi1000,中证1000,10,max_up,20,0.03382296878315523,0.030165474763829248,0.006571383445696077,0.03990309355614541,1818,0.03388461853653652,-6.16497533813022e-05,10,0.00769156971019504,-0.01513712638536358,0.015013826878600976,0.9936048346993749,0.9963952088709677,0.9963952088709677,True
ma20_episode_ml_l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,capped_confirmation,csi1000,中证1000,10,terminal_return,20,0.011530731507250248,0.009070837385548591,-0.017476428432030205,0.03499299267310352,1818,0.003966415578681589,0.007564315928568676,10,0.010115760485295191,-0.0122625746226099,0.02739120647974725,0.45459569719028436,0.9292185820920889,0.9963952088709677,True
