date,breadth_ma20,breadth_ma20_change_1d,breadth_ma20_change_5d,breadth_ma20_change_10d,breadth_ma60,breadth_ma60_change_1d,breadth_ma60_change_5d,breadth_ma60_change_10d,breadth_ma120,breadth_ma120_change_1d,breadth_ma120_change_5d,breadth_ma120_change_10d,new_high_low_net_ratio_60,new_high_low_net_ratio_60_change_1d,new_high_low_net_ratio_60_change_5d,new_high_low_net_ratio_60_change_10d,new_high_low_net_ratio_120,new_high_low_net_ratio_120_change_1d,new_high_low_net_ratio_120_change_5d,new_high_low_net_ratio_120_change_10d,new_high_low_net_ratio_250,new_high_low_net_ratio_250_change_1d,new_high_low_net_ratio_250_change_5d,new_high_low_net_ratio_250_change_10d,limit_hit_net_ratio,limit_hit_net_ratio_change_1d,limit_hit_net_ratio_change_5d,limit_hit_net_ratio_change_10d,limit_close_net_ratio,limit_close_net_ratio_change_1d,limit_close_net_ratio_change_5d,limit_close_net_ratio_change_10d,turnover_ratio_pct_p50,turnover_ratio_pct_p50_change_1d,turnover_ratio_pct_p50_change_5d,turnover_ratio_pct_p50_change_10d,turnover_ratio_pct_cap_weighted_mean,turnover_ratio_pct_cap_weighted_mean_change_1d,turnover_ratio_pct_cap_weighted_mean_change_5d,turnover_ratio_pct_cap_weighted_mean_change_10d,turnover_ge_10pct_ratio,turnover_ge_10pct_ratio_change_1d,turnover_ge_10pct_ratio_change_5d,turnover_ge_10pct_ratio_change_10d,market_universe_size,market_base_coverage,market_ma20_coverage,market_ma60_coverage,market_ma120_coverage,market_high_low_60_coverage,market_high_low_120_coverage,market_high_low_250_coverage,market_limit_coverage,market_turnover_coverage,index_price_available,index_return_1d,index_return_5d,index_return_10d,index_return_20d,index_return_60d,index_range_1d,index_close_to_ma20,index_close_to_ma60,index_close_to_ma120,index_drawdown_20d,index_rebound_20d,index_drawdown_60d,index_rebound_60d,index_drawdown_120d,index_rebound_120d,index_drawdown_250d,index_rebound_250d,index_volatility_10d,index_volatility_20d,index_volatility_60d,index_phase_pti,index_phase_pending,index_phase_up,index_phase_down,truth_top_intensity,truth_top_in_strict_lobe,truth_bottom_intensity,truth_bottom_in_strict_lobe,target_complete_5d,target_top_within_5d,target_bottom_within_5d,target_complete_10d,target_top_within_10d,target_bottom_within_10d,target_complete_20d,target_top_within_20d,target_bottom_within_20d,target_available
2012-07-05,0.2469252602,-0.09788606059999999,0.0674774074,-0.2150777594,0.2497634816,-0.0591987826,0.029927080800000005,-0.1604025979,0.3032319392,-0.05506189969999997,0.008242164100000005,-0.19198698379999996,-0.247871334,-0.22570152268,0.021556068900000003,-0.253910589159,-0.1007604563,-0.099338655352,-0.01947211273999999,-0.11132915283,-0.09727822581,-0.08723302239,-0.00892063744999999,-0.100864291384,-0.003784295175,-0.00897297442,-0.010430511944,-0.016869348015,-0.003311258278,-0.005198050730999999,-0.005867495497,-0.011363598489,0.873,0.02290000000000003,0.12324999999999997,0.07469999999999999,0.598380441,-0.02458024950000004,0.029477882699999958,0.04491042769999998,0.01705352913,-0.011760830809999998,-0.002905529209999997,-0.0030976043699999997,2151,0.9827986982798699,0.9827986982798699,0.9827986982798699,0.9781496978149697,0.9827986982798699,0.9781496978149697,0.9223616922361693,0.9827986982798699,0.9814039981403998,True,-0.017437975991748345,0.0013958610385720327,-0.050003084405019105,-0.044710734472243274,-0.021976735633260303,0.016660887714877417,-0.03175936892183617,-0.05506018305831906,-0.04439687295481198,-0.06326354344819662,0.006654955718896627,-0.09759152784986092,0.006654955718896627,-0.11097846665371813,0.10419206890848454,-0.25487891235421434,0.10419206890848454,0.010797654733825433,0.010291737210786089,0.010834669181980469,pending,True,False,False,0.0,False,0.0,False,True,False,False,True,False,False,True,False,False,True
2012-07-06,0.3292278541,0.0823025939,0.0991258133,0.0011028540999999947,0.3012790147,0.05151553310000001,0.04974840250000001,-0.05456775949999998,0.3460076046,0.042775665399999996,0.027640257700000004,-0.07284320189999999,-0.2595926101,-0.011721276100000011,0.09755024699999998,-0.1557619649,-0.09933460076,0.0014258555399999928,0.013930705340000002,-0.08118943947,-0.104387292,-0.007109066190000013,0.012771857799999994,-0.08334006407000001,0.005684509711,0.009468804886,0.006704917874,0.001148219388,0.005210800568,0.008522058846,0.001639371997,0.0047067683099,1.05335,0.18035,0.24655000000000005,0.20255,0.7976701759,0.19928973490000002,0.1937218623,0.20836134539999995,0.0265654649,0.009511935769999997,0.011754433239999999,0.01042015713,2151,0.9814039981403998,0.9814039981403998,0.9814039981403998,0.9781496978149697,0.9814039981403998,0.9781496978149697,0.9218967921896792,0.9814039981403998,0.9800092980009298,True,0.018201107879542766,0.005516964228380106,-0.01840033630504978,-0.02185371246428458,-0.01443414624488537,0.024063083738713836,-0.013049381400173421,-0.03763521943795778,-0.027766915955983573,-0.04621390214779664,0.024977191165412638,-0.08116669389684295,0.024977191165412638,-0.09479728981804592,0.12428958787442324,-0.24131688305465115,0.12428958787442324,0.01228309664598165,0.011172032238988052,0.011007712899047924,pending,True,False,False,0.0,False,0.0,False,True,False,False,True,False,False,True,False,False,True
2012-07-09,0.2415254237,-0.0877024304,-0.07230185330000002,0.0353293851,0.2415254237,-0.05975359100000002,-0.05484078680000001,-0.01596568849999999,0.2853094001,-0.06069820450000002,-0.06367115940000001,-0.05039400259999999,-0.2269303202,0.0326622899,-0.27836967839,0.019895479699999996,-0.1076995749,-0.008364974139999995,-0.14752887789,-0.04929429303,-0.09754877439,0.006838517610000011,-0.10910075831999999,-0.035081040779999996,-0.004708097928,-0.010392607639,-0.016034195148,-0.0052159699443,-0.006120527307,-0.011331327875,-0.012255496631999999,-0.006120527307,1.0069,-0.0464500000000001,0.11409999999999987,0.18309999999999993,0.7929008233,-0.004769352599999999,0.10125634530000005,0.20247993610000004,0.02828854314,0.001723078240000002,-0.0010120239699999978,0.012528502470000001,2151,0.9874476987447699,0.9874476987447699,0.9874476987447699,0.9841933984193398,0.9874476987447699,0.9841933984193398,0.9293351929335193,0.9874476987447699,0.9860529986052998,True,-0.023437885156801452,-0.023750039791381794,-0.018592739202237363,-0.03918048428517851,-0.03950644190260344,0.022697988824687876,-0.03428364975069598,-0.05958514208135679,-0.05108057608873118,-0.06856863117341039,0.0009538934705366486,-0.10270220340353287,0.0009538934705366486,-0.116013326982916,0.0852293952176737,-0.2590988108200204,0.097938617630835,0.012316644525356824,0.012164426602003304,0.01139825168656058,pending,True,False,False,0.0,False,0.0,False,True,False,False,True,False,False,True,False,False,True
2012-07-10,0.1963276836,-0.045197740099999995,-0.16084878700000002,0.006115776399999995,0.2151600753,-0.026365348399999988,-0.10295757180000001,-0.03256949079999999,0.260500236,-0.024809164100000003,-0.10876690350000001,-0.07501944110000003,-0.4129001883,-0.18596986810000002,-0.46372371771000004,-0.08696678770000005,-0.2359603587,-0.1282607838,-0.28135042962,-0.14161121642000002,-0.1624187906,-0.06487001621,-0.17243883068,-0.07523930342,-0.005649717514,-0.0009416195859999997,-0.017885011634,-0.005649717514,-0.005178907721,0.0009416195859999997,-0.01223773125,-0.009719775531,0.7656,-0.24129999999999996,-0.1995,0.03259999999999996,0.6046809202,-0.18821990310000003,-0.1039350175,0.06717529079999995,0.01697312588,-0.011315417260000002,-0.01742838213,0.000811509719999999,2151,0.9874476987447699,0.9874476987447699,0.9874476987447699,0.9851231985123199,0.9874476987447699,0.9851231985123199,0.9302649930264993,0.9874476987447699,0.9860529986052998,True,-0.006659662484158835,-0.03219135803279494,-0.02420890231092432,-0.05994244513313518,-0.06477503831347475,0.01042307025211385,-0.03777209392818559,-0.06483956166878246,-0.057619764910662674,-0.07477164971695349,0.002141803834910805,-0.10867790387664478,0.002141803834910805,-0.12190037986570423,0.05763427137126009,-0.26403296267407095,0.09062671700908953,0.012396054931682481,0.011536800919204225,0.011096395711591302,down,False,False,True,0.0,False,0.0,False,True,False,False,True,False,False,True,False,False,True
2012-07-11,0.219558063,0.0232303794,-0.1252532578,0.021269185299999993,0.223319229,0.008159153700000005,-0.0856430352,-0.024793503800000005,0.2681432611,0.007643025099999978,-0.09015057780000002,-0.060996145,-0.2026328162,0.21026737210000002,-0.18046300488,-0.12965848303,-0.1140433553,0.12191700340000002,-0.112621554352,-0.08636343582,-0.08037943085,0.08203935975,-0.07033422743000001,-0.046108331110000005,0.002820874471,0.008470591985,-0.002367804774,-0.012780534688999999,0.001880582981,0.007059490702,-6.209471999999924e-06,-0.005668485967,0.68585,-0.07974999999999999,-0.16425,0.012149999999999994,0.600102461,-0.004578459199999996,-0.02285822950000005,0.06779034230000003,0.01506591337,-0.001907212509999999,-0.01374844657,-0.005085220130000002,2151,0.9888423988842399,0.9888423988842399,0.9888423988842399,0.9865178986517898,0.9888423988842399,0.9865178986517898,0.9311947931194793,0.9888423988842399,0.9874476987447699,True,0.008456304781458313,-0.021302296836394508,-0.013153767034886243,-0.046110785500174334,-0.062265288199603086,0.011143701851813658,-0.027353995896355676,-0.055946291311116836,-0.049675783088375614,-0.06694763679451421,0.01124305662860281,-0.10114061257337736,0.01124305662860281,-0.11447490184936582,0.06657794911729109,-0.25780940109733597,0.09984938893091977,0.012809610237252602,0.01177507060018436,0.01112933810500672,down,False,False,True,0.0,False,0.0,False,True,False,False,True,False,False,True,False,False,True
2012-07-12,0.2938410907,0.07428302769999998,0.04691583049999998,0.11439323789999997,0.2557592854,0.03244005639999997,0.005995803799999977,0.03592288459999998,0.2978322337,0.02968897260000003,-0.005399705500000018,0.0028424585999999863,-0.1349318289,0.06770098730000002,0.1129395051,0.134495574,-0.08011310085,0.03393025445,0.02064735545,0.0011752427100000101,-0.06739890165,0.012980529200000007,0.029879324159999998,0.020958686710000007,0.007992477668,0.005171603197,0.011776772843000001,0.0013462608990000005,0.007522331923,0.005641748942000001,0.010833590201,0.0049660947040000005,1.07495,0.3891000000000001,0.20195000000000007,0.32520000000000004,0.8780225078,0.27792004680000004,0.27964206680000003,0.3091199495,0.02401129944,0.008945386070000002,0.00695777031,0.004052241100000003,2151,0.9888423988842399,0.9888423988842399,0.9888423988842399,0.9865178986517898,0.9888423988842399,0.9865178986517898,0.9311947931194793,0.9888423988842399,0.9874476987447699,True,0.011268614758015882,0.007291393684882852,0.00869743249581667,-0.05143047044104887,-0.05141738531694151,0.022885434498181544,-0.013763817464999772,-0.04448400454250667,-0.0390940638237699,-0.05643342916449512,0.022638365060469123,-0.09101171241484052,0.022638365060469123,-0.10449626065975204,0.07859680513528855,-0.24944594116128072,0.1122431679866216,0.01288816837815291,0.011369928517903456,0.011239609448240467,pending,True,False,False,0.0,False,0.0,False,True,False,False,True,False,False,True,False,False,True
2012-07-13,0.2733677783,-0.0204733124,-0.05586007580000002,0.043265737499999984,0.23907938,-0.016679905399999972,-0.062199634700000006,-0.012451232199999995,0.280809031,-0.017023202700000017,-0.06519857360000003,-0.03755831590000003,-0.02348520432,0.11144662457999999,0.23610740578,0.33365765278,-0.01222953904,0.06788356180999999,0.08710506172,0.10103576706,-0.01346633416,0.05393256749,0.09092095784000001,0.10369281564,-0.002348520432,-0.0103409981,-0.008033030143,-0.0013281122690000002,-0.003287928605,-0.010810260528,-0.008498729173,-0.006859357176,0.8123,-0.26265000000000005,-0.24105,0.00550000000000006,0.6502461032,-0.22777640460000004,-0.14742407270000002,0.04629778959999997,0.01975540922,-0.004255890220000003,-0.00681005568,0.004944377559999999,2151,0.9897721989772199,0.9897721989772199,0.9897721989772199,0.9883774988377498,0.9897721989772199,0.9883774988377498,0.9321245932124593,0.9897721989772199,0.9883774988377498,True,-0.0020702402629676486,-0.012762753147528838,-0.0073162005717193335,-0.04665443890961296,-0.04082692447828218,0.01114439481902043,-0.013429699359472469,-0.045816693934667696,-0.04119923415216231,-0.05838683867022909,0.02052125794266546,-0.09289353656636534,0.02052125794266546,-0.10635016855657231,0.07636385060178918,-0.2509997683934224,0.1099405573980452,0.012137597159501775,0.011323151734538663,0.011127042160027965,pending,True,False,False,0.0,False,0.0,False,True,False,False,True,False,False,True,False,False,True
2012-07-16,0.1671374765,-0.10623030179999998,-0.0743879472,-0.14668980050000002,0.1826741996,-0.056405180400000005,-0.05885122409999999,-0.1136920109,0.2172478794,-0.06356115159999998,-0.06806152069999999,-0.1317326801,-0.4552730697,-0.43178786537999997,-0.22834274949999997,-0.5067124278899999,-0.2973609802,-0.28513144116,-0.18966140530000003,-0.33719028319,-0.218671992,-0.20520565784,-0.12112321761000001,-0.23022397593000002,-0.0725047081,-0.070156187668,-0.06779661017199999,-0.08383080532,-0.04237288136,-0.039084952755000006,-0.036252354053,-0.048507850685000006,1.0955,0.2831999999999999,0.08860000000000001,0.20269999999999988,0.7385542742,0.08830817099999999,-0.05434654910000003,0.04690979620000002,0.01933050448,-0.00042490473999999903,-0.00895803866,-0.009970062629999998,2151,0.9874476987447699,0.9874476987447699,0.9874476987447699,0.9865178986517898,0.9874476987447699,0.9865178986517898,0.9311947931194793,0.9874476987447699,0.9860529986052998,True,-0.028239427308547782,-0.017616782586605817,-0.04094842309055957,-0.07531531991616491,-0.08851975918066213,0.02913870430701338,-0.037532083297237784,-0.07136856194820107,-0.06836158827510153,-0.08497745509237298,0.0001236405144726671,-0.11850970360161328,0.0001236405144726671,-0.13158632801091497,0.04596795188517144,-0.27215110598796177,0.07859647171059403,0.014406497405256074,0.012595605775457262,0.01126026901684424,down,False,False,True,0.0,False,0.0,False,True,False,False,True,False,False,True,False,False,True
2012-07-17,0.1925612053,0.025423728800000017,-0.003766478299999987,-0.1646152653,0.1887947269,0.006120527299999984,-0.026365348400000016,-0.12932292020000002,0.2279792746,0.010731395199999993,-0.03252096139999999,-0.1412878649,-0.4331450094,0.022128060299999974,-0.020244821099999977,-0.48396853881,-0.2939236929,0.003437287300000036,-0.057963334199999966,-0.33931376382,-0.2138584247,0.004813567300000016,-0.05143963409999999,-0.22387846478,0.004237288136,0.07674199623599999,0.009887005649999999,-0.007998005984,0.008003766478,0.050376647838,0.013182674198999999,0.0009449429489999999,0.7255,-0.3699999999999999,-0.040099999999999913,-0.23959999999999992,0.593418742,-0.14513553219999997,-0.011262178199999973,-0.11519719569999998,0.01320132013,-0.0061291843500000005,-0.003771805749999999,-0.02120018788,2151,0.9874476987447699,0.9874476987447699,0.9874476987447699,0.9869827986982799,0.9874476987447699,0.9869827986982799,0.9325894932589494,0.9874476987447699,0.9860529986052998,True,0.006550582698191976,-0.004552254071120476,-0.036597068863255755,-0.07590527622730148,-0.08109973013781602,0.012766628530481423,-0.027357449891073582,-0.06399855384658604,-0.06257674954559722,-0.07513570182583085,0.011277462960814333,-0.11273542851740193,0.011277462960814333,-0.12589771243630987,0.05281965145365364,-0.2673832716159483,0.08566190709651234,0.01466043845364625,0.012568241803903297,0.011307075917515395,down,False,False,True,0.0,False,0.0,False,True,False,False,True,False,False,True,False,False,True
2012-07-18,0.2372641509,0.04470294559999999,0.0177060879,-0.10754716989999999,0.2070754717,0.018280744800000026,-0.016243757299999995,-0.10188679249999999,0.2373761208,0.009396846200000003,-0.030767140299999968,-0.12091771809999999,-0.2155660377,0.2175789717,-0.01293322149999998,-0.19339622637999998,-0.1637564889,0.13016720399999998,-0.0497131336,-0.16233468795199998,-0.1153846154,0.09847380929999999,-0.03500518455,-0.10533941198,0.008962264151,0.004724976015,0.00614138968,0.003773584906,0.008962264151,0.0009584976730000003,0.00708168117,0.007075471698,0.7969,0.07140000000000002,0.1110500000000001,-0.053199999999999914,0.6672027513,0.07378400929999995,0.06710029029999998,0.04424206079999993,0.01700519603,0.0038038759,0.0019392826599999996,-0.01180916391,2151,0.9855880985588099,0.9855880985588099,0.9855880985588099,0.9851231985123199,0.9855880985588099,0.9851231985123199,0.9307298930729893,0.9855880985588099,0.9841933984193398,True,0.00292843751198002,-0.010008814744206562,-0.031097900837939396,-0.06609588777471431,-0.08767042619988874,0.01898089465056375,-0.021130110271258218,-0.05984402990282167,-0.059814510902733264,-0.07013282175629754,0.0191669958450138,-0.11013712966322142,0.0191669958450138,-0.12333795850810081,0.02271696906491072,-0.2652378493066444,0.08884120015058139,0.014792283340313222,0.012620839645431958,0.011222169930461679,down,False,False,True,0.0,False,0.0,False,True,False,False,True,False,False,True,False,False,True
