instrument_id
150001.XSHE
150002.XSHE
150003.XSHE
150006.XSHE
150007.XSHE
150010.XSHE
150011.XSHE
150020.XSHE
150021.XSHE
150025.XSHE
150026.XSHE
150027.XSHE
150038.XSHE
150041.XSHE
150042.XSHE
150043.XSHE
150044.XSHE
150045.XSHE
150046.XSHE
150061.XSHE
150062.XSHE
150063.XSHE
150068.XSHE
150069.XSHE
150070.XSHE
150071.XSHE
150072.XSHE
150078.XSHE
150079.XSHE
150080.XSHE
150081.XSHE
150082.XSHE
150098.XSHE
150099.XSHE
150110.XSHE
150111.XSHE
159001.XSHE
159003.XSHE
159005.XSHE
159007.XSHE
159008.XSHE
159009.XSHE
159010.XSHE
159011.XSHE
159012.XSHE
159013.XSHE
159015.XSHE
159016.XSHE
159017.XSHE
159018.XSHE
159019.XSHE
159020.XSHE
159021.XSHE
159022.XSHE
159023.XSHE
159026.XSHE
159027.XSHE
159028.XSHE
159029.XSHE
159030.XSHE
159031.XSHE
159032.XSHE
159033.XSHE
159035.XSHE
159036.XSHE
159037.XSHE
159038.XSHE
159039.XSHE
159040.XSHE
159041.XSHE
159042.XSHE
159045.XSHE
159046.XSHE
159048.XSHE
159049.XSHE
159050.XSHE
159051.XSHE
159052.XSHE
159053.XSHE
159055.XSHE
159056.XSHE
159057.XSHE
159059.XSHE
159060.XSHE
159061.XSHE
159062.XSHE
159063.XSHE
159065.XSHE
159066.XSHE
159067.XSHE
159068.XSHE
159069.XSHE
159070.XSHE
159071.XSHE
159072.XSHE
159075.XSHE
159076.XSHE
159078.XSHE
159085.XSHE
159086.XSHE
159091.XSHE
159093.XSHE
159099.XSHE
159100.XSHE
159101.XSHE
159102.XSHE
159103.XSHE
159105.XSHE
159106.XSHE
159107.XSHE
159108.XSHE
159109.XSHE
159110.XSHE
159111.XSHE
159112.XSHE
159113.XSHE
159115.XSHE
159116.XSHE
159117.XSHE
159118.XSHE
159119.XSHE
159120.XSHE
159121.XSHE
159122.XSHE
159123.XSHE
159125.XSHE
159126.XSHE
159127.XSHE
159128.XSHE
159129.XSHE
159130.XSHE
159131.XSHE
159132.XSHE
159133.XSHE
159135.XSHE
159136.XSHE
159137.XSHE
159138.XSHE
159139.XSHE
159140.XSHE
159141.XSHE
159142.XSHE
159143.XSHE
159145.XSHE
159146.XSHE
159147.XSHE
159148.XSHE
159149.XSHE
159150.XSHE
159151.XSHE
159152.XSHE
159153.XSHE
159155.XSHE
159156.XSHE
159157.XSHE
159158.XSHE
159159.XSHE
159160.XSHE
159161.XSHE
159162.XSHE
159163.XSHE
159165.XSHE
159166.XSHE
159167.XSHE
159168.XSHE
159169.XSHE
159170.XSHE
159171.XSHE
159172.XSHE
159173.XSHE
159175.XSHE
159176.XSHE
159177.XSHE
159178.XSHE
159179.XSHE
159180.XSHE
159181.XSHE
159182.XSHE
159183.XSHE
159185.XSHE
159186.XSHE
159187.XSHE
159188.XSHE
159189.XSHE
159190.XSHE
159191.XSHE
159192.XSHE
159193.XSHE
159195.XSHE
159196.XSHE
159197.XSHE
159198.XSHE
159199.XSHE
159200.XSHE
159201.XSHE
159202.XSHE
159203.XSHE
159205.XSHE
159206.XSHE
159207.XSHE
159208.XSHE
159209.XSHE
159210.XSHE
159211.XSHE
159212.XSHE
159213.XSHE
159215.XSHE
159216.XSHE
159217.XSHE
159218.XSHE
159219.XSHE
159220.XSHE
159221.XSHE
159222.XSHE
159223.XSHE
159225.XSHE
159226.XSHE
159227.XSHE
159228.XSHE
159229.XSHE
159230.XSHE
159231.XSHE
159232.XSHE
159233.XSHE
159235.XSHE
159236.XSHE
159237.XSHE
159238.XSHE
159239.XSHE
159240.XSHE
159241.XSHE
159242.XSHE
159243.XSHE
159245.XSHE
159246.XSHE
159247.XSHE
159248.XSHE
159249.XSHE
159251.XSHE
159253.XSHE
159255.XSHE
159256.XSHE
159257.XSHE
159258.XSHE
159259.XSHE
159260.XSHE
159261.XSHE
159262.XSHE
159263.XSHE
159265.XSHE
159266.XSHE
159267.XSHE
159268.XSHE
159269.XSHE
159270.XSHE
159271.XSHE
159272.XSHE
159273.XSHE
159275.XSHE
159276.XSHE
159277.XSHE
159278.XSHE
159279.XSHE
159280.XSHE
159281.XSHE
159283.XSHE
159285.XSHE
159286.XSHE
159287.XSHE
159288.XSHE
159289.XSHE
159290.XSHE
159291.XSHE
159292.XSHE
159293.XSHE
159295.XSHE
159296.XSHE
159297.XSHE
159298.XSHE
159299.XSHE
159300.XSHE
159301.XSHE
159302.XSHE
159303.XSHE
159305.XSHE
159306.XSHE
159307.XSHE
159309.XSHE
159310.XSHE
159311.XSHE
159312.XSHE
159315.XSHE
159316.XSHE
159318.XSHE
159320.XSHE
