id,code,name,pub_date,start_date,end_date,traced_index_name,traced_index_code
818633,159057.XSHE,医疗器械ETF鹏华,2026-05-07,2026-05-13,,医疗器械(H30217),H30217.CSI
818640,159023.XSHE,养殖ETF万家,2026-05-13,2026-05-18,,畜牧养殖(931946),
818642,159063.XSHE,粮食ETF南方,2026-05-14,2026-05-20,,国证粮食(399365),399365.XSHE
820317,159011.XSHE,养殖ETF华安,2026-05-15,2026-05-20,,畜牧养殖(931946),
827011,159039.XSHE,机器人ETF华安,2026-05-15,2026-05-20,,机器人产业(980022),
827015,159071.XSHE,新能源电池ETF华宝,2026-05-20,2026-05-25,,新能源电池(980027),
827016,159062.XSHE,稀有金属ETF南方,2026-05-15,2026-05-25,,CS稀金属(930632),930632.CSI
830368,159061.XSHE,绿色电力ETF南方,2026-05-22,2026-05-28,,绿色电力(399438),399438.XSHE
830369,159045.XSHE,稀有金属ETF大成,2026-05-26,2026-06-01,,CS稀金属(930632),930632.CSI
838754,159040.XSHE,港股通互联网ETF鹏华,2026-05-13,2026-05-18,,港股通互联网(931637),931637.CSI
838764,159065.XSHE,工程机械ETF景顺,2026-05-19,2026-05-25,,工程机械主题(931752),931752.CSI
838766,159070.XSHE,工程机械ETF嘉实,2026-05-22,2026-05-28,,工程机械主题(931752),931752.CSI
838768,589360.XSHG,科创50GT,2026-05-26,2026-05-29,,科创50(000688),000688.XSHG
838769,589290.XSHG,芯片主题,2026-05-27,2026-06-01,,科创芯片设计(950162),
838771,526030.XSHG,港信息基,2026-05-25,2026-06-01,,港股通信息C(930967),
842140,561430.XSHG,全指质量,2026-05-28,2026-06-01,,中证红利质量(932315),
842142,589350.XSHG,科芯片指,2026-05-27,2026-06-01,,科创芯片设计(950162),
850570,510140.XSHG,上证指,2026-05-27,2026-06-01,,上证指数(000001),000001.XSHG
850574,589310.XSHG,科创人工,2026-05-28,2026-06-01,,科创AI(950180),
850577,560920.XSHG,招商机械,2026-05-28,2026-06-03,,工程机械主题(931752),931752.CSI
850578,561460.XSHG,AITH,2026-05-28,2026-06-08,,CS人工智(930713),930713.CSI
852271,159066.XSHE,A股ETF建信,2026-06-05,2026-06-09,,中证A股(930903),930903.CSI
852272,515480.XSHG,红利一百,2026-06-05,2026-06-10,,红利低波100(930955),930955.CSI
853963,159161.XSHE,工程机械ETF东财,2026-05-25,2026-06-02,,工程机械主题(931752),931752.CSI
855653,159068.XSHE,软件ETF华夏,2026-05-27,2026-06-01,,软件指数(H30202),H30202.CSI
855657,159049.XSHE,有色ETF工银,2026-05-27,2026-06-01,,有色矿业(931892),931892.CSI
855663,561420.XSHG,300现金,2026-06-01,2026-06-10,,300现金流(932366),
855665,512410.XSHG,银行广发,2026-06-08,2026-06-15,,中证银行(399986),399986.XSHE
855666,159078.XSHE,A股ETF富国,2026-06-05,2026-06-15,,中证A股(930903),930903.CSI
855667,159076.XSHE,创业板新能源ETF华宝,2026-06-02,2026-06-15,,创新能源(399266),399266.XSHE
860764,561470.XSHG,畜牧TH,2026-05-28,2026-06-08,,畜牧养殖(931946),
860770,516440.XSHG,南方机械,2026-06-10,2026-06-15,,工程机械主题(931752),931752.CSI
860778,589400.XSHG,芯设计FG,2026-06-15,2026-06-22,,科创芯片设计(950162),
860779,589420.XSHG,芯设计MW,2026-06-15,2026-06-22,,科创芯片设计(950162),
862465,520750.XSHG,HK信息,2026-05-26,2026-06-01,,港股通信息C(930967),
862471,589390.XSHG,芯设计,2026-05-29,2026-06-08,,科创芯片设计(950162),
864184,159067.XSHE,绿色电力ETF鹏华,2026-06-10,2026-06-15,,绿色电力(399438),399438.XSHE
872733,589410.XSHG,科创AIJS,2026-06-05,2026-06-22,,科创AI(950180),
872734,159091.XSHE,港股通金融ETF易方达,2026-06-17,2026-06-22,,港股通内地金融(H11146),H11146.CSI
872735,560730.XSHG,红利GTHT,2026-06-18,2026-06-22,,红利低波(H30269),H30269.CSI
874428,515040.XSHG,工业金属,2026-05-29,2026-06-08,,工业有色(H11059),H11059.CSI
874436,159072.XSHE,粮食ETF景顺,2026-05-25,2026-06-15,,国证粮食(399365),399365.XSHE
874445,159075.XSHE,工业互联网ETF华夏,2026-06-05,2026-06-17,,工业互联(931495),931495.CSI
876160,159059.XSHE,电力ETF大成,2026-06-12,2026-06-18,,电力指数(H30199),H30199.CSI
876181,159085.XSHE,价值ETF永赢,2026-06-23,2026-07-01,,价值100(980081),
877879,159069.XSHE,创业板新能源ETF华泰柏瑞,2026-06-12,2026-06-22,,创新能源(399266),399266.XSHE
879604,561250.XSHG,稀金属PH,2026-06-18,2026-06-24,,CS稀金属(930632),930632.CSI
879616,561630.XSHG,华泰质量,2026-06-22,2026-06-29,,中证红利质量(932315),
884762,515840.XSHG,食品南方,2026-06-15,2026-06-24,,食品(H30192),
891655,588530.XSHG,AIBOCI,2026-06-26,2026-07-01,,科创创业AI(932456),
896818,159086.XSHE,金融科技ETF广发,2026-06-24,2026-07-01,,金融科技(930986),930986.CSI
896821,159093.XSHE,化工ETF汇添富,2026-06-30,2026-07-06,,细分化工(000813),000813.CSI
896822,159099.XSHE,云计算ETF华宝,2026-06-29,2026-07-06,,云计算50(931469),931469.CSI
898543,561490.XSHG,红利财通,2026-06-30,2026-07-03,,中证红利质量(932315),
900241,561400.XSHG,鑫元养殖,2026-06-13,2026-06-22,,畜牧养殖(931946),
900266,159087.XSHE,化工ETF万家,2026-06-18,2026-07-01,,细分化工(000813),000813.CSI
900267,159079.XSHE,价值ETF兴全,2026-06-25,2026-07-01,,价值100(980081),
900275,561450.XSHG,华泰红利,2026-07-06,2026-07-09,,标普中国A股大盘红利低波50指数(SPCLLHCP),
901994,561020.XSHG,食品招商,2026-06-23,2026-06-29,,食品(H30192),
903728,561620.XSHG,华泰化工,2026-06-22,2026-07-01,,细分化工(000813),000813.CSI
908931,158009.XSHE,航空航天ETF南方,2026-07-08,2026-07-13,,国证航天(CN5082),
910659,512420.XSHG,机械华安,2026-07-01,2026-07-06,,工程机械主题(931752),931752.CSI
910662,561810.XSHG,华泰医疗,2026-07-02,2026-07-07,,医疗器械(H30217),H30217.CSI
910666,561890.XSHG,A股E,2026-07-09,2026-07-13,,中证A股(930903),930903.CSI
910667,158006.XSHE,化工ETF博时,2026-07-10,2026-07-13,,细分化工(000813),000813.CSI
912392,520740.XSHG,互联香港,2026-06-26,2026-07-01,,港股通互联网(931637),931637.CSI
