snapshot_id,snapshot_as_of_date,symbol,name,exchange,tdx_market,tdx_code,tdx_symbol,instrument_type,tracking_index_code,tracking_index_market_id,catalog_source,catalog_status,data_status,requested,active,has_local_daily,has_local_5m,has_local_1m,first_daily_date,last_daily_date,first_5m_datetime,last_5m_datetime,first_1m_datetime,last_1m_datetime,daily_records,min5_records,min1_records,price_coefficient,registry_source
snapshot-20260806T091453459470Z,2026-08-06,512690.XSHG,酒ETF鹏华,XSHG,1,512690,sh512690,etf,399987,0,specetfdata.txt,catalog,available,True,True,True,True,True,2019-05-06,2026-08-06,2024-10-08 09:35,2026-08-06 15:00,2026-04-27 09:31,2026-08-06 15:00,1763,21456,16800,0.001,tdx_local_catalog
snapshot-20260806T091453459470Z,2026-08-06,512700.XSHG,银行ETF南方,XSHG,1,512700,sh512700,etf,399986,0,specetfdata.txt,catalog,available,True,True,True,True,True,2017-07-26,2026-08-06,2024-10-08 09:35,2026-08-06 15:00,2026-04-27 09:31,2026-08-06 15:00,2193,21456,16800,0.001,tdx_local_catalog
snapshot-20260806T091453459470Z,2026-08-06,512710.XSHG,军工龙头ETF富国,XSHG,1,512710,sh512710,etf,931066,62,specetfdata.txt,catalog,available,True,True,True,True,True,2019-08-26,2026-08-06,2024-10-08 09:35,2026-08-06 15:00,2026-04-27 09:31,2026-08-06 15:00,1684,21456,16800,0.001,tdx_local_catalog
snapshot-20260806T091453459470Z,2026-08-06,512720.XSHG,计算机ETF国泰,XSHG,1,512720,sh512720,etf,930651,62,specetfdata.txt,catalog,available,True,True,True,True,True,2019-08-16,2026-08-06,2024-10-08 09:35,2026-08-06 15:00,2026-04-27 09:31,2026-08-06 15:00,1690,21456,16800,0.001,tdx_local_catalog
snapshot-20260806T091453459470Z,2026-08-06,512730.XSHG,银行ETF鹏华,XSHG,1,512730,sh512730,etf,399986,0,specetfdata.txt,catalog,available,True,True,True,True,True,2020-02-07,2026-08-06,2024-10-08 09:35,2026-08-06 15:00,2026-04-27 09:31,2026-08-06 15:00,1578,21456,16800,0.001,tdx_local_catalog
snapshot-20260806T091453459470Z,2026-08-06,512750.XSHG,基本面50ETF嘉实,XSHG,1,512750,sh512750,etf,000925,62,specetfdata.txt,catalog,available,True,True,True,True,True,2019-07-05,2026-08-06,2024-10-08 09:35,2026-08-06 15:00,2026-04-27 09:31,2026-08-06 15:00,1720,21456,16800,0.001,tdx_local_catalog
snapshot-20260806T091453459470Z,2026-08-06,512760.XSHG,芯片ETF国泰,XSHG,1,512760,sh512760,etf,990001,62,specetfdata.txt,catalog,available,True,True,True,True,True,2019-06-12,2026-08-06,2024-10-08 09:35,2026-08-06 15:00,2026-04-27 09:31,2026-08-06 15:00,1737,21456,16800,0.001,tdx_local_catalog
snapshot-20260806T091453459470Z,2026-08-06,512770.XSHG,战略新兴ETF华夏,XSHG,1,512770,sh512770,etf,000171,62,specetfdata.txt,catalog,available,True,True,True,True,True,2018-08-16,2026-08-06,2024-10-08 09:35,2026-08-06 15:00,2026-04-27 09:31,2026-08-06 15:00,1933,21456,16800,0.001,tdx_local_catalog
snapshot-20260806T091453459470Z,2026-08-06,512800.XSHG,银行ETF华宝,XSHG,1,512800,sh512800,etf,399986,0,specetfdata.txt,catalog,available,True,True,True,True,True,2017-08-03,2026-08-06,2024-10-08 09:35,2026-08-06 15:00,2026-04-27 09:31,2026-08-06 15:00,2187,21456,16800,0.001,tdx_local_catalog
snapshot-20260806T091453459470Z,2026-08-06,512810.XSHG,军工ETF华宝,XSHG,1,512810,sh512810,etf,399967,0,specetfdata.txt,catalog,available,True,True,True,True,True,2016-08-22,2026-08-06,2024-10-08 09:35,2026-08-06 15:00,2026-04-27 09:31,2026-08-06 15:00,2417,21456,16800,0.001,tdx_local_catalog
snapshot-20260806T091453459470Z,2026-08-06,512820.XSHG,银行ETF汇添富,XSHG,1,512820,sh512820,etf,399986,0,specetfdata.txt,catalog,available,True,True,True,True,True,2018-11-23,2026-08-06,2024-10-08 09:35,2026-08-06 15:00,2026-04-27 09:31,2026-08-06 15:00,1868,21456,16800,0.001,tdx_local_catalog
snapshot-20260806T091453459470Z,2026-08-06,512870.XSHG,杭州湾区ETF南华,XSHG,1,512870,sh512870,etf,931033,62,specetfdata.txt,catalog,available,True,True,True,True,True,2019-02-22,2026-08-06,2024-10-08 09:35,2026-08-06 15:00,2026-04-27 09:31,2026-08-06 15:00,1810,21456,16800,0.001,tdx_local_catalog
snapshot-20260806T091453459470Z,2026-08-06,512880.XSHG,证券ETF国泰,XSHG,1,512880,sh512880,etf,399975,0,specetfdata.txt,catalog,available,True,True,True,True,True,2016-08-08,2026-08-06,2024-10-08 09:35,2026-08-06 15:00,2026-04-27 09:31,2026-08-06 15:00,2427,21456,16800,0.001,tdx_local_catalog
snapshot-20260806T091453459470Z,2026-08-06,512890.XSHG,红利低波ETF华泰,XSHG,1,512890,sh512890,etf,H30269,62,specetfdata.txt,catalog,available,True,True,True,True,True,2019-01-18,2026-08-06,2024-10-08 09:35,2026-08-06 15:00,2026-04-27 09:31,2026-08-06 15:00,1830,21456,16800,0.001,tdx_local_catalog
snapshot-20260806T091453459470Z,2026-08-06,512900.XSHG,证券ETF南方,XSHG,1,512900,sh512900,etf,399975,0,specetfdata.txt,catalog,available,True,True,True,True,True,2017-03-31,2026-08-06,2024-10-08 09:35,2026-08-06 15:00,2026-04-27 09:31,2026-08-06 15:00,2271,21456,16800,0.001,tdx_local_catalog
snapshot-20260806T091453459470Z,2026-08-06,512910.XSHG,A100ETF广发,XSHG,1,512910,sh512910,etf,000903,1,specetfdata.txt,catalog,available,True,True,True,True,True,2019-07-01,2026-08-06,2024-10-08 09:35,2026-08-06 15:00,2026-04-27 09:31,2026-08-06 15:00,1724,21456,16800,0.001,tdx_local_catalog
snapshot-20260806T091453459470Z,2026-08-06,512930.XSHG,AI人工智能ETF平,XSHG,1,512930,sh512930,etf,930713,62,specetfdata.txt,catalog,available,True,True,True,True,True,2019-08-23,2026-08-06,2024-10-08 09:35,2026-08-06 15:00,2026-04-27 09:31,2026-08-06 15:00,1685,21456,16800,0.001,tdx_local_catalog
snapshot-20260806T091453459470Z,2026-08-06,512940.XSHG,有色ETF华安,XSHG,1,512940,sh512940,etf,931892,62,specetfdata.txt,catalog,available,True,True,True,True,True,2026-02-26,2026-08-06,2026-02-26 09:35,2026-08-06 15:00,2026-04-27 09:31,2026-08-06 15:00,111,5328,16800,0.001,tdx_local_catalog
snapshot-20260806T091453459470Z,2026-08-06,512950.XSHG,央企改革ETF华夏,XSHG,1,512950,sh512950,etf,000860,1,specetfdata.txt,catalog,available,True,True,True,True,True,2019-01-18,2026-08-06,2024-10-08 09:35,2026-08-06 15:00,2026-04-27 09:31,2026-08-06 15:00,1830,21456,16800,0.001,tdx_local_catalog
snapshot-20260806T091453459470Z,2026-08-06,512960.XSHG,央企结构调整ETF,XSHG,1,512960,sh512960,etf,000860,1,specetfdata.txt,catalog,available,True,True,True,True,True,2019-01-18,2026-08-06,2024-10-08 09:35,2026-08-06 15:00,2026-04-27 09:31,2026-08-06 15:00,1830,21456,16800,0.001,tdx_local_catalog
snapshot-20260806T091453459470Z,2026-08-06,512970.XSHG,大湾区ETF平安,XSHG,1,512970,sh512970,etf,931000,62,specetfdata.txt,catalog,available,True,True,True,True,True,2019-11-11,2026-08-06,2024-10-08 09:35,2026-08-06 15:00,2026-04-27 09:31,2026-08-06 15:00,1635,21456,16800,0.001,tdx_local_catalog
snapshot-20260806T091453459470Z,2026-08-06,512980.XSHG,传媒ETF广发,XSHG,1,512980,sh512980,etf,399971,0,specetfdata.txt,catalog,available,True,True,True,True,True,2018-01-19,2026-08-06,2024-10-08 09:35,2026-08-06 15:00,2026-04-27 09:31,2026-08-06 15:00,2072,21456,16800,0.001,tdx_local_catalog
snapshot-20260806T091453459470Z,2026-08-06,512990.XSHG,MSCIA股ETF华夏,XSHG,1,512990,sh512990,etf,716567,62,specetfdata.txt,catalog,available,True,True,True,True,True,2015-03-25,2026-08-06,2024-10-08 09:35,2026-08-06 15:00,2026-04-27 09:31,2026-08-06 15:00,2765,21456,16800,0.001,tdx_local_catalog
snapshot-20260806T091453459470Z,2026-08-06,513000.XSHG,日经225ETF易方达,XSHG,1,513000,sh513000,etf,N225,12,specetfdata.txt,catalog,available,True,True,True,True,True,2019-06-25,2026-08-06,2024-10-08 09:35,2026-08-06 15:00,2026-04-27 09:31,2026-08-06 15:00,1728,21456,16800,0.001,tdx_local_catalog
snapshot-20260806T091453459470Z,2026-08-06,513010.XSHG,恒生科技ETF易方,XSHG,1,513010,sh513010,etf,HZ5017,27,specetfdata.txt,catalog,available,True,True,True,True,True,2021-05-25,2026-08-06,2024-10-08 09:35,2026-08-06 15:00,2026-04-27 09:31,2026-08-06 15:00,1263,21456,16800,0.001,tdx_local_catalog
snapshot-20260806T091453459470Z,2026-08-06,513020.XSHG,港股科技ETF国泰,XSHG,1,513020,sh513020,etf,931573CNY00,62,specetfdata.txt,catalog,available,True,True,True,True,True,2022-02-08,2026-08-06,2024-10-08 09:35,2026-08-06 15:00,2026-04-27 09:31,2026-08-06 15:00,1092,21456,16800,0.001,tdx_local_catalog
snapshot-20260806T091453459470Z,2026-08-06,513030.XSHG,德国ETF华安,XSHG,1,513030,sh513030,etf,GDAXI,12,specetfdata.txt,catalog,available,True,True,True,True,True,2014-09-05,2026-08-06,2024-10-08 09:35,2026-08-06 15:00,2026-04-27 09:31,2026-08-06 15:00,2895,21456,16800,0.001,tdx_local_catalog
snapshot-20260806T091453459470Z,2026-08-06,513040.XSHG,港股通互联网ETF,XSHG,1,513040,sh513040,etf,931637,62,specetfdata.txt,catalog,available,True,True,True,True,True,2023-06-12,2026-08-06,2024-10-08 09:35,2026-08-06 15:00,2026-04-27 09:31,2026-08-06 15:00,765,21456,16800,0.001,tdx_local_catalog
snapshot-20260806T091453459470Z,2026-08-06,513050.XSHG,中概互联网ETF易,XSHG,1,513050,sh513050,etf,H30533,62,specetfdata.txt,catalog,available,True,True,True,True,True,2017-01-18,2026-08-06,2024-10-08 09:35,2026-08-06 15:00,2026-04-27 09:31,2026-08-06 15:00,2318,21456,16800,0.001,tdx_local_catalog
snapshot-20260806T091453459470Z,2026-08-06,513060.XSHG,恒生医疗ETF博时,XSHG,1,513060,sh513060,etf,HZ5313,27,specetfdata.txt,catalog,available,True,True,True,True,True,2021-03-29,2026-08-06,2024-10-08 09:35,2026-08-06 15:00,2026-04-27 09:31,2026-08-06 15:00,1300,21456,16800,0.001,tdx_local_catalog
snapshot-20260806T091453459470Z,2026-08-06,513070.XSHG,港股通消费ETF易,XSHG,1,513070,sh513070,etf,931455,62,specetfdata.txt,catalog,available,True,True,True,True,True,2022-03-24,2026-08-06,2024-10-08 09:35,2026-08-06 15:00,2026-04-27 09:31,2026-08-06 15:00,1060,21456,16800,0.001,tdx_local_catalog
snapshot-20260806T091453459470Z,2026-08-06,513080.XSHG,法国ETF华安,XSHG,1,513080,sh513080,etf,FCHI,12,specetfdata.txt,catalog,available,True,True,True,True,True,2020-06-12,2026-08-06,2024-10-08 09:35,2026-08-06 15:00,2026-04-27 09:31,2026-08-06 15:00,1492,21456,16800,0.001,tdx_local_catalog
snapshot-20260806T091453459470Z,2026-08-06,513090.XSHG,香港证券ETF易方,XSHG,1,513090,sh513090,etf,930709,62,specetfdata.txt,catalog,available,True,True,True,True,True,2020-03-26,2026-08-06,2024-10-08 09:35,2026-08-06 15:00,2026-04-27 09:31,2026-08-06 15:00,1544,21456,16800,0.001,tdx_local_catalog
snapshot-20260806T091453459470Z,2026-08-06,513100.XSHG,纳指ETF国泰,XSHG,1,513100,sh513100,etf,NDX,12,specetfdata.txt,catalog,available,True,True,True,True,True,2013-05-15,2026-08-06,2024-10-08 09:35,2026-08-06 15:00,2026-04-27 09:31,2026-08-06 15:00,3217,21456,16800,0.001,tdx_local_catalog
snapshot-20260806T091453459470Z,2026-08-06,513110.XSHG,纳指ETF华泰柏瑞,XSHG,1,513110,sh513110,etf,NDX,12,specetfdata.txt,catalog,available,True,True,True,True,True,2023-03-20,2026-08-06,2024-10-08 09:35,2026-08-06 15:00,2026-04-27 09:31,2026-08-06 15:00,821,21456,16800,0.001,tdx_local_catalog
snapshot-20260806T091453459470Z,2026-08-06,513120.XSHG,港股创新药ETF广,XSHG,1,513120,sh513120,etf,931787,62,specetfdata.txt,catalog,available,True,True,True,True,True,2022-07-12,2026-08-06,2024-10-08 09:35,2026-08-06 15:00,2026-04-27 09:31,2026-08-06 15:00,988,21456,16800,0.001,tdx_local_catalog
snapshot-20260806T091453459470Z,2026-08-06,513130.XSHG,恒生科技ETF华泰,XSHG,1,513130,sh513130,etf,HZ5017,27,specetfdata.txt,catalog,available,True,True,True,True,True,2021-06-01,2026-08-06,2024-10-08 09:35,2026-08-06 15:00,2026-04-27 09:31,2026-08-06 15:00,1258,21456,16800,0.001,tdx_local_catalog
snapshot-20260806T091453459470Z,2026-08-06,513140.XSHG,港股通金融ETF华,XSHG,1,513140,sh513140,etf,H30106,62,specetfdata.txt,catalog,available,True,True,True,True,True,2023-01-12,2026-08-06,2024-10-08 09:35,2026-08-06 15:00,2026-04-27 09:31,2026-08-06 15:00,863,21456,16800,0.001,tdx_local_catalog
snapshot-20260806T091453459470Z,2026-08-06,513150.XSHG,港股通科技ETF华,XSHG,1,513150,sh513150,etf,931573,62,specetfdata.txt,catalog,available,True,True,True,True,True,2022-02-11,2026-08-06,2024-10-08 09:35,2026-08-06 15:00,2026-04-27 09:31,2026-08-06 15:00,1089,21456,16800,0.001,tdx_local_catalog
snapshot-20260806T091453459470Z,2026-08-06,513160.XSHG,港股科技ETF银华,XSHG,1,513160,sh513160,etf,HZ5368,27,specetfdata.txt,catalog,available,True,True,True,True,True,2022-02-09,2026-08-06,2024-10-08 09:35,2026-08-06 15:00,2026-04-27 09:31,2026-08-06 15:00,1091,21456,16800,0.001,tdx_local_catalog
snapshot-20260806T091453459470Z,2026-08-06,513170.XSHG,恒生央企ETF鹏华,XSHG,1,513170,sh513170,etf,HZ5486,27,specetfdata.txt,catalog,available,True,True,True,True,True,2024-04-19,2026-08-06,2024-10-08 09:35,2026-08-06 15:00,2026-04-27 09:31,2026-08-06 15:00,558,21456,16800,0.001,tdx_local_catalog
snapshot-20260806T091453459470Z,2026-08-06,513180.XSHG,恒生科技ETF华夏,XSHG,1,513180,sh513180,etf,HZ5017,27,specetfdata.txt,catalog,available,True,True,True,True,True,2021-05-25,2026-08-06,2024-10-08 09:35,2026-08-06 15:00,2026-04-27 09:31,2026-08-06 15:00,1263,21456,16800,0.001,tdx_local_catalog
snapshot-20260806T091453459470Z,2026-08-06,513190.XSHG,港股通金融ETF华,XSHG,1,513190,sh513190,etf,H11146,62,specetfdata.txt,catalog,available,True,True,True,True,True,2023-10-11,2026-08-06,2024-10-08 09:35,2026-08-06 15:00,2026-04-27 09:31,2026-08-06 15:00,686,21456,16800,0.001,tdx_local_catalog
snapshot-20260806T091453459470Z,2026-08-06,513200.XSHG,港股通医药ETF易,XSHG,1,513200,sh513200,etf,930965,62,specetfdata.txt,catalog,available,True,True,True,True,True,2022-02-11,2026-08-06,2024-10-08 09:35,2026-08-06 15:00,2026-04-27 09:31,2026-08-06 15:00,1089,21456,16800,0.001,tdx_local_catalog
snapshot-20260806T091453459470Z,2026-08-06,513210.XSHG,恒生ETF易方达,XSHG,1,513210,sh513210,etf,HSI,27,specetfdata.txt,catalog,available,True,True,True,True,True,2024-04-22,2026-08-06,2024-10-08 09:35,2026-08-06 15:00,2026-04-27 09:31,2026-08-06 15:00,557,21456,16800,0.001,tdx_local_catalog
snapshot-20260806T091453459470Z,2026-08-06,513220.XSHG,中概互联ETF招商,XSHG,1,513220,sh513220,etf,930796,62,specetfdata.txt,catalog,available,True,True,True,True,True,2022-07-15,2026-08-06,2024-10-08 09:35,2026-08-06 15:00,2026-04-27 09:31,2026-08-06 15:00,985,21456,16800,0.001,tdx_local_catalog
snapshot-20260806T091453459470Z,2026-08-06,513230.XSHG,港股通消费ETF华,XSHG,1,513230,sh513230,etf,931455,62,specetfdata.txt,catalog,available,True,True,True,True,True,2022-01-24,2026-08-06,2024-10-08 09:35,2026-08-06 15:00,2026-04-27 09:31,2026-08-06 15:00,1098,21456,16800,0.001,tdx_local_catalog
snapshot-20260806T091453459470Z,2026-08-06,513240.XSHG,港股通信息技术ET,XSHG,1,513240,sh513240,etf,930967,62,specetfdata.txt,catalog,available,True,True,True,True,True,2026-05-08,2026-08-06,2026-05-08 09:35,2026-08-06 15:00,2026-05-08 09:31,2026-08-06 15:00,64,3072,15360,0.001,tdx_local_catalog
snapshot-20260806T091453459470Z,2026-08-06,513260.XSHG,恒生科技ETF汇添,XSHG,1,513260,sh513260,etf,HZ5017,27,specetfdata.txt,catalog,available,True,True,True,True,True,2022-09-13,2026-08-06,2024-10-08 09:35,2026-08-06 15:00,2026-04-27 09:31,2026-08-06 15:00,944,21456,16800,0.001,tdx_local_catalog
snapshot-20260806T091453459470Z,2026-08-06,513280.XSHG,恒生生物科技ETF,XSHG,1,513280,sh513280,etf,HZ5366,27,specetfdata.txt,catalog,available,True,True,True,True,True,2022-07-18,2026-08-06,2024-10-08 09:35,2026-08-06 15:00,2026-04-27 09:31,2026-08-06 15:00,984,21456,16800,0.001,tdx_local_catalog
snapshot-20260806T091453459470Z,2026-08-06,513290.XSHG,纳指生物科技ETF,XSHG,1,513290,sh513290,etf,NBI,12,specetfdata.txt,catalog,available,True,True,True,True,True,2022-08-29,2026-08-06,2024-10-08 09:35,2026-08-06 15:00,2026-04-27 09:31,2026-08-06 15:00,954,21456,16800,0.001,tdx_local_catalog
snapshot-20260806T091453459470Z,2026-08-06,513300.XSHG,纳斯达克ETF华夏,XSHG,1,513300,sh513300,etf,NDX,12,specetfdata.txt,catalog,available,True,True,True,True,True,2020-11-05,2026-08-06,2024-10-08 09:35,2026-08-06 15:00,2026-04-27 09:31,2026-08-06 15:00,1396,21456,16800,0.001,tdx_local_catalog
snapshot-20260806T091453459470Z,2026-08-06,513310.XSHG,中韩半导体ETF华,XSHG,1,513310,sh513310,etf,931790,62,specetfdata.txt,catalog,available,True,True,True,True,True,2022-12-22,2026-08-06,2024-10-08 09:35,2026-08-06 15:00,2026-04-27 09:31,2026-08-06 15:00,877,21456,16800,0.001,tdx_local_catalog
snapshot-20260806T091453459470Z,2026-08-06,513320.XSHG,港股通新经济ETF,XSHG,1,513320,sh513320,etf,HZ5330,27,specetfdata.txt,catalog,available,True,True,True,True,True,2022-03-21,2026-08-06,2024-10-08 09:35,2026-08-06 15:00,2026-04-27 09:31,2026-08-06 15:00,1063,21456,16800,0.001,tdx_local_catalog
snapshot-20260806T091453459470Z,2026-08-06,513330.XSHG,恒生互联网ETF华,XSHG,1,513330,sh513330,etf,HZ5312,27,specetfdata.txt,catalog,available,True,True,True,True,True,2021-02-08,2026-08-06,2024-10-08 09:35,2026-08-06 15:00,2026-04-27 09:31,2026-08-06 15:00,1330,21456,16800,0.001,tdx_local_catalog
snapshot-20260806T091453459470Z,2026-08-06,513350.XSHG,标普油气ETF富国,XSHG,1,513350,sh513350,etf,SPSIOPTR,12,specetfdata.txt,catalog,available,True,True,True,True,True,2023-11-28,2026-08-06,2024-10-08 09:35,2026-08-06 15:00,2026-04-27 09:31,2026-08-06 15:00,652,21456,16800,0.001,tdx_local_catalog
snapshot-20260806T091453459470Z,2026-08-06,513360.XSHG,教育ETF博时,XSHG,1,513360,sh513360,etf,931456,62,specetfdata.txt,catalog,available,True,True,True,True,True,2021-06-17,2026-08-06,2024-10-08 09:35,2026-08-06 15:00,2026-04-27 09:31,2026-08-06 15:00,1247,21456,16800,0.001,tdx_local_catalog
snapshot-20260806T091453459470Z,2026-08-06,513380.XSHG,恒生科技ETF广发,XSHG,1,513380,sh513380,etf,HZ5017,27,specetfdata.txt,catalog,available,True,True,True,True,True,2022-05-12,2026-08-06,2024-10-08 09:35,2026-08-06 15:00,2026-04-27 09:31,2026-08-06 15:00,1030,21456,16800,0.001,tdx_local_catalog
snapshot-20260806T091453459470Z,2026-08-06,513390.XSHG,纳指100ETF博时,XSHG,1,513390,sh513390,etf,NDX,12,specetfdata.txt,catalog,available,True,True,True,True,True,2023-05-08,2026-08-06,2024-10-08 09:35,2026-08-06 15:00,2026-04-27 09:31,2026-08-06 15:00,790,21456,16800,0.001,tdx_local_catalog
snapshot-20260806T091453459470Z,2026-08-06,513400.XSHG,道琼斯ETF鹏华,XSHG,1,513400,sh513400,etf,DJIA,12,specetfdata.txt,catalog,available,True,True,True,True,True,2024-02-02,2026-08-06,2024-10-08 09:35,2026-08-06 15:00,2026-04-27 09:31,2026-08-06 15:00,605,21456,16800,0.001,tdx_local_catalog
snapshot-20260806T091453459470Z,2026-08-06,513500.XSHG,标普500ETF博时,XSHG,1,513500,sh513500,etf,A_SPX,12,specetfdata.txt,catalog,available,True,True,True,True,True,2014-01-15,2026-08-06,2024-10-08 09:35,2026-08-06 15:00,2026-04-27 09:31,2026-08-06 15:00,3053,21456,16800,0.001,tdx_local_catalog
